INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.570	2.391	2.315	2.155
 0	 1	2.692	2.699	2.557	2.557
 0	 2	2.711	2.712	2.661	2.668
 0	 3	2.911	2.910	2.873	2.878
 0	 4	2.913	2.908	2.930	2.935
 0	 5	3.077	3.077	3.165	3.173
 0	 6	2.945	2.945	3.097	3.098
 0	 7	3.181	3.166	3.321	3.306
 1	 0	2.621	2.365	2.167	1.953
 1	 1	2.461	2.320	2.200	2.080
 1	 2	2.417	2.385	2.207	2.177
 1	 3	2.347	2.298	2.170	2.125
 1	 4	2.483	2.447	2.319	2.285
 1	 5	2.462	2.461	2.299	2.300
 1	 6	2.614	2.492	2.476	2.362
 1	 7	2.627	2.548	2.515	2.446
 2	 0	3.049	2.898	2.466	2.343
 2	 1	2.986	2.873	2.508	2.414
 2	 2	2.876	2.812	2.533	2.479
 2	 3	2.952	2.907	2.610	2.588
 2	 4	2.847	2.835	2.593	2.584
 2	 5	2.820	2.782	2.593	2.562
 2	 6	2.842	2.811	2.692	2.659
 2	 7	2.884	2.867	2.747	2.737
 3	 0	2.852	2.838	2.313	2.309
 3	 1	2.705	2.593	2.344	2.246
 3	 2	2.630	2.564	2.365	2.308
 3	 3	2.509	2.469	2.288	2.256
 3	 4	2.618	2.586	2.423	2.396
 3	 5	2.550	2.522	2.367	2.353
 3	 6	2.578	2.527	2.426	2.391
 3	 7	2.718	2.703	2.593	2.587
 4	 0	2.967	2.706	2.379	2.165
 4	 1	2.760	2.518	2.404	2.196
 4	 2	2.615	2.583	2.351	2.323
 4	 3	2.422	2.389	2.245	2.218
 4	 4	2.601	2.546	2.365	2.321
 4	 5	2.666	2.620	2.418	2.383
 4	 6	2.826	2.747	2.651	2.575
 4	 7	2.739	2.718	2.606	2.591
 5	 0	3.367	3.325	2.716	2.696
 5	 1	3.060	2.852	2.598	2.414
 5	 2	2.862	2.757	2.481	2.387
 5	 3	2.803	2.710	2.433	2.360
 5	 4	2.925	2.812	2.633	2.526
 5	 5	2.844	2.786	2.623	2.568
 5	 6	2.852	2.745	2.631	2.537
 5	 7	2.812	2.688	2.678	2.562
 6	 0	3.552	3.480	2.794	2.743
 6	 1	3.025	2.820	2.587	2.401
 6	 2	2.947	2.825	2.564	2.466
 6	 3	2.824	2.659	2.541	2.397
 6	 4	2.698	2.651	2.493	2.450
 6	 5	2.670	2.621	2.472	2.424
 6	 6	2.657	2.608	2.517	2.471
 6	 7	2.631	2.567	2.495	2.435
 7	 0	4.012	3.781	3.180	3.032
 7	 1	3.569	2.927	2.940	2.404
 7	 2	3.098	2.778	2.663	2.406
 7	 3	2.948	2.701	2.566	2.368
 7	 4	2.833	2.672	2.524	2.381
 7	 5	2.831	2.712	2.558	2.467
 7	 6	2.775	2.622	2.552	2.419
 7	 7	2.812	2.697	2.636	2.528
 8	 0	3.978	3.659	3.221	2.974
 8	 1	3.322	2.816	2.865	2.436
 8	 2	3.095	2.981	2.788	2.730
