ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	220.504	0.580
 0	 0	 1	219.466	0.557
 0	 0	 2	218.629	0.521
 0	 0	 3	217.590	0.521
 0	 0	 4	216.682	0.549
 0	 0	 5	215.639	0.563
 0	 0	 6	214.722	0.543
 0	 0	 7	213.654	0.579
 0	 1	 0	220.420	0.403
 0	 1	 1	219.363	0.373
 0	 1	 2	218.521	0.376
 0	 1	 3	217.389	0.399
 0	 1	 4	216.566	0.426
 0	 1	 5	215.578	0.394
 0	 1	 6	214.589	0.405
 0	 1	 7	213.529	0.396
 0	 2	 0	220.448	0.404
 0	 2	 1	219.402	0.393
 0	 2	 2	218.523	0.401
 0	 2	 3	217.469	0.398
 0	 2	 4	216.588	0.384
 0	 2	 5	215.582	0.400
 0	 2	 6	214.624	0.408
 0	 2	 7	213.597	0.397
 0	 3	 0	220.536	0.472
 0	 3	 1	219.507	0.445
 0	 3	 2	218.626	0.456
 0	 3	 3	217.574	0.462
 0	 3	 4	216.730	0.403
 0	 3	 5	215.679	0.439
 0	 3	 6	214.706	0.454
 0	 3	 7	213.666	0.416
 0	 4	 0	220.608	0.544
 0	 4	 1	219.512	0.498
 0	 4	 2	218.648	0.501
 0	 4	 3	217.601	0.537
 0	 4	 4	216.801	0.462
 0	 4	 5	215.697	0.495
 0	 4	 6	214.787	0.458
 0	 4	 7	213.682	0.450
 0	 5	 0	220.255	0.260
 0	 5	 1	219.222	0.283
 0	 5	 2	218.327	0.245
 0	 5	 3	217.273	0.253
 0	 5	 4	216.422	0.279
 0	 5	 5	215.346	0.266
 0	 5	 6	214.422	0.279
 0	 5	 7	213.341	0.240
 0	 6	 0	220.278	0.263
 0	 6	 1	219.203	0.220
 0	 6	 2	218.354	0.226
 0	 6	 3	217.250	0.215
 0	 6	 4	216.429	0.242
 0	 6	 5	215.286	0.202
 0	 6	 6	214.372	0.237
 0	 6	 7	213.314	0.225
 0	 7	 0	220.248	0.208
 0	 7	 1	219.227	0.214
 0	 7	 2	218.292	0.200
 0	 7	 3	217.268	0.238
 0	 7	 4	216.400	0.233
 0	 7	 5	215.310	0.224
 0	 7	 6	214.350	0.226
 0	 7	 7	213.354	0.225
 1	 0	 0	222.118	0.368
 1	 0	 1	221.107	0.361
 1	 0	 2	220.184	0.372
 1	 0	 3	219.146	0.315
 1	 0	 4	218.311	0.342
 1	 0	 5	217.314	0.334
 1	 0	 6	216.391	0.362
 1	 0	 7	215.364	0.371
 1	 1	 0	222.141	0.301
 1	 1	 1	221.077	0.263
 1	 1	 2	220.188	0.296
 1	 1	 3	219.131	0.239
 1	 1	 4	218.286	0.312
 1	 1	 5	217.254	0.272
 1	 1	 6	216.393	0.315
 1	 1	 7	215.364	0.313
 1	 2	 0	222.121	0.286
 1	 2	 1	221.118	0.289
 1	 2	 2	220.182	0.298
 1	 2	 3	219.167	0.290
 1	 2	 4	218.282	0.304
 1	 2	 5	217.236	0.266
 1	 2	 6	216.416	0.282
 1	 2	 7	215.377	0.287
 1	 3	 0	222.134	0.303
 1	 3	 1	221.103	0.312
 1	 3	 2	220.145	0.253
 1	 3	 3	219.140	0.237
 1	 3	 4	218.287	0.269
 1	 3	 5	217.261	0.240
 1	 3	 6	216.410	0.275
 1	 3	 7	215.359	0.288
 1	 4	 0	222.135	0.327
 1	 4	 1	221.098	0.359
 1	 4	 2	220.162	0.360
 1	 4	 3	219.183	0.346
 1	 4	 4	218.317	0.342
 1	 4	 5	217.327	0.343
 1	 4	 6	216.371	0.329
 1	 4	 7	215.313	0.335
 1	 5	 0	222.156	0.274
 1	 5	 1	221.058	0.279
 1	 5	 2	220.153	0.295
 1	 5	 3	219.132	0.285
 1	 5	 4	218.284	0.278
 1	 5	 5	217.203	0.290
 1	 5	 6	216.401	0.318
 1	 5	 7	215.306	0.293
 1	 6	 0	222.151	0.297
 1	 6	 1	221.111	0.291
 1	 6	 2	220.100	0.294
 1	 6	 3	219.131	0.285
 1	 6	 4	218.246	0.244
 1	 6	 5	217.202	0.229
 1	 6	 6	216.333	0.266
 1	 6	 7	215.352	0.306
 1	 7	 0	222.123	0.247
 1	 7	 1	221.084	0.252
 1	 7	 2	220.132	0.257
 1	 7	 3	219.126	0.241
 1	 7	 4	218.291	0.282
