ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	227.149	0.422
 0	 0	 1	226.064	0.458
 0	 0	 2	225.026	0.440
 0	 0	 3	223.932	0.369
 0	 0	 4	222.998	0.378
 0	 0	 5	221.899	0.371
 0	 0	 6	220.915	0.413
 0	 0	 7	219.713	0.382
 0	 1	 0	227.092	0.405
 0	 1	 1	226.024	0.428
 0	 1	 2	225.023	0.418
 0	 1	 3	223.903	0.339
 0	 1	 4	222.946	0.325
 0	 1	 5	221.816	0.346
 0	 1	 6	220.759	0.321
 0	 1	 7	219.654	0.312
 0	 2	 0	227.110	0.462
 0	 2	 1	225.961	0.430
 0	 2	 2	224.945	0.396
 0	 2	 3	223.847	0.278
 0	 2	 4	222.900	0.321
 0	 2	 5	221.765	0.297
 0	 2	 6	220.764	0.278
 0	 2	 7	219.638	0.274
 0	 3	 0	227.087	0.404
 0	 3	 1	225.961	0.423
 0	 3	 2	224.959	0.420
 0	 3	 3	223.833	0.304
 0	 3	 4	222.881	0.260
 0	 3	 5	221.737	0.269
 0	 3	 6	220.788	0.288
 0	 3	 7	219.627	0.236
 0	 4	 0	227.132	0.396
 0	 4	 1	225.946	0.442
 0	 4	 2	224.893	0.386
 0	 4	 3	223.802	0.280
 0	 4	 4	222.869	0.307
 0	 4	 5	221.721	0.234
 0	 4	 6	220.771	0.214
 0	 4	 7	219.612	0.237
 0	 5	 0	227.132	0.375
 0	 5	 1	225.912	0.442
 0	 5	 2	224.937	0.349
 0	 5	 3	223.801	0.220
 0	 5	 4	222.835	0.243
 0	 5	 5	221.692	0.252
 0	 5	 6	220.660	0.230
 0	 5	 7	219.597	0.238
 0	 6	 0	227.137	0.368
 0	 6	 1	225.952	0.408
 0	 6	 2	224.965	0.370
 0	 6	 3	223.786	0.216
 0	 6	 4	222.866	0.266
 0	 6	 5	221.697	0.197
 0	 6	 6	220.680	0.237
 0	 6	 7	219.580	0.225
 0	 7	 0	227.220	0.324
 0	 7	 1	225.970	0.432
 0	 7	 2	225.060	0.422
 0	 7	 3	223.828	0.280
 0	 7	 4	222.856	0.296
 0	 7	 5	221.757	0.265
 0	 7	 6	220.742	0.280
 0	 7	 7	219.559	0.217
 1	 0	 0	222.644	0.423
 1	 0	 1	221.667	0.399
 1	 0	 2	220.530	0.397
 1	 0	 3	219.448	0.345
 1	 0	 4	218.625	0.322
 1	 0	 5	217.686	0.367
 1	 0	 6	216.586	0.342
 1	 0	 7	215.646	0.324
 1	 1	 0	222.718	0.505
 1	 1	 1	221.514	0.393
 1	 1	 2	220.537	0.418
 1	 1	 3	219.434	0.291
 1	 1	 4	218.780	0.284
 1	 1	 5	217.628	0.309
 1	 1	 6	216.573	0.311
 1	 1	 7	215.461	0.287
 1	 2	 0	222.676	0.442
 1	 2	 1	221.498	0.411
 1	 2	 2	220.531	0.420
 1	 2	 3	219.472	0.278
 1	 2	 4	218.662	0.275
 1	 2	 5	217.588	0.278
 1	 2	 6	216.588	0.297
 1	 2	 7	215.457	0.286
 1	 3	 0	222.650	0.434
 1	 3	 1	221.500	0.411
 1	 3	 2	220.521	0.416
 1	 3	 3	219.446	0.264
 1	 3	 4	218.629	0.256
 1	 3	 5	217.749	0.260
 1	 3	 6	216.591	0.276
 1	 3	 7	215.485	0.270
 1	 4	 0	222.630	0.436
 1	 4	 1	221.532	0.419
 1	 4	 2	220.540	0.448
 1	 4	 3	219.464	0.261
 1	 4	 4	218.638	0.254
 1	 4	 5	217.586	0.267
 1	 4	 6	216.702	0.306
 1	 4	 7	215.449	0.268
 1	 5	 0	222.594	0.423
 1	 5	 1	221.584	0.403
 1	 5	 2	220.577	0.269
 1	 5	 3	219.458	0.267
 1	 5	 4	218.763	0.213
 1	 5	 5	217.582	0.280
 1	 5	 6	216.606	0.268
 1	 5	 7	215.467	0.272
 1	 6	 0	222.734	0.502
 1	 6	 1	221.549	0.419
 1	 6	 2	220.682	0.332
 1	 6	 3	219.445	0.242
 1	 6	 4	218.780	0.317
 1	 6	 5	217.620	0.257
 1	 6	 6	216.591	0.266
 1	 6	 7	215.575	0.243
 1	 7	 0	222.616	0.409
 1	 7	 1	221.528	0.432
 1	 7	 2	220.612	0.259
