GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.044	206.240	0.9992	0.647	1.052	205.508	0.9988	0.798	1.297	195.697	1.0000	1.705	1.293	195.834	1.0000	1.572
 0	 1	0.956	202.695	0.9997	0.345	0.956	202.563	0.9998	0.266	1.114	196.337	0.9972	1.006	1.116	196.217	0.9973	0.882
 0	 2	0.916	201.465	0.9998	0.252	0.914	201.796	0.9999	0.199	1.061	195.316	0.9974	0.763	1.061	195.380	0.9976	0.841
 0	 3	0.906	199.830	0.9997	0.351	0.911	199.438	0.9997	0.356	1.019	195.532	0.9989	0.791	1.023	195.357	0.9989	0.734
 0	 4	0.897	198.875	0.9980	0.899	0.905	198.110	0.9988	0.700	1.001	195.020	0.9977	1.163	1.006	194.705	0.9976	0.823
 0	 5	0.898	196.715	0.9994	0.472	0.889	197.379	0.9989	0.655	0.984	194.239	0.9977	1.413	0.986	194.110	0.9976	1.068
 0	 6	0.868	196.970	0.9990	0.615	0.870	196.800	0.9979	0.883	0.958	194.020	0.9974	1.059	0.960	193.836	0.9976	1.014
 0	 7	0.862	195.765	0.9998	0.283	0.859	195.988	0.9995	0.430	0.939	193.527	0.9974	0.978	0.937	193.601	0.9975	0.949
 1	 0	1.121	160.720	0.9998	0.307	1.130	159.896	0.9995	0.563	1.371	151.436	1.0000	1.426	1.368	151.445	1.0000	1.539
 1	 1	1.050	156.155	0.9999	0.267	1.050	156.165	0.9998	0.338	1.184	152.537	0.9971	1.102	1.183	152.584	0.9971	1.117
 1	 2	1.002	155.110	0.9999	0.191	1.002	155.144	0.9997	0.379	1.136	151.053	0.9973	1.346	1.127	151.392	0.9975	1.339
 1	 3	0.975	154.575	0.9998	0.340	0.973	154.710	0.9999	0.261	1.083	151.456	0.9989	1.255	1.087	151.173	0.9988	1.072
 1	 4	0.948	155.440	0.9985	0.822	0.968	153.920	0.9994	0.550	1.054	151.877	0.9979	0.855	1.063	151.397	0.9977	0.832
 1	 5	0.929	154.565	0.9999	0.234	0.912	155.507	0.9995	0.477	1.037	150.841	0.9978	0.701	1.035	150.708	0.9979	0.822
 1	 6	0.911	153.825	0.9999	0.160	0.909	153.847	0.9996	0.409	1.003	150.978	0.9976	1.022	0.996	151.089	0.9979	1.052
 1	 7	0.901	152.790	0.9999	0.167	0.903	152.692	1.0000	0.122	0.994	149.908	0.9975	0.932	0.990	150.045	0.9977	0.793
 2	 0	1.053	191.400	0.9994	0.582	1.070	189.987	0.9992	0.676	1.321	180.296	0.9999	1.960	1.320	180.252	1.0000	1.636
 2	 1	0.974	188.465	0.9996	0.458	0.976	188.130	0.9994	0.552	1.159	181.020	0.9969	1.245	1.159	180.900	0.9970	0.814
 2	 2	0.972	184.550	0.9998	0.312	0.990	183.240	0.9998	0.301	1.111	180.099	0.9972	1.303	1.110	180.114	0.9973	1.337
 2	 3	0.948	183.830	1.0000	0.123	0.950	183.708	0.9998	0.294	1.068	180.211	0.9989	1.266	1.067	180.243	0.9989	1.191
 2	 4	0.940	183.030	0.9968	1.187	0.945	182.725	0.9973	1.090	1.050	179.717	0.9973	1.603	1.066	178.984	0.9971	1.360
