ch	pt	m	q
22	 1	0.6173	34.2684
22	 2	0.6195	33.9636
22	 3	0.6373	31.0975
22	 4	0.6431	30.1708
22	 5	0.6491	29.2032
22	 6	0.6372	31.2375
22	 7	0.6330	31.8583
23	 0	0.4876	54.8898
23	 1	0.5010	52.6292
23	 2	0.5104	51.2063
23	 3	0.5131	50.7667
23	 4	0.5142	50.7264
23	 5	0.5145	50.6614
23	 6	0.5150	50.4864
23	 7	0.5066	51.8782
24	 0	0.5685	51.2304
24	 1	0.5917	47.8713
24	 2	0.6156	44.4331
24	 3	0.6185	43.9693
24	 4	0.6104	45.3688
24	 5	0.6198	43.7304
24	 6	0.6155	44.4555
24	 7	0.6018	46.4607
25	 0	0.6703	34.9909
25	 1	0.7117	28.8691
25	 2	0.7286	26.2950
25	 3	0.7435	24.2809
25	 4	0.7430	24.2916
25	 5	0.7487	23.4966
25	 6	0.7396	24.8721
25	 7	0.7412	24.6217
26	 0	0.7501	29.8184
26	 1	0.7972	23.2074
26	 2	0.8412	16.9527
26	 3	0.8676	13.2541
26	 4	0.8634	13.9112
26	 5	0.8643	13.8721
26	 6	0.8642	13.8880
26	 7	0.8441	16.7295
27	 0	0.7235	44.8167
27	 1	0.8210	32.5242
27	 2	0.8847	24.7758
27	 3	0.9356	18.2559
27	 4	0.9116	21.4200
27	 5	0.9449	17.0541
27	 6	0.9106	21.4306
27	 7	0.9099	21.5079
28	 0	0.8387	-2.0164
28	 1	0.9812	-25.3393
28	 2	1.0209	-31.9039
28	 3	1.0863	-42.5734
28	 4	1.1081	-46.1351
28	 5	1.1244	-48.6687
28	 6	1.1260	-48.9722
28	 7	1.0752	-40.7093
29	 0	0.8357	38.4859
29	 1	1.0120	18.3511
29	 2	1.1329	4.3811
29	 3	1.2629	-10.6719
29	 4	1.2876	-13.4677
29	 5	1.2969	-14.5680
29	 6	1.2334	-7.2492
29	 7	1.2437	-8.3937
30	 0	0.8279	24.2056
30	 1	1.0014	0.9742
30	 2	1.2004	-25.8669
30	 3	1.3239	-42.5458
30	 4	1.3833	-50.1227
30	 5	1.4455	-58.5578
30	 6	1.3955	-51.8185
30	 7	1.2754	-35.6382
31	 0	0.6807	71.2171
31	 1	0.9371	47.4188
31	 2	1.2163	21.1785
31	 3	1.3554	8.2132
31	 4	1.3517	8.4855
31	 5	1.3890	5.3285
31	 6	1.2951	13.7449
31	 7	1.0743	34.3887
