GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.335	175.240	0.9998	0.422	1.336	175.163	0.9998	0.432	1.544	167.100	1.0000	1.830	1.544	167.108	1.0000	1.785
 0	 1	1.177	172.575	0.9999	0.284	1.172	172.978	0.9999	0.221	1.268	169.372	0.9964	1.611	1.267	169.414	0.9965	1.636
 0	 2	1.135	168.740	0.9999	0.219	1.134	168.879	0.9999	0.206	1.172	168.186	0.9972	1.683	1.170	168.238	0.9972	1.658
 0	 3	1.106	166.405	0.9998	0.313	1.108	166.281	0.9996	0.521	1.106	167.660	0.9975	1.749	1.108	167.560	0.9975	1.817
 0	 4	1.073	165.355	1.0000	0.169	1.073	165.379	0.9999	0.175	1.051	167.543	0.9977	1.630	1.049	167.574	0.9977	1.624
 0	 5	1.042	163.615	0.9998	0.297	1.044	163.502	0.9998	0.325	0.979	167.599	0.9980	1.669	0.980	167.519	0.9980	1.729
 0	 6	1.002	163.830	0.9999	0.194	1.001	163.929	0.9999	0.176	0.945	167.093	0.9981	1.285	0.944	167.077	0.9982	1.372
 0	 7	0.960	164.210	0.9997	0.395	0.959	164.315	0.9997	0.375	0.910	166.820	0.9983	1.736	0.908	166.883	0.9984	1.762
 1	 0	1.449	158.150	0.9997	0.546	1.444	158.504	0.9996	0.636	1.703	150.195	1.0000	1.326	1.698	150.440	1.0000	1.260
 1	 1	1.267	157.115	0.9999	0.311	1.262	157.478	0.9998	0.362	1.420	152.028	0.9961	1.026	1.419	152.019	0.9964	1.041
