Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.5000	1.5208	1.5833	1.5000	1.4792	1.4792	1.4792	1.5833	1.4792	1.4792	1.5833	1.5000	1.5833	1.5833	1.4792	1.5000	1.5000	1.5833	1.5208	1.4792	1.4792	1.5000	1.4792	1.4792	1.4792	1.5000	1.4792	1.4792	1.5208	1.5000	1.4792	1.5000	1.5085	0.0388	1.5000	  0	1.5085	0.0388
1.7917	1.8125	1.7917	1.8125	1.7708	1.8125	1.8542	1.8750	1.8125	1.8333	1.8125	1.8125	1.8125	1.8333	1.8333	1.8125	1.8333	1.7708	1.8333	1.8333	1.8333	1.8125	1.7708	1.8125	1.6875	1.7708	1.7708	1.7708	1.7708	1.7292	1.7708	1.7708	1.8008	0.0374	1.8125	  1	1.8044	0.0317
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Median values [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2917	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2747	0.0083	0.2708	  6	0.2708	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4583	0.4375	0.4583	0.4375	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4375	0.4583	0.4583	0.4375	0.4375	0.4375	0.4538	0.0102	0.4583	  9	0.4583	0.0000
0.6458	0.6250	0.6458	0.6250	0.6667	0.6250	0.6250	0.6667	0.6667	0.6667	0.6667	0.6458	0.6458	0.6458	0.6458	0.6250	0.6250	0.6250	0.6667	0.6667	0.6250	0.6667	0.6667	0.6667	0.6667	0.6667	0.6458	0.6250	0.6250	0.6042	0.6042	0.6250	0.6439	0.0207	0.6458	  0	0.6439	0.0207
0.7917	0.7917	0.7917	0.7917	0.7917	0.7917	0.7917	0.8333	0.8333	0.8125	0.8333	0.8125	0.8333	0.7917	0.7917	0.7917	0.7917	0.8125	0.8542	0.7708	0.7917	0.7917	0.7708	0.7917	0.7917	0.7708	0.8125	0.8125	0.7917	0.7708	0.7708	0.7708	0.7982	0.0215	0.7917	  1	0.7964	0.0192
1.0000	0.9583	0.9375	1.0000	0.9583	0.9375	0.9375	1.0208	1.0208	1.0208	1.0000	1.0208	0.9583	1.0208	1.0208	0.9375	1.0208	1.0000	0.9792	0.9375	1.0208	1.0208	0.9583	0.9375	0.9375	0.9375	0.9583	0.9375	0.9792	0.9583	0.9375	0.9375	0.9753	0.0353	0.9583	  0	0.9753	0.0353
1.2500	1.1875	1.2292	1.2083	1.2292	1.2083	1.2292	1.2708	1.2083	1.2083	1.2292	1.2292	1.2500	1.2292	1.2708	1.2292	1.2708	1.2708	1.2292	1.2292	1.2500	1.2292	1.2083	1.2708	1.2292	1.2500	1.2500	1.2083	1.2500	1.1875	1.2500	1.2083	1.2331	0.0239	1.2292	  0	1.2331	0.0239
1.5000	1.4375	1.5000	1.4792	1.4792	1.4792	1.5000	1.4792	1.4792	1.4792	1.4792	1.5000	1.5000	1.5000	1.4583	1.5000	1.4792	1.5000	1.5000	1.5000	1.5000	1.5000	1.4792	1.5000	1.5000	1.5000	1.4792	1.4583	1.4375	1.4375	1.4583	1.5000	1.4837	0.0203	1.4896	  3	1.4885	0.0143
1.7708	1.7083	1.7917	1.7500	1.7708	1.7917	1.8125	1.8333	1.8125	1.7708	1.8125	1.8125	1.7708	1.7500	1.7500	1.7708	1.7708	1.7708	1.8125	1.7708	1.7500	1.7708	1.6875	1.7708	1.7708	1.7708	1.7500	1.7500	1.7292	1.7292	1.7292	1.7500	1.7676	0.0322	1.7708	  0	1.7676	0.0322
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values at peaking time - based on Mean values without Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
736.46	708.76	711.70	691.89	704.39	638.45	737.76	711.89	687.98	700.44	706.65	699.93	711.12	673.74	717.51	679.46	710.52	639.97	685.52	703.59	662.81	698.90	684.89	677.66	709.16	712.50	717.92	734.38	735.06	708.02	663.00	707.35	699.04	24.882	705.52	  2	703.03	19.961
711.98	685.41	690.94	672.88	683.10	618.07	716.62	693.38	671.51	680.09	687.85	679.45	693.19	654.88	698.47	661.00	690.54	621.40	668.14	684.87	645.04	679.13	664.03	658.74	687.55	692.35	696.65	712.04	712.37	687.35	643.58	685.05	678.99	23.964	684.96	  2	682.94	18.852
699.80	674.39	680.52	661.89	671.31	606.57	704.49	682.69	659.09	667.98	677.94	667.97	682.18	645.35	686.94	651.02	679.79	611.97	658.82	674.86	634.91	667.98	651.62	648.41	674.46	680.61	684.41	699.12	700.32	675.95	632.09	673.73	667.79	23.515	674.06	  2	671.69	18.404
692.74	667.21	674.09	655.70	665.03	601.28	697.85	677.43	654.03	661.81	672.33	661.87	676.48	639.99	680.97	645.31	674.35	607.26	653.53	669.45	629.16	662.14	646.51	642.74	668.10	674.16	677.92	692.52	692.35	670.25	626.14	667.27	661.81	23.084	667.24	  2	665.65	18.039
687.69	662.12	669.24	650.87	660.07	596.12	692.91	673.63	649.88	657.14	668.10	656.62	671.94	635.70	676.49	640.85	669.71	602.75	649.77	665.48	624.85	658.04	642.07	638.44	662.54	669.39	673.12	687.18	687.04	665.65	621.21	662.62	657.16	23.003	662.33	  2	661.01	17.881
683.66	657.39	665.68	646.45	655.98	592.12	688.29	669.40	645.79	653.09	664.13	652.56	668.21	632.18	672.53	636.48	665.45	599.07	646.02	661.62	620.50	654.07	637.31	634.70	658.46	665.95	668.62	682.55	681.72	661.19	617.87	658.03	653.03	22.845	657.71	  2	656.86	17.730
679.40	653.41	662.10	643.59	652.73	588.55	684.74	666.39	643.06	649.87	661.28	649.59	664.89	629.05	669.43	633.55	662.09	596.30	643.29	659.11	617.40	651.11	634.07	632.31	655.18	662.34	664.74	678.63	677.39	658.37	614.35	654.74	649.78	22.664	654.07	  2	653.61	17.494
676.68	650.48	658.98	641.09	649.57	585.75	680.60	663.83	641.17	646.47	658.86	646.87	662.53	626.77	666.52	631.07	659.80	593.91	641.99	656.81	614.59	647.90	630.61	629.15	652.26	658.83	661.52	675.38	674.41	655.54	612.23	651.78	647.00	22.493	651.13	  2	650.81	17.299
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Mean values with Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
736.45	708.77	711.70	692.14	704.32	638.86	738.12	712.16	688.26	700.92	707.19	700.43	711.38	673.44	717.58	679.49	710.61	639.98	685.39	703.71	662.63	699.20	685.14	678.35	709.46	712.53	717.92	734.38	735.06	707.97	663.09	707.32	699.19	24.876	705.76	  2	703.17	19.967
711.98	685.57	690.94	672.89	683.43	618.65	717.54	694.00	671.88	680.62	688.86	680.02	693.62	655.18	698.79	661.28	690.88	621.96	668.38	685.09	645.56	679.58	664.98	659.20	688.29	692.64	696.75	712.09	712.47	687.24	643.66	685.25	679.35	23.913	685.17	  2	683.29	18.831
699.61	674.43	680.36	661.78	670.97	606.26	703.90	682.41	659.04	667.43	677.74	667.58	681.98	645.21	686.84	651.02	679.79	611.97	658.47	674.81	634.90	667.89	651.73	648.16	674.45	679.94	684.26	698.98	699.97	675.95	632.19	673.68	667.62	23.456	674.05	  2	671.52	18.325
692.79	667.27	674.09	655.70	665.18	601.28	697.96	677.55	654.42	662.72	672.53	662.07	676.48	640.09	680.97	645.31	674.43	607.26	653.60	669.59	629.33	662.43	646.50	642.55	668.21	674.12	678.47	692.62	692.44	670.25	626.30	667.48	661.94	23.105	667.38	  2	665.78	18.039
687.74	662.16	669.33	650.97	660.14	596.09	692.95	673.19	650.35	657.49	668.35	656.76	672.08	635.72	676.27	640.70	669.78	602.75	649.57	665.48	624.85	657.78	642.00	638.74	662.75	669.74	672.89	687.18	686.94	665.53	621.35	662.66	657.20	22.987	662.41	  2	661.05	17.847
683.66	657.38	665.58	646.69	655.85	591.98	688.26	669.38	646.07	653.45	664.26	652.50	668.35	632.16	672.23	636.43	665.29	598.90	646.02	661.67	620.50	654.07	637.11	634.87	658.39	665.45	668.62	682.50	681.65	661.11	617.87	658.06	653.01	22.842	657.72	  2	656.85	17.695
679.30	653.38	662.05	643.49	652.87	588.57	684.30	666.13	643.01	649.84	661.27	649.26	664.56	628.97	669.43	633.45	661.96	596.25	643.25	658.80	617.20	650.65	633.55	631.62	654.81	661.91	664.85	678.46	677.47	658.25	614.40	654.74	649.63	22.648	654.06	  2	653.44	17.507
676.63	650.54	658.87	640.99	649.44	585.64	680.69	663.87	640.88	646.53	658.69	646.71	662.50	626.85	666.52	631.07	659.69	593.75	641.99	656.53	614.48	647.95	630.43	628.93	651.93	658.52	661.52	675.18	674.42	655.47	612.23	651.78	646.91	22.506	651.16	  2	650.73	17.306
