GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.386	143.595	0.9988	1.070	1.375	144.428	0.9985	1.172	1.511	141.751	0.9998	2.542	1.509	141.817	0.9998	2.634
 0	 1	1.189	146.695	0.9999	0.269	1.195	146.251	0.9998	0.392	1.252	145.820	0.9966	1.554	1.250	145.878	0.9966	1.806
 0	 2	1.126	145.675	0.9996	0.502	1.130	145.381	0.9996	0.527	1.145	146.371	0.9976	1.675	1.144	146.401	0.9976	1.863
 0	 3	1.050	147.195	1.0000	0.090	1.054	146.928	1.0000	0.137	1.061	146.960	0.9979	0.916	1.062	146.929	0.9980	1.266
 0	 4	1.048	144.570	0.9996	0.491	1.044	144.928	0.9997	0.406	1.029	146.442	0.9979	1.582	1.029	146.386	0.9979	1.756
 0	 5	0.995	145.460	0.9995	0.505	0.999	145.073	0.9992	0.644	0.976	146.331	0.9981	1.338	0.974	146.333	0.9982	1.512
 0	 6	0.966	145.275	1.0000	0.150	0.965	145.298	0.9999	0.160	0.956	145.401	0.9983	0.981	0.951	145.564	0.9984	1.016
 0	 7	0.961	143.035	0.9999	0.195	0.958	143.287	1.0000	0.026	0.911	145.453	0.9983	0.836	0.908	145.504	0.9984	0.747
 1	 0	1.407	140.075	0.9997	0.517	1.402	140.453	0.9998	0.456	1.656	132.805	1.0000	1.229	1.650	133.088	1.0000	1.029
 1	 1	1.241	140.485	1.0000	0.176	1.243	140.338	0.9999	0.273	1.411	135.176	0.9959	0.969	1.410	135.159	0.9961	0.964
 1	 2	1.180	139.225	0.9998	0.348	1.180	139.195	0.9999	0.280	1.316	134.717	0.9970	1.495	1.308	134.975	0.9973	1.554
 1	 3	1.138	138.765	1.0000	0.165	1.140	138.592	0.9997	0.457	1.256	134.449	0.9971	0.618	1.252	134.660	0.9972	0.782
 1	 4	1.138	136.125	0.9996	0.482	1.131	136.716	0.9997	0.432	1.214	134.361	0.9974	1.430	1.207	134.711	0.9974	1.580
 1	 5	1.094	136.565	1.0000	0.133	1.095	136.474	1.0000	0.065	1.175	133.651	0.9976	0.658	1.173	133.710	0.9976	0.600
 1	 6	1.054	137.360	1.0000	0.136	1.047	137.917	1.0000	0.162	1.160	132.606	0.9978	0.904	1.163	132.402	0.9978	1.033
 1	 7	1.047	135.705	0.9999	0.260	1.050	135.424	0.9998	0.346	1.121	132.566	0.9978	0.732	1.128	132.176	0.9979	1.091
 2	 0	1.384	172.795	0.9998	0.473	1.379	173.241	0.9998	0.381	1.692	161.651	1.0000	1.809	1.682	162.174	1.0000	1.802
