ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	218.009	0.326
 0	 0	 1	216.972	0.343
 0	 0	 2	216.018	0.328
 0	 0	 3	214.898	0.338
 0	 0	 4	213.936	0.349
 0	 0	 5	212.885	0.367
 0	 0	 6	211.940	0.381
 0	 0	 7	210.834	0.384
 0	 1	 0	217.986	0.270
 0	 1	 1	216.934	0.344
 0	 1	 2	216.012	0.327
 0	 1	 3	214.892	0.337
 0	 1	 4	213.932	0.331
 0	 1	 5	212.846	0.301
 0	 1	 6	211.928	0.313
 0	 1	 7	210.739	0.307
 0	 2	 0	218.041	0.328
 0	 2	 1	216.982	0.369
 0	 2	 2	216.002	0.338
 0	 2	 3	214.831	0.274
 0	 2	 4	213.892	0.336
 0	 2	 5	212.840	0.281
 0	 2	 6	211.912	0.300
 0	 2	 7	210.710	0.300
 0	 3	 0	218.013	0.313
 0	 3	 1	216.949	0.285
 0	 3	 2	215.991	0.306
 0	 3	 3	214.816	0.234
 0	 3	 4	213.876	0.255
 0	 3	 5	212.816	0.226
 0	 3	 6	211.888	0.247
 0	 3	 7	210.719	0.271
 0	 4	 0	217.955	0.266
 0	 4	 1	216.857	0.249
 0	 4	 2	215.980	0.284
 0	 4	 3	214.814	0.233
 0	 4	 4	213.879	0.256
 0	 4	 5	212.727	0.254
 0	 4	 6	211.812	0.284
 0	 4	 7	210.712	0.247
 0	 5	 0	218.011	0.270
 0	 5	 1	216.862	0.250
 0	 5	 2	215.909	0.250
 0	 5	 3	214.758	0.263
 0	 5	 4	213.836	0.245
 0	 5	 5	212.722	0.252
 0	 5	 6	211.818	0.229
 0	 5	 7	210.683	0.237
 0	 6	 0	217.933	0.261
 0	 6	 1	216.825	0.269
 0	 6	 2	215.950	0.307
 0	 6	 3	214.758	0.218
 0	 6	 4	213.878	0.256
 0	 6	 5	212.667	0.233
 0	 6	 6	211.802	0.225
 0	 6	 7	210.685	0.222
 0	 7	 0	218.001	0.311
 0	 7	 1	216.787	0.230
 0	 7	 2	215.891	0.246
 0	 7	 3	214.741	0.258
 0	 7	 4	213.856	0.250
 0	 7	 5	212.700	0.195
 0	 7	 6	211.796	0.258
 0	 7	 7	210.607	0.229
 1	 0	 0	222.191	0.377
 1	 0	 1	221.050	0.410
 1	 0	 2	220.088	0.392
 1	 0	 3	218.887	0.362
 1	 0	 4	218.143	0.349
