INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	12.225	6.493	10.708	5.711
 0	 1	9.976	7.094	9.133	6.519
 0	 2	10.358	7.283	9.727	6.891
 0	 3	11.124	7.790	10.495	7.368
 0	 4	11.280	8.346	10.681	7.872
 0	 5	12.025	9.064	11.214	8.427
 0	 6	11.770	10.679	11.096	9.938
 0	 7	12.596	11.772	11.949	10.726
 1	 0	10.692	5.785	9.126	4.962
 1	 1	8.390	6.095	7.407	5.405
 1	 2	8.808	6.482	7.829	5.761
 1	 3	9.539	7.151	8.484	6.337
 1	 4	9.659	7.230	8.600	6.443
 1	 5	10.226	8.184	9.090	7.224
 1	 6	10.026	9.032	8.991	8.099
 1	 7	10.203	9.454	9.235	8.501
 2	 0	9.053	5.246	7.613	4.410
 2	 1	7.232	5.573	6.373	4.940
 2	 2	7.245	5.340	6.383	4.701
 2	 3	8.163	6.141	7.176	5.438
 2	 4	8.174	6.414	7.357	5.796
 2	 5	8.428	6.632	7.557	5.913
 2	 6	8.193	7.611	7.461	6.888
 2	 7	8.790	8.053	7.887	7.164
 3	 0	5.192	3.559	4.320	2.961
 3	 1	4.546	3.931	3.946	3.469
 3	 2	5.023	4.445	4.355	3.848
 3	 3	5.597	4.931	4.885	4.342
 3	 4	5.641	5.114	4.980	4.490
 3	 5	6.127	5.982	5.315	5.122
 3	 6	6.031	5.777	5.502	5.237
 3	 7	6.575	6.370	5.830	5.643
 4	 0	5.007	3.400	4.158	2.837
 4	 1	3.753	3.443	3.204	3.016
 4	 2	3.787	3.639	3.295	3.194
 4	 3	3.882	3.659	3.406	3.308
 4	 4	4.310	4.157	3.792	3.749
 4	 5	4.642	4.340	4.071	3.930
 4	 6	4.711	4.562	4.359	4.267
 4	 7	5.584	5.587	5.007	4.961
 5	 0	7.353	4.166	5.807	3.319
 5	 1	4.764	4.148	4.042	3.604
 5	 2	5.047	4.659	4.357	4.072
 5	 3	5.234	4.983	4.540	4.498
 5	 4	5.783	5.386	5.055	4.774
 5	 5	6.428	6.079	5.473	5.369
 5	 6	6.210	6.054	5.765	5.611
 5	 7	7.168	7.025	6.474	6.270
 6	 0	12.307	5.717	10.070	4.731
 6	 1	8.818	6.435	7.442	5.500
 6	 2	9.468	7.021	7.917	6.001
 6	 3	10.436	7.884	8.855	6.966
 6	 4	11.060	8.725	9.256	7.217
 6	 5	11.628	9.743	9.430	8.420
 6	 6	10.849	9.467	9.973	8.400
 6	 7	12.494	10.140	11.030	8.783
 7	 0	18.967	9.869	14.847	7.787
 7	 1	16.072	10.517	13.368	8.883
 7	 2	16.757	10.675	14.393	9.207
 7	 3	19.498	12.778	16.264	11.055
 7	 4	20.182	12.120	16.840	10.042
 7	 5	20.782	13.657	16.862	12.270
 7	 6	17.834	11.880	17.243	11.518
 7	 7	21.909	15.393	19.328	12.812
 8	 0	17.460	10.905	13.902	8.601
 8	 1	17.994	11.447	14.742	9.489
 8	 2	19.453	11.407	16.074	9.452
 8	 3	22.865	14.418	18.679	12.169
 8	 4	24.370	15.276	18.732	11.432
 8	 5	24.041	16.459	18.905	13.803
 8	 6	20.744	15.839	19.830	14.932
 8	 7	25.766	17.736	22.436	14.812
 9	 0	9.261	5.878	7.469	4.663
 9	 1	9.385	6.606	7.936	5.612
 9	 2	9.966	7.211	8.342	6.136
 9	 3	11.615	8.899	9.694	7.633
 9	 4	12.264	9.466	10.001	7.860
 9	 5	13.773	11.444	11.211	9.789
 9	 6	13.511	11.919	12.416	11.254
 9	 7	15.805	15.116	13.683	13.097
10	 0	4.928	4.127	4.064	3.408
10	 1	5.483	4.979	4.605	4.197
10	 2	5.928	5.569	5.102	4.819
10	 3	7.037	6.659	6.087	6.046
10	 4	7.748	7.471	6.573	6.412
10	 5	9.151	8.958	7.637	7.523
10	 6	9.685	9.499	8.810	8.644
10	 7	11.358	11.234	10.051	10.220
11	 0	4.632	3.543	3.879	2.962
11	 1	4.209	4.094	3.603	3.535
11	 2	4.824	4.686	4.127	4.041
11	 3	5.663	5.608	4.866	4.907
11	 4	6.457	6.455	5.478	5.442
11	 5	7.682	7.667	6.458	6.497
11	 6	8.344	8.306	7.616	7.457
11	 7	9.585	9.555	8.699	8.776
12	 0	4.677	3.877	3.901	3.205
12	 1	4.246	4.062	3.670	3.557
12	 2	4.914	4.799	4.219	4.130
12	 3	5.702	5.654	4.905	4.953
12	 4	6.360	6.299	5.527	5.490
12	 5	7.933	7.852	6.865	6.836
12	 6	8.232	8.035	7.652	7.644
12	 7	9.785	9.596	8.853	8.818
13	 0	5.585	4.348	4.670	3.630
13	 1	5.410	4.905	4.713	4.231
