ch	pt	m	q
 0	 0	0.3961	66.4871
 0	 1	0.3774	69.2882
 0	 2	0.3448	74.1514
 0	 3	0.2192	92.9294
 0	 4	0.2545	87.6591
 0	 5	0.2262	91.9772
 0	 6	0.2114	94.1242
 0	 7	0.2391	90.0266
 1	 0	0.3532	84.5507
 1	 1	0.2758	93.5216
 1	 2	0.2560	95.8632
 1	 3	0.1935	103.2062
 1	 4	0.2102	101.2621
 1	 5	0.1460	108.8173
 1	 6	0.1971	102.7876
 1	 7	0.1712	105.8703
 2	 0	0.3747	68.7306
 2	 1	0.3178	77.3050
 2	 2	0.2292	90.7591
 2	 3	0.1760	98.8893
 2	 4	0.1781	98.6090
 2	 5	0.1853	97.5662
 2	 6	0.1463	103.4270
 2	 7	0.1842	97.7530
 3	 0	0.4294	82.1867
 3	 1	0.3888	86.2499
 3	 2	0.2794	97.4259
 3	 3	0.1810	107.3571
 3	 4	0.1984	105.6402
 3	 5	0.1883	106.7252
 3	 6	0.1732	108.1954
 3	 7	0.1668	108.8950
 4	 0	0.4677	84.9620
 4	 1	0.4023	90.5877
 4	 2	0.3446	95.6760
 4	 3	0.2149	107.0129
 4	 4	0.2278	105.8625
 4	 5	0.1850	109.6127
 4	 6	0.1613	111.6540
 4	 7	0.1807	110.0655
 5	 0	0.4041	81.6620
 5	 1	0.3763	84.7663
 5	 2	0.3170	91.1631
 5	 3	0.2444	99.0760
 5	 4	0.2315	100.5250
 5	 5	0.1750	106.7147
 5	 6	0.1734	106.8370
 5	 7	0.1814	106.0558
 6	 0	0.3845	66.2742
 6	 1	0.3501	71.5115
 6	 2	0.3401	72.9983
 6	 3	0.2384	88.8429
 6	 4	0.2310	89.9929
 6	 5	0.2000	94.8142
 6	 6	0.1775	98.2463
 6	 7	0.1788	98.1423
 7	 0	0.3462	90.6352
 7	 1	0.3225	93.0307
 7	 2	0.3200	93.2973
 7	 3	0.2290	102.4700
 7	 4	0.2385	101.5618
 7	 5	0.2023	105.2524
 7	 6	0.1705	108.4677
 7	 7	0.1949	106.0506
 8	 0	0.3241	85.3159
 8	 1	0.2910	89.4265
 8	 2	0.2902	89.4781
 8	 3	0.2262	97.4542
 8	 4	0.2189	98.3853
 8	 5	0.1967	101.1928
 8	 6	0.2033	100.3212
 8	 7	0.2118	99.3064
 9	 0	0.4331	81.2782
 9	 1	0.3918	85.4982
 9	 2	0.3372	91.0873
 9	 3	0.2583	99.2229
 9	 4	0.2633	98.7667
 9	 5	0.2256	102.6707
 9	 6	0.2250	102.6879
 9	 7	0.2468	100.5440
10	 0	0.4318	65.7407
10	 1	0.3855	72.0096
10	 2	0.3195	81.2332
10	 3	0.2475	91.3051
10	 4	0.2453	91.6134
10	 5	0.2250	94.4641
10	 6	0.2236	94.6680
10	 7	0.2437	91.8965
11	 0	0.4354	67.4810
11	 1	0.3699	76.1793
11	 2	0.3336	80.9797
11	 3	0.2574	91.2383
11	 4	0.2585	91.0705
11	 5	0.2272	95.3472
11	 6	0.2371	93.9521
11	 7	0.2511	92.1318
12	 0	0.4315	77.9106
12	 1	0.3517	86.6665
12	 2	0.2980	92.6136
12	 3	0.2408	98.9668
12	 4	0.2396	99.1453
12	 5	0.2102	102.4483
12	 6	0.2118	102.1888
12	 7	0.2358	99.6410
13	 0	0.4408	65.8467
13	 1	0.3533	77.7011
13	 2	0.2812	87.4583
13	 3	0.2084	97.3584
13	 4	0.2310	94.2964
13	 5	0.2036	98.0725
13	 6	0.2058	97.7133
13	 7	0.2277	94.7924
14	 0	0.3551	72.5085
14	 1	0.2921	81.8730
14	 2	0.2580	86.9957
14	 3	0.1872	97.6092
14	 4	0.1841	98.0969
14	 5	0.1864	97.8221
14	 6	0.2006	95.6213
14	 7	0.2097	94.3361
15	 0	0.3618	83.2121
15	 1	0.3167	88.4901
15	 2	0.2652	94.5184
15	 3	0.2089	101.1178
15	 4	0.1975	102.4925
15	 5	0.1805	104.5374
15	 6	0.1929	103.0319
15	 7	0.2088	101.2137
16	 0	0.3160	81.8048
16	 1	0.2745	87.5275
16	 2	0.3090	82.7023
16	 3	0.2252	94.3441
16	 4	0.2301	93.7410
16	 5	0.2120	96.3129
16	 6	0.2151	95.8103
16	 7	0.2177	95.5614
17	 0	0.3423	76.3310
17	 1	0.2872	84.1635
17	 2	0.2990	82.5597
17	 3	0.2309	92.3746
17	 4	0.1962	97.3951
17	 5	0.1995	96.9125
17	 6	0.2067	95.8884
17	 7	0.2142	94.8489
18	 0	0.4255	82.6943
18	 1	0.3779	87.4795
18	 2	0.3379	91.4750
18	 3	0.2195	103.5429
18	 4	0.2431	101.1401
18	 5	0.2157	103.9722
18	 6	0.2255	102.9660
18	 7	0.2361	101.9375
19	 0	0.4139	76.1506
19	 1	0.3491	83.9015
19	 2	0.3345	85.6866
19	 3	0.2425	96.6166
19	 4	0.2185	99.5392
19	 5	0.2025	101.4446
19	 6	0.2115	100.3828
19	 7	0.2231	99.0618
20	 0	0.3796	66.1516
20	 1	0.3238	74.9441
20	 2	0.3113	76.9199
