INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	8.422	7.757	6.895	6.355
 0	 1	6.837	6.599	6.002	5.826
 0	 2	6.122	6.075	5.562	5.504
 0	 3	6.891	6.872	6.488	6.463
 0	 4	7.395	7.317	7.120	7.030
 0	 5	7.487	7.446	7.248	7.204
 0	 6	6.410	6.187	6.400	6.186
 0	 7	6.209	6.181	6.153	6.128
 1	 0	6.611	6.140	5.501	5.119
 1	 1	6.739	6.480	6.032	5.791
 1	 2	8.484	8.404	7.699	7.625
 1	 3	6.011	5.977	5.516	5.489
 1	 4	7.117	7.058	6.557	6.504
 1	 5	7.581	7.581	6.988	6.990
 1	 6	7.917	7.749	7.308	7.164
 1	 7	8.102	7.995	7.681	7.584
 2	 0	7.738	7.158	6.122	5.654
 2	 1	7.491	7.267	6.500	6.291
 2	 2	6.534	6.464	5.758	5.707
 2	 3	7.505	7.440	6.724	6.670
 2	 4	6.348	6.255	5.949	5.851
 2	 5	7.432	7.383	6.975	6.924
 2	 6	8.326	8.168	7.887	7.753
 2	 7	7.137	7.082	6.930	6.876
 3	 0	6.790	6.258	5.526	5.141
 3	 1	7.883	7.573	6.937	6.713
 3	 2	5.917	5.785	5.253	5.133
 3	 3	7.463	7.409	6.546	6.500
 3	 4	7.936	7.880	7.110	7.055
 3	 5	7.484	7.359	6.716	6.616
 3	 6	8.195	8.077	7.418	7.324
 3	 7	8.800	8.757	8.089	8.047
 4	 0	5.752	5.414	4.681	4.428
 4	 1	5.981	5.807	4.982	4.840
 4	 2	5.930	5.899	5.148	5.110
 4	 3	5.789	5.677	5.065	4.965
 4	 4	5.605	5.572	4.921	4.894
 4	 5	6.586	6.542	5.862	5.822
 4	 6	6.063	5.998	5.413	5.366
 4	 7	6.314	6.227	5.740	5.681
 5	 0	5.191	4.941	4.181	3.997
 5	 1	5.372	5.162	4.509	4.355
 5	 2	5.513	5.434	4.775	4.713
 5	 3	6.143	6.102	5.342	5.302
 5	 4	5.479	5.438	4.969	4.933
 5	 5	6.434	6.361	5.800	5.731
 5	 6	6.568	6.461	5.961	5.852
 5	 7	6.244	6.122	5.743	5.642
 6	 0	4.639	4.373	3.727	3.495
 6	 1	5.213	5.138	4.322	4.269
 6	 2	5.218	5.209	4.482	4.480
 6	 3	6.112	6.126	5.276	5.281
 6	 4	6.388	6.292	5.753	5.664
 6	 5	6.285	6.171	5.617	5.523
 6	 6	6.294	6.128	5.646	5.516
 6	 7	5.930	5.867	5.473	5.416
 7	 0	4.024	3.977	3.184	3.151
 7	 1	4.712	4.574	3.956	3.904
 7	 2	4.393	4.385	3.895	3.884
 7	 3	4.797	4.746	4.303	4.253
 7	 4	5.167	5.128	4.821	4.795
 7	 5	5.633	5.619	5.211	5.219
 7	 6	5.571	5.552	5.136	5.126
 7	 7	6.064	5.974	5.759	5.673
 8	 0	4.759	4.619	3.831	3.731
 8	 1	4.918	4.813	4.168	4.111
 8	 2	4.900	4.738	4.224	4.121
 8	 3	4.813	4.731	4.258	4.141
 8	 4	4.585	4.489	4.106	4.029
 8	 5	5.258	5.170	4.744	4.663
 8	 6	5.570	5.428	4.909	4.798
 8	 7	5.152	5.227	4.715	4.734
 9	 0	5.381	5.180	4.366	4.233
 9	 1	5.045	4.931	4.269	4.188
 9	 2	5.532	5.430	4.803	4.743
 9	 3	5.502	5.433	4.787	4.752
 9	 4	5.080	5.000	4.530	4.462
 9	 5	5.097	4.969	4.577	4.479
 9	 6	5.548	5.532	4.921	4.914
 9	 7	5.439	5.375	4.936	4.842
10	 0	4.792	4.491	3.954	3.718
10	 1	5.142	5.059	4.353	4.285
10	 2	4.683	4.653	4.071	4.041
10	 3	4.807	4.749	4.205	4.166
10	 4	4.886	4.865	4.315	4.250
10	 5	4.324	4.277	3.886	3.819
10	 6	4.925	4.813	4.396	4.310
10	 7	4.888	4.820	4.455	4.389
11	 0	4.850	4.702	3.928	3.811
11	 1	5.483	5.367	4.592	4.504
11	 2	5.834	5.834	5.041	5.044
11	 3	5.246	5.182	4.675	4.644
11	 4	5.770	5.724	5.233	5.187
11	 5	5.031	4.947	4.648	4.560
11	 6	4.705	4.702	4.355	4.324
11	 7	4.820	4.821	4.568	4.555
12	 0	5.794	5.399	4.718	4.389
12	 1	6.452	6.253	5.598	5.434
12	 2	5.699	5.569	5.178	5.065
12	 3	4.755	4.645	4.346	4.263
12	 4	5.471	5.469	5.035	5.029
12	 5	5.007	4.938	4.677	4.601
12	 6	5.275	5.101	4.807	4.651
12	 7	4.963	4.915	4.566	4.555
13	 0	6.855	6.328	5.609	5.177
13	 1	7.530	7.371	6.615	6.485
13	 2	6.086	6.026	5.453	5.400
13	 3	5.739	5.743	5.298	5.301
13	 4	5.889	5.846	5.407	5.320
13	 5	5.190	4.993	4.750	4.570
13	 6	5.705	5.578	5.281	5.198
13	 7	5.950	5.861	5.582	5.509
14	 0	6.546	6.184	5.497	5.193
14	 1	7.217	7.043	6.316	6.158
