ch	pt	m	q
 0	 0	0.1658	112.3381
 0	 1	0.1720	111.2446
 0	 2	0.1593	113.2467
 0	 3	0.2063	105.9088
 0	 4	0.2191	103.9924
 0	 5	0.2300	102.2130
 0	 6	0.2099	105.3743
 0	 7	0.2484	99.2959
 1	 0	0.1392	118.6307
 1	 1	0.1407	118.3114
 1	 2	0.1673	114.5615
 1	 3	0.1919	111.1038
 1	 4	0.2020	109.8027
 1	 5	0.1874	111.7634
 1	 6	0.1960	110.6080
 1	 7	0.2075	108.8823
 2	 0	0.1561	111.2379
 2	 1	0.1483	112.5268
 2	 2	0.1664	109.3621
 2	 3	0.1704	108.6535
 2	 4	0.1756	107.8876
 2	 5	0.1891	105.4882
 2	 6	0.1870	105.8803
 2	 7	0.1900	105.2879
 3	 0	0.1759	111.5670
 3	 1	0.1817	110.6376
 3	 2	0.1806	110.7841
 3	 3	0.1754	111.5600
 3	 4	0.1909	109.2954
 3	 5	0.1774	111.2792
 3	 6	0.2064	106.9191
 3	 7	0.2124	105.9432
 4	 0	0.1931	111.0000
 4	 1	0.1809	112.6432
 4	 2	0.2127	108.1698
 4	 3	0.1899	111.3784
 4	 4	0.2126	108.2839
 4	 5	0.2090	108.7489
 4	 6	0.1859	111.9977
 4	 7	0.2041	109.3613
 5	 0	0.2300	113.4219
 5	 1	0.2206	114.3723
 5	 2	0.1843	118.2843
 5	 3	0.1924	117.3727
 5	 4	0.2010	116.5906
 5	 5	0.2145	115.0258
 5	 6	0.2031	116.2948
 5	 7	0.2336	112.9567
 6	 0	0.2177	105.5037
 6	 1	0.2038	107.5663
 6	 2	0.1968	108.5689
 6	 3	0.2133	106.1111
 6	 4	0.2088	106.9272
 6	 5	0.2168	105.6254
 6	 6	0.2149	105.9864
 6	 7	0.2591	99.3185
 7	 0	0.2188	106.3580
 7	 1	0.2029	108.5966
 7	 2	0.1837	111.3630
 7	 3	0.2197	106.0766
 7	 4	0.2069	108.0489
 7	 5	0.1992	109.1013
 7	 6	0.2286	104.8561
 7	 7	0.2363	103.6630
 8	 0	0.2114	108.2425
 8	 1	0.1955	110.4284
 8	 2	0.2150	107.6264
 8	 3	0.2147	107.6951
 8	 4	0.2239	106.4653
 8	 5	0.2340	105.0544
 8	 6	0.2234	106.5948
 8	 7	0.2297	105.6876
 9	 0	0.2391	115.4124
 9	 1	0.2067	118.4538
 9	 2	0.2191	117.2292
 9	 3	0.2402	115.2208
 9	 4	0.2240	116.8629
 9	 5	0.2361	115.6612
 9	 6	0.2417	115.1475
 9	 7	0.2626	113.1119
10	 0	0.2096	109.5009
10	 1	0.2108	109.2729
10	 2	0.2025	110.3847
10	 3	0.2387	105.4675
10	 4	0.2366	105.8610
10	 5	0.2464	104.4198
10	 6	0.2513	103.7727
10	 7	0.2625	102.1926
11	 0	0.2129	112.7251
11	 1	0.1797	116.6373
11	 2	0.1910	115.2647
11	 3	0.2137	112.5286
11	 4	0.2330	110.3157
11	 5	0.2412	109.3054
11	 6	0.2346	110.1081
11	 7	0.2552	107.5839
12	 0	0.1933	113.8774
12	 1	0.1879	114.5404
12	 2	0.1804	115.4574
12	 3	0.2062	112.2065
12	 4	0.2146	111.2080
12	 5	0.2164	110.9770
12	 6	0.2199	110.5759
12	 7	0.2253	109.8044
13	 0	0.1826	110.5849
13	 1	0.1505	115.3653
13	 2	0.1711	112.2151
13	 3	0.2091	106.5017
13	 4	0.1931	108.9775
13	 5	0.2183	105.0746
13	 6	0.2085	106.5669
13	 7	0.2308	103.1227
14	 0	0.1880	112.2258
14	 1	0.1821	112.9680
14	 2	0.1649	115.3073
14	 3	0.2041	109.8927
14	 4	0.2004	110.5084
14	 5	0.2151	108.3656
14	 6	0.2077	109.4127
14	 7	0.2313	106.0937
15	 0	0.1714	110.9910
15	 1	0.1479	114.6492
15	 2	0.1614	112.4585
15	 3	0.1817	109.2530
15	 4	0.1866	108.5313
15	 5	0.2009	106.2206
15	 6	0.1891	108.0901
15	 7	0.2039	105.6533
16	 0	0.1688	114.4428
16	 1	0.1777	113.1755
16	 2	0.1817	112.5908
16	 3	0.2012	109.8406
16	 4	0.1909	111.3835
16	 5	0.2048	109.3381
16	 6	0.2227	106.8278
16	 7	0.2206	107.0813
17	 0	0.1461	118.2028
17	 1	0.1927	111.7200
17	 2	0.1857	112.6768
17	 3	0.2148	108.6733
17	 4	0.2170	108.5022
17	 5	0.2562	103.0463
17	 6	0.2482	104.2039
17	 7	0.2516	103.6808
18	 0	0.1699	117.3627
18	 1	0.1900	114.8223
18	 2	0.1799	116.0378
18	 3	0.2062	112.8106
18	 4	0.2226	110.8150
18	 5	0.2187	111.2923
18	 6	0.2315	109.7613
18	 7	0.2314	109.7307
19	 0	0.2226	107.9835
19	 1	0.1905	112.3042
19	 2	0.1879	112.6133
19	 3	0.2248	107.6383
19	 4	0.2194	108.4673
19	 5	0.2251	107.5821
19	 6	0.2296	107.0189
19	 7	0.2630	102.4226
20	 0	0.2103	112.1381
20	 1	0.1949	113.9836
20	 2	0.1997	113.3611
20	 3	0.2115	111.8733
20	 4	0.2201	110.9385
20	 5	0.2170	111.2759
20	 6	0.2391	108.5618
20	 7	0.2341	109.1188
21	 0	0.2330	107.5173
21	 1	0.2119	110.2117
21	 2	0.2118	110.1569
21	 3	0.2473	105.4735
21	 4	0.2304	107.9012
21	 5	0.2484	105.4124
21	 6	0.2354	107.1510
21	 7	0.2817	100.9570
22	 0	0.2034	112.7810
22	 1	0.2107	111.7959
22	 2	0.2135	111.4303
22	 3	0.2034	112.6961
22	 4	0.2100	111.9680
22	 5	0.2219	110.3702
22	 6	0.2098	111.9325
22	 7	0.2420	107.8701
23	 0	0.2155	103.7540
23	 1	0.2130	104.0736
23	 2	0.2075	104.9342
23	 3	0.2217	102.6795
23	 4	0.2183	103.2971
23	 5	0.2269	101.8412
23	 6	0.2178	103.3294
23	 7	0.2428	99.3099
24	 0	0.2227	109.9872
24	 1	0.1920	113.7575
24	 2	0.1839	114.7995
24	 3	0.2056	112.0189
24	 4	0.2062	112.0528
24	 5	0.2303	108.9268
24	 6	0.2225	109.8679
24	 7	0.2360	108.2218
25	 0	0.1930	105.3193
25	 1	0.1823	107.1092
25	 2	0.1913	105.5165
25	 3	0.1954	104.7975
25	 4	0.1950	104.9740
25	 5	0.1957	104.7515
25	 6	0.2058	103.0703
25	 7	0.2056	103.0685
26	 0	0.1960	111.8966
26	 1	0.1917	112.4463
26	 2	0.2143	109.4001
26	 3	0.1920	112.3922
26	 4	0.2140	109.4805
26	 5	0.2193	108.7251
26	 6	0.2295	107.3960
26	 7	0.2103	109.8439
27	 0	0.1822	113.6923
27	 1	0.1734	114.7738
27	 2	0.1676	115.5696
27	 3	0.2130	109.4446
27	 4	0.1955	111.9150
27	 5	0.2149	109.1907
27	 6	0.2432	105.4732
27	 7	0.2386	106.0001
28	 0	0.1680	116.3804
