ch	pt	m	q
 0	 0	0.9815	-5.1996
 0	 1	1.3823	-63.4257
 0	 2	1.4484	-73.0642
 0	 3	1.5140	-82.3737
 0	 4	1.6446	-101.7174
 0	 5	1.6199	-97.8375
 0	 6	1.5722	-91.0353
 0	 7	1.5777	-91.9645
 1	 0	0.8073	26.5865
 1	 1	1.1319	-18.0054
 1	 2	1.1838	-25.0881
 1	 3	1.2660	-36.4752
 1	 4	1.4004	-54.9010
 1	 5	1.3961	-54.2949
 1	 6	1.3159	-43.1940
 1	 7	1.2732	-37.4258
 2	 0	0.8751	34.0518
 2	 1	1.0640	11.8059
 2	 2	1.1195	5.2635
 2	 3	1.2244	-7.0479
 2	 4	1.2470	-9.9654
 2	 5	1.2732	-12.8162
 2	 6	1.2729	-12.8172
 2	 7	1.2063	-4.8301
 3	 0	0.7441	13.0469
 3	 1	0.8668	-7.4157
 3	 2	0.9149	-15.4559
 3	 3	0.9599	-22.9682
 3	 4	1.0269	-34.0348
 3	 5	0.9993	-29.4671
 3	 6	1.0082	-30.7655
 3	 7	0.9344	-18.6041
 4	 0	0.7425	54.7946
 4	 1	0.8280	45.2657
 4	 2	0.8738	40.2195
 4	 3	0.9177	35.3727
 4	 4	0.9205	34.9811
 4	 5	0.9240	34.7148
 4	 6	0.9172	35.5128
 4	 7	0.9031	37.0573
 5	 0	0.6596	40.4773
 5	 1	0.7423	28.4492
 5	 2	0.7787	23.0876
 5	 3	0.7836	22.3169
 5	 4	0.8181	17.3423
 5	 5	0.8242	16.4824
 5	 6	0.8156	17.5260
 5	 7	0.7833	22.3674
 6	 0	0.5192	59.0163
 6	 1	0.5632	52.3642
 6	 2	0.5766	50.3255
 6	 3	0.5906	48.2340
 6	 4	0.6135	44.8549
 6	 5	0.6063	45.8949
 6	 6	0.6103	45.3342
 6	 7	0.5948	47.6369
 7	 0	0.4373	72.1771
 7	 1	0.4892	64.3736
 7	 2	0.4894	64.3091
 7	 3	0.4958	63.4681
 7	 4	0.5029	62.3996
 7	 5	0.4940	63.7256
 7	 6	0.4881	64.6400
 7	 7	0.4832	65.3081
 8	 0	0.4142	85.5156
 8	 1	0.4299	83.4988
 8	 2	0.4258	84.0679
 8	 3	0.4306	83.3868
 8	 4	0.4404	82.1917
 8	 5	0.4389	82.2932
 8	 6	0.4376	82.5386
 8	 7	0.4352	82.8694
 9	 0	0.4838	53.4158
 9	 1	0.5116	48.6006
 9	 2	0.5088	49.2060
 9	 3	0.5232	46.6733
 9	 4	0.5364	44.3923
 9	 5	0.5410	43.5615
 9	 6	0.5311	45.3451
 9	 7	0.5169	47.7490
10	 0	0.5842	59.0711
10	 1	0.6485	50.4506
10	 2	0.6331	52.4853
10	 3	0.6475	50.5647
10	 4	0.6691	47.7301
10	 5	0.6479	50.4975
10	 6	0.6642	48.3867
10	 7	0.6406	51.5278
11	 0	0.6348	53.2152
11	 1	0.6903	45.7868
11	 2	0.6870	46.1786
11	 3	0.7023	44.1307
11	 4	0.7240	41.2784
11	 5	0.7232	41.3819
11	 6	0.7102	43.1361
11	 7	0.6985	44.6998
12	 0	0.6936	56.9039
12	 1	0.7609	49.1355
12	 2	0.7665	48.5073
12	 3	0.7816	46.7596
12	 4	0.8032	43.9825
12	 5	0.8041	43.9702
12	 6	0.7841	46.3093
12	 7	0.7565	49.4032
13	 0	0.8161	53.8811
13	 1	0.8891	46.1868
13	 2	0.8808	47.1460
13	 3	0.9215	42.8508
13	 4	0.9242	42.5715
13	 5	0.9285	41.9856
13	 6	0.8859	46.4868
13	 7	0.8341	51.7250
14	 0	0.7859	24.8998
14	 1	0.9467	1.8976
14	 2	0.9268	4.5475
14	 3	0.9458	1.7539
14	 4	0.9752	-2.2795
14	 5	0.9084	7.2313
14	 6	0.8659	13.2560
14	 7	0.8220	19.5446
15	 0	0.7917	27.5990
15	 1	0.9643	3.4256
15	 2	0.9596	4.2821
15	 3	0.9540	4.9089
15	 4	0.9837	0.7697
15	 5	0.9125	10.7346
15	 6	0.8295	22.1913
15	 7	0.7676	30.6079
16	 0	0.6837	13.7167
16	 1	0.8877	-23.1484
16	 2	0.9387	-32.4338
16	 3	1.0398	-50.7169
16	 4	1.1137	-63.8019
16	 5	1.0995	-61.3974
16	 6	1.1020	-61.9948
16	 7	1.0789	-57.8236
17	 0	0.6947	27.8073
17	 1	0.8601	1.6854
17	 2	0.9428	-11.3981
17	 3	0.9995	-20.4100
17	 4	1.0493	-28.2518
17	 5	1.0849	-33.8370
17	 6	1.0135	-22.4578
17	 7	1.0233	-24.0641
18	 0	0.7325	44.8202
18	 1	0.8803	25.9242
18	 2	0.9039	23.0322
18	 3	0.9504	17.0585
18	 4	0.9713	14.4603
18	 5	0.9803	13.4235
18	 6	0.9622	15.6114
18	 7	0.9594	16.0051
19	 0	0.7710	56.8416
19	 1	0.8591	47.6911
19	 2	0.8724	46.3077
19	 3	0.8883	44.6956
19	 4	0.9115	42.2086
19	 5	0.9346	39.6558
19	 6	0.9203	41.2884
19	 7	0.8988	43.5365
20	 0	0.6931	61.7083
20	 1	0.8086	49.1324
20	 2	0.8441	45.1876
20	 3	0.8679	42.4987
20	 4	0.8797	41.2387
20	 5	0.8699	42.2899
20	 6	0.8731	41.9499
20	 7	0.8563	43.6929
21	 0	0.6727	63.4942
21	 1	0.6991	60.5245
21	 2	0.7443	55.5528
21	 3	0.7493	55.1378
21	 4	0.7497	55.1056
21	 5	0.7622	53.6947
21	 6	0.7466	55.4714
21	 7	0.7574	54.1482
22	 0	0.6146	55.4385
22	 1	0.6370	52.4375
22	 2	0.6520	50.3449
22	 3	0.6404	52.0225
22	 4	0.6538	50.3335
22	 5	0.6542	50.1314
22	 6	0.6547	50.1277
22	 7	0.6590	49.5782
23	 0	0.6282	83.7244
23	 1	0.6415	82.4301
23	 2	0.6391	82.5407
23	 3	0.6332	82.9952
23	 4	0.6240	83.8557
23	 5	0.6423	82.2597
23	 6	0.6341	83.0131
23	 7	0.6456	82.1136
24	 0	0.5562	65.1379
24	 1	0.5954	60.0718
24	 2	0.5924	60.7243
24	 3	0.5991	59.8183
24	 4	0.6038	59.2201
24	 5	0.5999	59.5504
24	 6	0.5961	60.1379
24	 7	0.5951	60.2662
25	 0	0.5764	37.6105
25	 1	0.6511	24.7217
25	 2	0.6589	23.3305
25	 3	0.6628	22.7020
25	 4	0.6808	19.7170
25	 5	0.6825	19.3309
25	 6	0.6689	21.6838
25	 7	0.6681	21.8540
26	 0	0.7308	39.1235
26	 1	0.8219	26.9194
26	 2	0.8484	23.5091
26	 3	0.8684	20.7851
26	 4	0.8653	21.2569
26	 5	0.8768	19.6979
26	 6	0.8494	23.5304
26	 7	0.8717	20.5159
27	 0	0.8863	13.2082
27	 1	1.0427	-8.6834
27	 2	1.0903	-15.2890
27	 3	1.1139	-18.7130
27	 4	1.1429	-22.6125
27	 5	1.1722	-26.9306
27	 6	1.1529	-24.3949
27	 7	1.1361	-21.9090
28	 0	0.7987	25.2893
28	 1	1.0083	-4.2190
28	 2	1.0125	-4.6770
28	 3	1.1095	-18.2291
28	 4	1.1113	-18.6706
28	 5	1.1418	-22.7452
28	 6	1.1031	-17.6151
28	 7	1.0527	-10.5928
29	 0	0.6856	17.5958
29	 1	0.8927	-18.5539
29	 2	0.9889	-35.2842
29	 3	1.0447	-44.9932
29	 4	1.1096	-56.3947
29	 5	1.1012	-54.8783
29	 6	1.0533	-46.6444
29	 7	1.0605	-47.1603
30	 0	0.7182	19.6187
30	 1	0.9835	-24.0517
30	 2	1.0960	-42.2998
30	 3	1.1819	-56.1741
30	 4	1.2408	-66.0712
30	 5	1.2862	-73.4646
30	 6	1.2294	-64.3068
30	 7	1.1968	-58.6473
31	 0	0.7382	33.0654
31	 1	0.9542	2.4296
31	 2	0.9785	-1.0540
31	 3	1.1504	-25.2367
31	 4	1.2521	-39.8604
31	 5	1.2545	-40.1528
31	 6	1.1985	-32.1183
31	 7	1.1664	-27.6666
