ch	pt	m	q
 0	 0	0.7206	36.6243
 0	 1	0.8055	22.6737
 0	 2	0.7954	24.2714
 0	 3	0.8390	17.0915
 0	 4	0.7855	25.8690
 0	 5	0.7777	27.2964
 0	 6	0.6940	40.8402
 0	 7	0.7989	23.5638
 1	 0	0.6642	43.1931
 1	 1	0.7492	28.6902
 1	 2	0.7522	28.1299
 1	 3	0.7282	32.2747
 1	 4	0.6948	37.9957
 1	 5	0.6288	48.9334
 1	 6	0.7002	36.9510
 1	 7	0.6992	36.9503
 2	 0	0.7055	38.6661
 2	 1	0.8260	18.7581
 2	 2	0.7914	24.4726
 2	 3	0.7552	30.5488
 2	 4	0.7350	33.8849
 2	 5	0.6907	41.1440
 2	 6	0.7230	35.6849
 2	 7	0.7414	32.7042
 3	 0	0.7430	1.3557
 3	 1	0.8026	-11.1648
 3	 2	0.8303	-16.9766
 3	 3	0.8174	-14.3719
 3	 4	0.7324	3.3827
 3	 5	0.7217	5.6337
 3	 6	0.7733	-5.2212
 3	 7	0.8033	-11.3367
 4	 0	0.8076	36.7338
 4	 1	0.8191	35.0893
 4	 2	0.8180	35.1564
 4	 3	0.7872	39.6883
 4	 4	0.7754	41.4016
 4	 5	0.7594	43.7683
 4	 6	0.7988	37.8419
 4	 7	0.8329	32.7943
 5	 0	0.6975	67.2480
 5	 1	0.7208	64.3384
 5	 2	0.6723	70.4689
 5	 3	0.6780	69.7336
 5	 4	0.6415	74.3035
 5	 5	0.6311	75.6051
 5	 6	0.6522	72.8710
 5	 7	0.6732	70.2877
 6	 0	0.6491	59.2723
 6	 1	0.6495	59.0958
 6	 2	0.6191	63.7055
 6	 3	0.6318	61.7514
 6	 4	0.6099	65.0584
 6	 5	0.6103	64.9364
 6	 6	0.6121	64.6211
 6	 7	0.6263	62.5957
 7	 0	0.5724	71.1750
 7	 1	0.5879	68.8379
 7	 2	0.5652	71.8571
 7	 3	0.5486	75.2591
 7	 4	0.5366	76.8899
 7	 5	0.5421	75.8883
 7	 6	0.5440	75.7635
 7	 7	0.5402	76.1846
 8	 0	0.4382	76.0938
 8	 1	0.4291	77.6877
 8	 2	0.4114	80.9037
 8	 3	0.4045	82.1087
 8	 4	0.4015	82.6215
