INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	5.997	5.935	5.463	5.422
15	 0	7.024	6.406	6.086	5.556
15	 1	5.349	5.133	4.840	4.667
15	 2	5.465	5.338	5.068	4.946
15	 3	5.564	5.500	5.191	5.111
15	 4	5.394	5.376	5.168	5.136
15	 5	5.427	5.335	5.149	5.039
15	 6	5.147	5.014	5.136	4.999
15	 7	5.688	5.719	5.606	5.564
16	 0	6.531	5.929	5.423	4.937
16	 1	6.127	5.907	5.447	5.258
16	 2	5.216	5.142	4.759	4.696
16	 3	5.149	5.086	4.691	4.602
16	 4	5.223	5.230	4.868	4.869
16	 5	5.832	5.635	5.385	5.213
16	 6	6.177	6.131	5.763	5.730
16	 7	6.435	6.361	6.181	6.126
17	 0	7.862	7.213	6.605	6.012
17	 1	5.677	5.457	5.040	4.864
17	 2	5.623	5.537	5.043	4.966
17	 3	4.858	4.833	4.452	4.436
17	 4	6.375	6.367	5.864	5.869
17	 5	6.172	6.034	5.783	5.675
17	 6	5.795	5.757	5.460	5.435
17	 7	6.183	6.164	5.918	5.906
18	 0	6.521	6.126	5.269	4.944
18	 1	6.521	6.298	5.721	5.524
18	 2	6.313	6.272	5.780	5.770
18	 3	5.182	5.133	4.772	4.725
18	 4	6.064	6.069	5.764	5.764
18	 5	6.135	6.069	5.800	5.749
18	 6	5.418	5.261	5.191	5.079
18	 7	5.828	5.685	5.711	5.590
19	 0	5.317	5.029	4.413	4.186
19	 1	4.951	4.798	4.406	4.292
19	 2	4.655	4.589	4.301	4.237
19	 3	4.725	4.639	4.403	4.342
19	 4	4.794	4.794	4.526	4.534
19	 5	4.841	4.747	4.524	4.438
19	 6	5.072	5.004	4.818	4.759
19	 7	5.409	5.373	5.210	5.168
20	 0	6.398	6.033	5.187	4.931
20	 1	5.269	5.090	4.637	4.479
20	 2	5.316	5.158	4.853	4.702
20	 3	5.226	5.233	4.775	4.774
20	 4	4.975	4.918	4.576	4.562
20	 5	5.401	5.251	4.893	4.765
20	 6	4.564	4.518	4.163	4.126
20	 7	5.138	5.064	4.835	4.788
21	 0	5.031	4.736	4.222	3.978
21	 1	4.575	4.419	4.005	3.866
21	 2	4.723	4.662	4.169	4.103
21	 3	4.771	4.775	4.303	4.313
21	 4	5.162	5.067	4.743	4.668
21	 5	5.063	4.961	4.637	4.557
21	 6	5.293	5.162	4.972	4.858
21	 7	5.275	5.235	5.004	4.967
22	 0	5.301	5.086	4.215	4.022
22	 1	5.390	5.228	4.618	4.489
22	 2	5.149	5.072	4.597	4.519
22	 3	4.541	4.515	4.122	4.103
22	 4	4.847	4.834	4.493	4.474
22	 5	5.119	5.095	4.717	4.703
22	 6	5.435	5.358	5.077	4.981
22	 7	5.150	5.088	4.907	4.835
23	 0	3.959	3.921	3.225	3.188
23	 1	4.034	3.956	3.567	3.501
23	 2	4.094	4.034	3.755	3.704
23	 3	3.980	3.884	3.667	3.573
23	 4	4.344	4.317	4.079	4.063
23	 5	4.716	4.549	4.521	4.364
23	 6	4.682	4.609	4.568	4.509
23	 7	4.932	4.876	4.958	4.902
24	 0	3.839	3.608	3.134	2.931
24	 1	4.490	4.425	3.906	3.853
24	 2	4.606	4.571	4.128	4.092
24	 3	4.130	4.085	3.824	3.789
24	 4	4.666	4.631	4.485	4.469
24	 5	5.448	5.347	5.210	5.126
24	 6	4.753	4.653	4.751	4.656
24	 7	5.389	5.319	5.349	5.303
25	 0	4.228	4.105	3.481	3.371
25	 1	4.646	4.476	4.086	3.913
25	 2	4.479	4.428	4.057	4.018
25	 3	4.901	4.859	4.535	4.496
25	 4	5.344	5.269	4.982	4.939
25	 5	5.476	5.372	5.101	4.994
25	 6	5.664	5.621	5.313	5.258
25	 7	5.652	5.634	5.408	5.395
26	 0	4.474	4.241	3.758	3.563
26	 1	4.949	4.824	4.303	4.188
26	 2	5.265	5.151	4.717	4.635
26	 3	5.794	5.764	5.232	5.213
26	 4	5.689	5.584	5.269	5.183
26	 5	5.242	5.095	5.066	4.951
26	 6	5.582	5.486	5.337	5.251
26	 7	5.979	5.899	5.894	5.822
27	 0	5.048	4.758	4.194	3.963
27	 1	4.708	4.492	4.150	3.958
27	 2	5.291	5.199	4.726	4.642
27	 3	4.996	4.970	4.531	4.509
27	 4	4.860	4.838	4.479	4.452
27	 5	4.958	4.888	4.543	4.490
27	 6	6.184	6.097	5.809	5.733
27	 7	5.639	5.546	5.386	5.314
28	 0	6.080	5.757	5.001	4.719
28	 1	5.388	5.287	4.738	4.648
28	 2	5.471	5.427	4.998	4.957
28	 3	5.753	5.622	5.359	5.244
28	 4	5.493	5.492	5.109	5.115
28	 5	6.306	6.139	5.896	5.754
28	 6	5.488	5.274	5.139	4.957
28	 7	5.441	5.402	5.313	5.290
29	 0	7.825	7.082	6.639	6.059
29	 1	6.341	6.004	5.701	5.429
29	 2	5.332	5.210	4.971	4.880
29	 3	5.792	5.792	5.467	5.461
29	 4	6.190	6.187	5.947	5.962
29	 5	4.982	4.873	4.862	4.750
29	 6	6.435	6.260	6.342	6.184
29	 7	6.557	6.421	6.461	6.357
30	 0	10.965	10.043	9.189	8.396
30	 1	7.474	7.208	6.629	6.398
30	 2	7.262	7.086	6.639	6.503
30	 3	6.304	6.278	5.945	5.927
30	 4	6.658	6.572	6.405	6.327
30	 5	7.017	6.876	6.807	6.667
30	 6	7.510	7.385	7.254	7.132
30	 7	8.549	8.338	8.310	8.097
31	 0	9.856	8.915	8.244	7.461
31	 1	9.419	9.032	7.947	7.615
31	 2	6.870	6.669	6.169	6.005
31	 3	6.727	6.668	6.077	6.013
31	 4	7.350	7.288	6.794	6.774
31	 5	6.970	6.732	6.557	6.331
31	 6	6.480	6.313	6.185	6.083
31	 7	7.455	7.378	7.283	7.219
