GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.078	208.700	0.9938	1.898	1.048	209.564	0.9981	1.030	1.312	200.230	0.9999	3.184	1.271	201.076	1.0000	1.395
 0	 1	0.955	207.740	0.9993	0.564	0.938	208.834	0.9997	0.353	1.123	201.192	0.9983	1.205	1.115	201.252	0.9983	1.729
 0	 2	0.953	203.545	0.9990	0.676	0.922	205.746	0.9966	1.196	1.041	200.941	0.9985	2.270	1.050	200.573	0.9986	1.663
 0	 3	0.885	205.855	0.9964	1.194	0.878	206.413	1.0000	0.041	1.019	199.669	0.9977	2.917	1.012	200.042	0.9983	1.841
 0	 4	0.848	207.645	0.9963	1.163	0.847	207.555	0.9991	0.582	1.012	200.125	0.9985	1.972	0.998	200.084	0.9983	2.028
 0	 5	0.874	203.510	0.9993	0.528	0.865	203.871	0.9985	0.746	0.948	201.738	0.9978	3.794	0.998	198.481	0.9979	2.207
 0	 6	0.905	198.840	0.9984	0.809	0.882	200.683	0.9968	1.116	0.949	199.172	0.9984	2.475	0.951	199.165	0.9987	1.601
 0	 7	0.816	203.935	0.9947	1.327	0.837	202.430	0.9951	1.318	0.880	200.717	0.9992	2.010	0.909	199.342	0.9989	2.146
 1	 0	1.125	163.310	0.9956	1.667	1.095	164.273	0.9996	0.472	1.306	159.178	0.9998	3.353	1.272	159.876	1.0000	1.545
 1	 1	0.973	165.585	0.9996	0.437	0.948	167.430	0.9999	0.185	1.134	160.281	0.9982	1.353	1.129	160.440	0.9982	1.376
 1	 2	0.978	161.240	0.9999	0.208	0.955	162.854	0.9994	0.524	1.074	159.636	0.9983	1.469	1.081	159.558	0.9981	1.470
 1	 3	0.919	163.135	0.9957	1.343	0.908	163.880	0.9989	0.688	1.042	158.953	0.9974	2.456	1.038	159.232	0.9979	1.665
 1	 4	0.852	167.220	0.9955	1.275	0.847	167.316	0.9982	0.803	1.015	160.293	0.9986	2.134	1.005	160.092	0.9984	1.993
 1	 5	0.891	162.275	0.9990	0.646	0.900	160.918	0.9997	0.333	0.982	160.146	0.9975	3.906	1.004	157.988	0.9975	2.269
 1	 6	0.928	157.150	0.9985	0.800	0.917	157.960	0.9991	0.621	0.969	158.385	0.9981	3.098	0.955	159.017	0.9986	2.190
 1	 7	0.824	163.315	0.9931	1.535	0.830	162.993	0.9945	1.380	0.892	160.351	0.9992	1.950	0.914	159.337	0.9990	1.918
 2	 0	1.153	149.285	0.9896	2.644	1.100	151.639	0.9966	1.437	1.375	143.016	0.9998	3.948	1.322	144.209	1.0000	1.616
