GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 4	 1	1.201	161.055	0.9865	3.136	1.060	173.203	0.9973	1.241	1.268	165.273	0.9956	7.232	1.201	170.054	0.9979	2.929
 4	 2	1.089	167.130	0.9750	3.896	1.035	170.060	0.9999	0.235	1.141	169.125	0.9975	5.482	1.133	168.920	0.9974	3.650
 4	 3	1.110	164.600	0.9816	3.395	1.056	166.606	0.9866	2.751	1.123	169.275	0.9971	8.473	1.130	167.633	0.9963	4.301
 4	 4	0.743	184.675	0.9928	1.419	0.850	179.542	0.9756	3.003	0.803	178.219	0.9992	7.293	1.003	171.063	0.9988	4.996
 4	 5	0.970	170.675	0.9949	1.547	0.945	171.334	0.9999	0.165	1.065	166.792	0.9985	6.152	1.072	167.055	0.9980	3.254
 4	 6	0.707	184.615	0.9051	5.120	0.941	168.355	0.9949	1.506	0.908	170.849	0.9966	10.869	0.998	167.840	0.9988	3.416
 4	 7	0.799	178.790	0.9933	1.471	0.846	174.197	0.9869	2.179	0.998	166.926	0.9963	4.087	0.988	167.123	0.9979	2.830
 5	 0	1.092	179.590	0.9503	5.588	1.110	179.887	0.9992	0.712	1.591	159.303	0.9987	9.002	1.414	167.661	0.9999	2.217
 5	 1	1.268	155.770	0.9753	4.515	1.081	172.563	0.9936	1.935	1.324	162.124	0.9948	9.313	1.248	168.723	0.9976	3.207
 5	 2	1.095	166.535	0.9532	5.428	1.051	169.418	0.9996	0.447	1.152	168.219	0.9971	7.158	1.166	167.681	0.9969	4.131
 5	 3	1.175	159.930	0.9714	4.509	1.100	163.515	0.9900	2.471	1.160	167.590	0.9965	11.602	1.141	167.289	0.9956	5.244
 5	 4	0.666	188.640	0.9965	0.881	0.774	185.109	0.9473	4.084	0.748	178.790	0.9986	10.303	1.009	170.294	0.9985	6.893
 5	 5	1.006	167.730	0.9933	1.846	0.979	168.500	0.9991	0.649	1.079	165.467	0.9988	6.820	1.100	165.421	0.9976	4.412
 5	 6	0.670	186.505	0.8936	5.168	0.962	166.863	0.9984	0.869	0.900	169.859	0.9958	13.215	1.007	166.957	0.9990	4.136
 5	 7	0.783	179.970	0.9902	1.743	0.878	171.991	0.9949	1.408	1.025	165.025	0.9957	5.412	1.000	166.542	0.9981	2.209
 6	 0	1.004	186.150	0.8962	7.640	1.064	184.176	0.9979	1.100	1.611	159.131	0.9978	12.071	1.420	168.515	0.9997	3.328
 6	 1	1.371	147.070	0.9635	5.967	1.049	175.653	0.9826	3.117	1.319	162.470	0.9930	13.097	1.219	171.182	0.9973	4.920
 6	 2	1.094	166.940	0.9446	5.926	1.039	170.710	0.9999	0.272	1.153	168.971	0.9963	8.607	1.147	169.565	0.9967	5.222
 6	 3	1.199	158.745	0.9471	6.339	1.105	164.282	0.9729	4.126	1.130	170.338	0.9955	15.188	1.147	168.714	0.9949	6.673
 6	 4	0.562	194.885	0.9831	1.650	0.740	188.484	0.9234	4.763	0.623	183.882	0.9970	13.225	0.952	173.965	0.9986	8.090
 6	 5	1.018	167.805	0.9819	3.089	0.945	172.604	0.9996	0.416	1.050	167.673	0.9985	8.845	1.079	167.977	0.9977	4.627
 6	 6	0.642	188.520	0.8201	6.720	0.995	166.414	0.9918	2.026	0.862	171.920	0.9946	15.943	1.016	168.444	0.9990	6.142
 6	 7	0.719	186.005	0.9806	2.264	0.856	174.694	0.9818	2.607	1.022	166.153	0.9941	7.583	0.989	168.146	0.9980	3.451
 7	 0	0.975	211.735	0.8143	10.417	1.057	209.409	0.9893	2.461	1.692	179.301	0.9965	16.048	1.453	191.444	0.9996	5.877
 7	 1	1.478	161.380	0.9423	8.180	1.026	201.260	0.9710	3.965	1.386	182.064	0.9906	17.513	1.266	193.125	0.9970	6.494
 7	 2	1.077	191.760	0.9094	7.601	0.942	202.640	0.9956	1.397	1.161	192.002	0.9956	10.211	1.143	193.507	0.9965	7.092
 7	 3	1.212	181.975	0.9074	8.656	1.090	188.629	0.9734	4.027	1.153	193.643	0.9933	19.998	1.162	191.881	0.9949	7.813
 7	 4	0.426	226.590	0.8794	3.528	0.681	216.973	0.8561	6.247	0.494	211.490	0.9942	16.979	0.977	196.038	0.9979	10.851
 7	 5	1.020	191.790	0.9688	4.091	0.928	197.570	0.9963	1.271	1.052	190.574	0.9978	12.195	1.140	188.486	0.9973	7.047
 7	 6	0.590	214.895	0.6747	9.163	1.047	185.561	0.9894	2.428	0.833	195.547	0.9925	20.335	1.035	190.288	0.9985	7.590
 7	 7	0.669	213.260	0.9730	2.493	0.815	201.667	0.9462	4.342	1.029	188.657	0.9923	9.877	0.991	191.268	0.9976	5.636
 8	 0	0.959	198.535	0.8118	10.328	1.031	197.152	0.9932	1.904	1.648	166.892	0.9966	15.532	1.418	178.800	0.9996	5.258
 8	 1	1.499	146.475	0.9520	7.525	1.022	188.226	0.9784	3.398	1.356	170.330	0.9908	17.277	1.231	181.493	0.9973	5.797
 8	 2	1.077	178.880	0.9248	6.864	0.989	185.918	0.9937	1.755	1.137	180.289	0.9959	9.733	1.140	180.911	0.9966	6.215
 8	 3	1.227	168.085	0.9118	8.536	1.050	178.611	0.9583	4.898	1.142	181.595	0.9935	19.831	1.161	178.967	0.9945	8.965
 8	 4	0.415	214.875	0.8887	3.282	0.656	205.932	0.8718	5.622	0.484	199.479	0.9938	17.327	0.943	184.743	0.9978	11.635
 8	 5	1.015	179.460	0.9790	3.327	0.953	183.090	0.9983	0.883	1.045	178.425	0.9980	11.580	1.149	175.660	0.9968	6.830
 8	 6	0.613	200.840	0.7166	8.613	1.075	171.367	0.9843	3.032	0.832	183.184	0.9929	19.516	1.029	178.695	0.9986	8.397
 8	 7	0.669	200.730	0.9707	2.601	0.819	188.942	0.9503	4.191	1.013	176.904	0.9925	9.766	0.977	179.629	0.9978	5.050
 9	 0	1.050	166.825	0.8963	7.987	1.122	164.507	0.9947	1.833	1.611	142.676	0.9980	11.738	1.422	152.593	0.9998	3.581
 9	 1	1.404	128.550	0.9617	6.265	1.110	155.311	0.9871	2.834	1.323	146.050	0.9932	13.907	1.220	155.150	0.9974	5.780
 9	 2	1.087	151.800	0.9474	5.731	1.057	154.113	0.9998	0.359	1.140	153.631	0.9967	8.027	1.142	153.983	0.9968	4.912
 9	 3	1.211	142.460	0.9403	6.824	1.073	151.636	0.9804	3.392	1.143	154.185	0.9955	15.056	1.151	153.096	0.9953	5.939
 9	 4	0.557	180.320	0.9875	1.403	0.754	173.193	0.9222	4.895	0.641	167.480	0.9971	13.433	0.998	156.517	0.9984	8.286
 9	 5	0.999	154.430	0.9879	2.469	0.959	156.161	0.9977	1.024	1.051	152.172	0.9988	8.387	1.071	152.430	0.9979	4.667
 9	 6	0.671	171.605	0.8344	6.684	0.999	150.885	0.9939	1.744	0.883	155.602	0.9951	15.125	1.025	152.122	0.9989	6.446
 9	 7	0.738	169.605	0.9848	2.048	0.847	160.639	0.9811	2.632	1.029	150.358	0.9945	7.406	1.019	151.629	0.9976	4.029
10	 0	1.064	219.410	0.9591	4.914	1.079	219.415	0.9994	0.595	1.556	199.096	0.9989	8.677	1.394	206.097	0.9998	3.324
10	 1	1.238	195.870	0.9698	4.889	1.089	209.566	0.9848	3.029	1.287	201.797	0.9950	9.667	1.224	207.335	0.9977	4.928
10	 2	1.073	206.825	0.9607	4.853	0.945	215.136	0.9976	1.042	1.153	206.588	0.9973	6.058	1.165	205.287	0.9969	3.202
10	 3	1.111	204.430	0.9542	5.442	1.061	205.022	0.9871	2.716	1.147	207.600	0.9965	11.034	1.145	205.138	0.9963	5.796
10	 4	0.647	229.700	0.9852	1.773	0.814	221.044	0.9590	3.764	0.741	218.354	0.9987	9.921	1.025	208.024	0.9987	6.130
10	 5	0.975	210.105	0.9936	1.750	0.998	206.364	0.9987	0.806	1.091	204.266	0.9985	8.181	1.109	203.643	0.9981	5.061
10	 6	0.661	227.325	0.8291	6.711	1.025	202.488	0.9918	2.081	0.923	208.395	0.9957	13.526	1.062	204.095	0.9987	5.813
10	 7	0.770	220.615	0.9864	2.022	0.843	214.717	0.9832	2.462	1.027	204.129	0.9953	6.174	1.040	203.960	0.9980	3.569
11	 0	1.054	178.140	0.9587	4.888	1.089	176.900	0.9975	1.215	1.507	159.624	0.9990	7.560	1.355	166.433	0.9999	2.282
11	 1	1.222	156.105	0.9793	3.968	1.053	170.597	0.9913	2.205	1.273	162.040	0.9950	8.205	1.180	168.191	0.9976	3.238
11	 2	1.063	166.300	0.9624	4.700	1.012	169.323	0.9998	0.297	1.129	167.192	0.9972	6.283	1.116	167.348	0.9971	3.414
11	 3	1.149	159.755	0.9702	4.501	1.078	162.982	0.9840	3.075	1.146	166.395	0.9965	10.847	1.127	166.116	0.9960	5.077
11	 4	0.674	187.155	0.9938	1.194	0.816	179.834	0.9826	2.430	0.779	176.620	0.9988	9.178	1.008	168.377	0.9985	5.111
11	 5	0.987	168.085	0.9958	1.433	0.961	168.346	0.9999	0.169	1.073	165.202	0.9987	6.240	1.074	165.384	0.9978	3.834
11	 6	0.704	183.560	0.9259	4.452	1.014	162.253	0.9944	1.697	0.917	169.036	0.9962	11.356	1.036	165.320	0.9990	4.677
11	 7	0.801	177.500	0.9935	1.443	0.893	169.956	0.9923	1.753	1.026	164.490	0.9957	4.639	1.027	164.944	0.9976	2.474
12	 0	1.070	186.280	0.9810	3.329	1.087	185.895	0.9995	0.550	1.475	170.193	0.9994	5.883	1.361	175.282	0.9999	1.820
12	 1	1.184	168.295	0.9858	3.171	1.059	179.335	0.9960	1.498	1.251	172.000	0.9959	6.737	1.199	176.039	0.9978	3.235
12	 2	1.084	173.455	0.9785	3.591	1.034	176.129	0.9997	0.391	1.129	175.739	0.9975	5.192	1.137	174.695	0.9972	3.271
12	 3	1.101	171.925	0.9733	4.077	1.073	171.868	0.9877	2.674	1.131	175.747	0.9967	8.379	1.130	174.216	0.9963	4.506
12	 4	0.746	191.500	0.9915	1.546	0.891	183.377	0.9884	2.156	0.823	184.192	0.9991	6.919	1.024	176.786	0.9984	4.315
12	 5	0.960	178.250	0.9974	1.099	0.977	174.853	0.9999	0.238	1.079	173.099	0.9984	6.025	1.081	172.714	0.9976	3.913
12	 6	0.746	189.265	0.9290	4.609	1.014	170.483	0.9976	1.107	0.938	176.854	0.9969	9.487	1.044	173.028	0.9988	3.858
12	 7	0.828	184.005	0.9936	1.484	0.906	177.955	0.9933	1.667	1.011	173.668	0.9963	3.629	1.032	172.973	0.9977	2.491
13	 0	1.023	185.290	0.9913	2.143	1.032	185.197	0.9993	0.611	1.366	172.045	0.9997	3.956	1.299	174.962	0.9999	1.922
13	 1	1.092	172.280	0.9911	2.310	1.017	178.956	0.9993	0.609	1.170	174.364	0.9962	4.744	1.134	177.035	0.9974	2.334
13	 2	1.034	174.845	0.9889	2.449	0.985	177.544	0.9991	0.643	1.091	176.545	0.9973	4.081	1.104	175.409	0.9969	3.053
13	 3	1.044	173.515	0.9821	3.152	1.050	171.840	0.9931	1.963	1.075	177.199	0.9973	6.348	1.091	175.508	0.9967	4.192
13	 4	0.774	188.540	0.9970	0.941	0.880	181.878	0.9960	1.254	0.876	181.704	0.9991	5.332	1.010	176.604	0.9982	3.194
13	 5	0.927	178.850	0.9989	0.688	0.927	177.275	0.9995	0.480	1.041	174.734	0.9984	4.207	1.039	174.330	0.9978	2.656
13	 6	0.762	187.190	0.9700	2.994	0.944	174.391	0.9988	0.739	0.939	177.031	0.9972	6.719	1.020	173.938	0.9985	3.011
13	 7	0.832	182.205	0.9983	0.760	0.902	176.601	0.9975	1.005	0.994	174.383	0.9966	2.287	1.005	174.058	0.9974	1.789
14	 0	1.146	144.905	0.9939	2.013	1.131	146.683	0.9996	0.522	1.483	132.502	0.9997	4.223	1.426	135.202	0.9999	1.805
14	 1	1.140	135.925	0.9966	1.479	1.048	143.653	0.9993	0.606	1.268	134.227	0.9969	3.590	1.228	136.926	0.9979	1.809
14	 2	1.060	138.425	0.9919	2.139	1.022	140.475	0.9994	0.565	1.157	136.512	0.9981	2.702	1.152	136.206	0.9978	2.094
14	 3	1.085	135.410	0.9909	2.320	1.031	138.231	0.9959	1.485	1.137	136.659	0.9980	4.985	1.126	136.207	0.9976	2.123
14	 4	0.834	149.195	0.9988	0.649	0.907	145.012	0.9962	1.250	0.945	141.341	0.9992	4.883	1.051	137.512	0.9986	2.756
14	 5	0.956	140.405	0.9990	0.665	0.934	140.781	0.9995	0.479	1.079	134.675	0.9988	2.995	1.076	134.228	0.9980	3.078
14	 6	0.832	146.240	0.9853	2.274	0.947	138.637	0.9998	0.265	0.984	136.975	0.9980	5.163	1.049	134.745	0.9988	2.425
14	 7	0.862	143.315	0.9970	1.054	0.883	141.710	0.9961	1.243	1.016	134.646	0.9976	2.698	1.025	134.360	0.9984	1.894
15	 0	1.082	182.875	0.9984	0.982	1.109	181.158	0.9984	0.977	1.420	169.599	0.9998	2.419	1.375	171.408	0.9999	1.651
15	 1	1.113	171.305	0.9981	1.095	1.066	175.601	0.9998	0.310	1.215	171.266	0.9970	2.929	1.179	173.584	0.9977	2.112
15	 2	1.054	172.325	0.9956	1.565	1.033	173.192	0.9998	0.332	1.137	172.160	0.9977	2.997	1.146	171.286	0.9973	2.307
15	 3	1.067	170.275	0.9917	2.189	1.085	167.793	0.9973	1.259	1.111	172.759	0.9976	4.677	1.116	171.473	0.9969	3.393
15	 4	0.862	181.080	0.9977	0.921	0.941	176.152	0.9991	0.646	0.938	176.673	0.9990	3.602	1.029	173.295	0.9983	2.617
15	 5	0.959	174.395	0.9993	0.577	0.980	171.625	0.9995	0.483	1.064	170.752	0.9985	3.238	1.068	170.209	0.9979	1.781
15	 6	0.868	177.750	0.9922	1.723	0.987	169.408	0.9995	0.477	0.980	172.591	0.9978	4.398	1.026	170.871	0.9986	3.123
15	 7	0.862	177.640	0.9994	0.453	0.918	173.257	0.9985	0.799	1.011	170.441	0.9974	1.811	1.022	169.996	0.9978	1.339
16	 0	1.079	187.465	0.9977	1.157	1.097	186.438	0.9997	0.403	1.418	173.989	0.9998	2.866	1.373	175.837	0.9999	1.579
16	 1	1.105	176.055	0.9980	1.105	1.086	178.141	0.9996	0.467	1.212	175.491	0.9972	2.837	1.202	176.777	0.9975	1.857
16	 2	1.053	176.445	0.9972	1.251	1.030	177.754	0.9987	0.815	1.125	176.655	0.9979	2.992	1.132	176.158	0.9978	2.999
16	 3	1.041	175.765	0.9931	1.944	1.050	174.225	0.9946	1.732	1.121	175.612	0.9976	3.707	1.142	173.917	0.9969	2.670
16	 4	0.913	180.930	0.9987	0.746	0.962	178.439	0.9947	1.569	0.951	180.040	0.9989	3.250	1.035	176.858	0.9983	2.902
16	 5	0.961	177.190	0.9996	0.442	0.970	176.008	0.9995	0.491	1.052	174.614	0.9984	2.776	1.055	174.530	0.9983	2.441
16	 6	0.837	183.140	0.9886	2.007	0.955	174.804	0.9998	0.331	0.965	176.525	0.9980	4.788	1.006	174.958	0.9985	2.923
16	 7	0.871	179.855	0.9990	0.625	0.891	177.881	0.9981	0.880	0.988	174.704	0.9976	1.190	0.985	174.784	0.9980	1.726
17	 0	1.082	176.100	0.9959	1.555	1.107	174.676	0.9999	0.176	1.380	165.683	0.9998	3.194	1.332	167.704	0.9999	1.368
17	 1	1.094	166.325	0.9940	1.897	1.039	171.161	0.9983	0.948	1.182	167.302	0.9968	4.041	1.158	169.288	0.9975	2.291
17	 2	1.025	168.070	0.9911	2.168	0.999	169.431	0.9994	0.526	1.082	168.960	0.9979	3.591	1.097	168.061	0.9975	2.850
17	 3	1.017	167.625	0.9906	2.219	1.033	165.573	0.9974	1.181	1.073	168.702	0.9974	4.425	1.085	167.424	0.9969	3.180
17	 4	0.837	175.740	0.9975	0.930	0.898	172.353	0.9959	1.286	0.886	173.186	0.9991	3.828	0.994	169.129	0.9985	3.076
17	 5	0.916	170.565	0.9984	0.821	0.921	169.365	0.9990	0.658	1.020	166.719	0.9984	2.823	1.021	166.786	0.9980	2.610
17	 6	0.758	178.355	0.9731	2.818	0.889	169.111	1.0000	0.057	0.913	169.113	0.9977	6.170	0.961	167.482	0.9987	2.019
17	 7	0.798	175.255	0.9963	1.084	0.830	172.377	0.9928	1.579	0.945	167.273	0.9974	2.176	0.948	167.248	0.9980	2.376
18	 0	1.125	160.900	0.9879	2.785	1.150	160.128	0.9982	1.102	1.485	147.613	0.9995	5.707	1.402	151.728	0.9999	2.396
18	 1	1.160	148.230	0.9905	2.545	1.096	154.425	0.9936	1.971	1.256	149.257	0.9964	5.576	1.220	152.501	0.9978	3.198
18	 2	1.054	152.785	0.9851	2.898	0.995	156.281	0.9992	0.626	1.136	152.064	0.9979	3.904	1.150	151.088	0.9975	3.226
18	 3	1.084	149.450	0.9865	2.839	1.055	149.706	0.9965	1.405	1.112	152.234	0.9976	6.451	1.110	150.960	0.9971	3.328
18	 4	0.807	163.450	0.9958	1.165	0.900	158.805	0.9890	2.120	0.859	158.611	0.9993	5.826	1.009	153.390	0.9988	3.507
18	 5	0.961	153.470	0.9975	1.079	0.943	153.918	0.9996	0.416	1.044	150.027	0.9987	4.375	1.043	150.311	0.9983	3.175
18	 6	0.741	165.165	0.9274	4.638	0.921	152.652	0.9946	1.511	0.919	152.883	0.9976	8.517	0.980	150.958	0.9991	2.812
18	 7	0.808	160.270	0.9913	1.691	0.862	155.554	0.9955	1.298	0.979	149.809	0.9971	3.869	0.992	149.011	0.9978	1.633
19	 0	1.102	150.125	0.9637	4.780	1.129	149.498	0.9956	1.683	1.547	132.627	0.9990	8.224	1.427	138.229	0.9998	2.964
19	 1	1.202	132.660	0.9840	3.428	1.045	146.190	0.9912	2.200	1.293	135.356	0.9953	7.655	1.220	140.549	0.9977	3.640
19	 2	1.051	141.455	0.9620	4.670	0.999	144.349	0.9992	0.643	1.133	140.497	0.9978	5.520	1.145	139.419	0.9971	3.491
19	 3	1.140	134.200	0.9804	3.603	1.090	135.907	0.9868	2.816	1.134	140.096	0.9970	9.605	1.114	139.674	0.9963	5.022
19	 4	0.713	158.365	0.9959	1.017	0.819	153.549	0.9676	3.348	0.795	149.328	0.9991	8.354	1.015	141.378	0.9986	5.623
19	 5	0.968	142.615	0.9916	1.988	0.948	142.794	0.9983	0.868	1.061	138.206	0.9987	5.947	1.071	138.106	0.9982	4.299
19	 6	0.678	158.610	0.9044	4.932	0.924	142.256	0.9937	1.645	0.900	142.350	0.9967	11.226	1.013	138.526	0.9990	3.719
19	 7	0.775	152.450	0.9869	1.997	0.822	147.985	0.9925	1.603	0.992	138.380	0.9964	5.476	0.982	138.695	0.9981	2.638
20	 0	1.094	168.720	0.9408	6.135	1.143	167.503	0.9960	1.613	1.571	149.532	0.9986	9.519	1.424	157.434	0.9998	2.473
20	 1	1.297	143.190	0.9744	4.704	1.122	159.703	0.9902	2.497	1.321	152.099	0.9942	10.163	1.218	160.306	0.9975	5.093
20	 2	1.084	156.955	0.9586	5.034	1.041	160.143	0.9989	0.767	1.140	158.206	0.9971	7.090	1.151	158.555	0.9968	5.157
20	 3	1.170	149.935	0.9688	4.694	1.126	151.680	0.9874	2.839	1.144	158.146	0.9963	12.072	1.133	157.530	0.9952	5.677
20	 4	0.662	178.380	0.9976	0.728	0.814	172.404	0.9565	3.885	0.726	169.407	0.9986	10.150	1.003	160.622	0.9986	6.233
20	 5	0.974	159.690	0.9897	2.218	0.903	164.172	1.0000	0.142	1.041	156.800	0.9989	6.680	1.049	157.541	0.9984	3.697
20	 6	0.666	176.080	0.8674	5.821	0.972	156.235	0.9922	1.924	0.879	160.190	0.9959	13.230	1.011	156.706	0.9989	4.441
20	 7	0.747	172.380	0.9856	2.021	0.817	166.308	0.9787	2.694	1.002	155.689	0.9958	6.269	0.989	156.871	0.9979	3.540
21	 0	1.042	163.440	0.9017	7.690	1.115	161.094	0.9948	1.795	1.524	143.723	0.9982	11.545	1.368	152.451	0.9998	3.408
