GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.355	198.850	0.9998	0.477	1.359	198.577	0.9997	0.491	1.571	192.326	1.0000	0.975	1.577	192.149	1.0000	1.016
 0	 1	1.172	198.725	1.0000	0.167	1.170	198.892	0.9999	0.243	1.315	193.791	0.9966	1.030	1.313	193.869	0.9968	1.202
 0	 2	1.102	198.020	0.9996	0.471	1.105	197.747	0.9991	0.752	1.230	192.577	0.9971	1.100	1.233	192.374	0.9972	1.273
 0	 3	1.069	196.660	0.9998	0.348	1.059	197.385	0.9997	0.399	1.175	191.968	0.9973	0.981	1.173	191.952	0.9975	1.129
 0	 4	1.054	194.845	0.9999	0.170	1.049	195.270	1.0000	0.148	1.123	191.799	0.9973	1.394	1.123	191.808	0.9973	1.351
 0	 5	1.025	194.340	0.9998	0.320	1.024	194.405	0.9999	0.266	1.097	191.023	0.9976	0.821	1.095	191.089	0.9977	0.749
 0	 6	0.996	193.775	0.9986	0.836	0.996	193.747	0.9974	1.143	1.052	190.825	0.9979	1.649	1.047	191.023	0.9980	1.851
 0	 7	1.007	191.005	0.9996	0.422	1.011	190.737	0.9995	0.494	1.032	190.461	0.9981	0.828	1.033	190.348	0.9981	0.998
 1	 0	1.390	151.205	0.9995	0.715	1.385	151.570	0.9995	0.659	1.649	143.482	1.0000	1.423	1.656	143.178	1.0000	1.297
 1	 1	1.242	149.475	0.9997	0.487	1.238	149.739	0.9997	0.506	1.413	144.508	0.9960	1.268	1.414	144.476	0.9962	1.236
