GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.395	147.525	0.9994	0.762	1.392	147.760	0.9994	0.781	1.581	142.420	0.9999	1.711	1.583	142.299	0.9999	1.750
 0	 1	1.239	146.680	0.9998	0.404	1.238	146.737	0.9998	0.389	1.316	145.771	0.9964	1.648	1.311	145.873	0.9964	1.647
 0	 2	1.151	146.525	1.0000	0.087	1.152	146.501	1.0000	0.122	1.200	145.906	0.9972	1.335	1.200	145.865	0.9971	1.296
 0	 3	1.096	146.260	0.9999	0.280	1.094	146.390	0.9998	0.309	1.119	146.230	0.9977	1.529	1.120	146.191	0.9979	1.586
 0	 4	1.068	145.445	0.9999	0.247	1.068	145.445	0.9999	0.247	1.072	146.100	0.9977	1.299	1.072	146.069	0.9977	1.418
 0	 5	1.013	146.060	0.9997	0.420	1.012	146.155	0.9997	0.414	1.014	146.000	0.9980	1.136	1.013	146.012	0.9982	1.210
 0	 6	0.990	144.790	0.9998	0.343	0.990	144.790	0.9998	0.343	0.971	145.556	0.9981	1.401	0.973	145.466	0.9982	1.596
 0	 7	0.957	144.765	0.9991	0.625	0.957	144.765	0.9991	0.625	0.924	145.857	0.9983	1.406	0.924	145.837	0.9983	1.556
 1	 0	1.361	187.980	0.9998	0.410	1.358	188.146	0.9998	0.450	1.656	177.226	1.0000	1.706	1.659	177.120	1.0000	1.296
 1	 1	1.194	187.340	0.9998	0.352	1.192	187.493	0.9998	0.393	1.403	178.494	0.9961	1.479	1.405	178.373	0.9961	1.476
 1	 2	1.190	180.975	0.9995	0.589	1.197	180.370	0.9994	0.656	1.314	177.022	0.9967	0.866	1.314	176.955	0.9966	0.977
 1	 3	1.125	182.110	0.9999	0.244	1.119	182.532	0.9999	0.239	1.248	176.995	0.9972	1.083	1.249	176.941	0.9973	1.066
 1	 4	1.116	179.675	0.9993	0.674	1.114	179.832	0.9994	0.630	1.208	176.393	0.9974	1.032	1.204	176.467	0.9976	1.029
 1	 5	1.084	178.615	0.9997	0.410	1.082	178.727	0.9997	0.388	1.162	175.680	0.9975	1.047	1.162	175.638	0.9976	1.146
 1	 6	1.082	175.845	0.9996	0.464	1.084	175.719	0.9996	0.478	1.120	175.303	0.9977	1.237	1.122	175.215	0.9977	1.332
 1	 7	1.050	175.940	0.9994	0.588	1.049	175.993	0.9994	0.573	1.081	175.333	0.9979	0.951	1.078	175.386	0.9979	0.950
 2	 0	1.394	160.715	0.9990	0.988	1.388	161.203	0.9991	0.938	1.696	149.372	1.0000	1.500	1.695	149.385	1.0000	1.441
 2	 1	1.263	156.095	0.9995	0.623	1.265	155.941	0.9993	0.742	1.435	150.418	0.9961	0.839	1.433	150.392	0.9961	0.957
 2	 2	1.216	152.320	0.9999	0.308	1.218	152.181	0.9998	0.341	1.339	148.693	0.9968	0.813	1.338	148.751	0.9968	0.880
 2	 3	1.176	151.185	0.9998	0.349	1.175	151.209	0.9998	0.362	1.265	148.556	0.9975	1.051	1.267	148.450	0.9979	0.855
 2	 4	1.153	149.685	1.0000	0.163	1.150	149.925	0.9999	0.194	1.223	148.115	0.9975	1.184	1.221	148.110	0.9977	1.093
 2	 5	1.105	149.235	1.0000	0.136	1.104	149.280	0.9999	0.201	1.170	147.277	0.9976	0.975	1.166	147.377	0.9977	0.928
 2	 6	1.089	147.830	1.0000	0.093	1.089	147.831	1.0000	0.094	1.126	147.196	0.9979	0.814	1.126	147.153	0.9979	0.858
 2	 7	1.061	147.420	0.9998	0.320	1.063	147.281	0.9998	0.317	1.088	146.846	0.9979	0.635	1.090	146.770	0.9980	0.697
 3	 0	1.466	170.075	0.9997	0.588	1.459	170.627	0.9998	0.407	1.773	158.955	1.0000	1.557	1.772	158.982	1.0000	1.390
 3	 1	1.282	168.700	0.9993	0.738	1.286	168.400	0.9991	0.878	1.481	160.979	0.9960	1.622	1.481	160.904	0.9960	1.492
 3	 2	1.232	164.460	0.9992	0.763	1.232	164.414	0.9991	0.839	1.365	159.770	0.9969	0.975	1.364	159.758	0.9969	0.940
 3	 3	1.185	162.715	0.9998	0.415	1.181	163.055	0.9997	0.427	1.273	159.865	0.9978	0.768	1.272	159.854	0.9978	0.760
 3	 4	1.157	160.955	0.9999	0.187	1.157	160.984	1.0000	0.080	1.228	158.672	0.9976	1.149	1.226	158.773	0.9978	1.070
 3	 5	1.125	158.715	0.9999	0.293	1.126	158.669	0.9999	0.299	1.158	158.276	0.9978	0.762	1.157	158.265	0.9978	0.712
 3	 6	1.092	158.110	0.9999	0.212	1.090	158.180	0.9999	0.234	1.116	157.703	0.9979	0.692	1.116	157.654	0.9979	0.701
 3	 7	1.061	157.310	0.9998	0.292	1.061	157.279	0.9999	0.280	1.068	157.501	0.9981	0.877	1.067	157.535	0.9982	0.787
 4	 0	1.380	172.325	0.9999	0.317	1.379	172.420	0.9999	0.284	1.722	158.846	1.0000	2.192	1.717	159.013	1.0000	2.115
 4	 1	1.257	167.160	0.9999	0.338	1.254	167.435	0.9999	0.307	1.467	159.433	0.9957	1.199	1.462	159.591	0.9957	1.135
 4	 2	1.234	161.705	0.9999	0.333	1.237	161.558	0.9999	0.255	1.370	157.945	0.9966	0.803	1.369	157.952	0.9969	0.768
 4	 3	1.163	162.890	0.9993	0.700	1.159	163.137	0.9992	0.737	1.294	157.921	0.9972	0.922	1.293	157.925	0.9973	0.949
