ch	pt	m	q
 0	 0	1.9634	-223.6730
 0	 1	2.1482	-257.1633
 0	 2	2.2825	-280.9353
 0	 3	2.2563	-276.2526
 0	 4	2.2575	-277.0923
 0	 5	2.1325	-254.0953
 0	 6	2.2247	-271.1197
 0	 7	1.9265	-216.3037
 1	 0	1.9513	-125.6707
 1	 1	2.1107	-147.0124
 1	 2	2.1872	-157.3381
 1	 3	2.2399	-163.7231
 1	 4	2.1777	-155.9409
 1	 5	2.0965	-144.9867
 1	 6	2.2459	-164.9179
 1	 7	1.9226	-121.9859
 2	 0	1.4707	-70.9391
 2	 1	1.5981	-88.5131
 2	 2	1.6998	-102.1302
 2	 3	1.5719	-84.4884
 2	 4	1.6075	-89.2638
 2	 5	1.6109	-89.6785
 2	 6	1.6446	-94.4097
 2	 7	1.4740	-70.7066
 3	 0	1.1875	-34.7126
 3	 1	1.2665	-46.1133
 3	 2	1.3153	-52.9785
 3	 3	1.2251	-39.9194
 3	 4	1.2518	-44.0228
 3	 5	1.2541	-44.1081
 3	 6	1.2552	-44.4076
 3	 7	1.2028	-36.8429
 4	 0	0.9820	25.3451
 4	 1	1.0298	19.9888
 4	 2	1.0609	16.7504
 4	 3	1.0009	23.2602
 4	 4	1.0092	22.3633
 4	 5	0.9942	24.0702
 4	 6	1.0011	23.3094
 4	 7	0.9644	27.4008
 5	 0	0.8448	40.6697
 5	 1	0.9022	34.3698
 5	 2	0.9117	33.4911
 5	 3	0.8870	36.1010
 5	 4	0.8724	37.7784
 5	 5	0.8400	41.3132
 5	 6	0.8499	40.1990
 5	 7	0.8177	43.8296
 6	 0	0.6692	54.7701
 6	 1	0.6785	53.7346
 6	 2	0.6870	52.9804
 6	 3	0.6526	56.8273
 6	 4	0.6494	57.4293
 6	 5	0.6330	59.1991
 6	 6	0.6346	59.0421
 6	 7	0.6195	61.3045
 7	 0	0.5375	65.5946
 7	 1	0.5768	60.5359
 7	 2	0.5800	60.1649
 7	 3	0.5747	61.0020
 7	 4	0.5431	64.7941
 7	 5	0.5242	67.1675
 7	 6	0.5271	66.7990
 7	 7	0.5150	68.4565
 8	 0	0.5482	62.9351
 8	 1	0.5426	63.6325
 8	 2	0.5338	64.8635
 8	 3	0.5433	63.4409
 8	 4	0.5116	67.5191
 8	 5	0.4986	69.3005
 8	 6	0.4918	70.1045
 8	 7	0.4701	72.9647
 9	 0	0.6465	60.5027
 9	 1	0.6816	56.4687
 9	 2	0.6644	58.3235
 9	 3	0.6504	59.8455
 9	 4	0.6329	61.9259
 9	 5	0.6203	63.3891
 9	 6	0.6223	62.9117
 9	 7	0.5976	65.9979
10	 0	0.7332	33.4914
10	 1	0.7239	34.9357
10	 2	0.7109	36.6577
10	 3	0.6883	39.4802
10	 4	0.6852	40.0384
10	 5	0.6935	38.9337
10	 6	0.6823	40.4567
10	 7	0.6824	40.5506
11	 0	0.8471	17.2101
11	 1	0.8672	14.5888
11	 2	0.8687	14.3174
11	 3	0.8551	16.2668
11	 4	0.8222	20.6278
11	 5	0.8353	18.8187
11	 6	0.8287	19.6072
11	 7	0.8038	23.0735
12	 0	0.9907	23.9405
12	 1	0.9846	24.7168
12	 2	0.9760	25.7102
12	 3	0.9813	24.8394
12	 4	0.9593	27.3858
12	 5	0.9462	28.9005
12	 6	0.9582	27.3682
12	 7	0.9041	33.6112
13	 0	1.1476	-22.8740
13	 1	1.1623	-24.7990
13	 2	1.1353	-21.0278
13	 3	1.0571	-10.2035
13	 4	1.0686	-11.9279
13	 5	1.0816	-13.6317
13	 6	1.0986	-16.2289
13	 7	1.0090	-3.8049
14	 0	1.3500	-27.2708
14	 1	1.4188	-35.6957
14	 2	1.4086	-34.2718
14	 3	1.3692	-29.4651
14	 4	1.3159	-23.3354
14	 5	1.2904	-20.5171
14	 6	1.3421	-26.7835
14	 7	1.1084	1.2593
15	 0	1.4578	-95.7889
15	 1	1.5350	-107.7523
15	 2	1.4957	-101.6613
15	 3	1.5060	-103.0195
15	 4	1.4399	-93.1237
15	 5	1.3703	-82.1173
15	 6	1.4392	-93.4535
15	 7	1.1682	-50.6082
16	 0	1.5688	-81.5706
16	 1	1.6409	-91.6957
16	 2	1.7229	-102.4495
16	 3	1.7188	-101.5208
16	 4	1.7451	-105.8457
16	 5	1.7539	-107.2253
16	 6	1.7877	-111.6539
16	 7	1.5875	-84.3636
17	 0	1.4554	-58.9847
17	 1	1.4790	-62.1882
17	 2	1.5070	-65.5200
17	 3	1.4864	-62.4787
17	 4	1.5342	-69.6899
17	 5	1.5198	-67.8343
17	 6	1.5636	-73.4680
