# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 111 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 000 
# FineTHR[1] = 000 
# FineTHR[2] = 000 
# FineTHR[3] = 000 
# FineTHR[4] = 000 
# FineTHR[5] = 000 
# FineTHR[6] = 000 
# FineTHR[7] = 000 
# FineTHR[8] = 000 
# FineTHR[9] = 000 
# FineTHR[10] = 000 
# FineTHR[11] = 000 
# FineTHR[12] = 000 
# FineTHR[13] = 000 
# FineTHR[14] = 000 
# FineTHR[15] = 000 
# FineTHR[16] = 000 
# FineTHR[17] = 000 
# FineTHR[18] = 000 
# FineTHR[19] = 000 
# FineTHR[20] = 000 
# FineTHR[21] = 000 
# FineTHR[22] = 000 
# FineTHR[23] = 000 
# FineTHR[24] = 000 
# FineTHR[25] = 000 
# FineTHR[26] = 000 
# FineTHR[27] = 000 
# FineTHR[28] = 000 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 000 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	0	2
200	0	1000	1	3
200	0	1000	0	4
200	0	1000	7	5
200	0	1000	40	6
200	0	1000	53	7
200	0	1000	47	8
200	0	1000	60	9
200	0	1000	17	10
200	0	1000	9	11
200	0	1000	0	12
200	0	1000	0	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	5	17
200	0	1000	1	18
200	0	1000	36	19
200	0	1000	28	20
200	0	1000	26	21
200	0	1000	161	22
200	0	1000	84	23
200	0	1000	75	24
200	0	1000	59	25
200	0	1000	101	26
200	0	1000	24	27
200	0	1000	0	28
200	0	1000	0	29
200	0	1000	0	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	0	0
201	0	1000	0	1
201	0	1000	0	2
201	0	1000	3	3
201	0	1000	2	4
201	0	1000	16	5
201	0	1000	42	6
201	0	1000	62	7
201	0	1000	60	8
201	0	1000	66	9
201	0	1000	22	10
201	0	1000	18	11
201	0	1000	2	12
201	0	1000	2	13
201	0	1000	2	14
201	0	1000	0	15
201	0	1000	0	16
201	0	1000	15	17
201	0	1000	3	18
201	0	1000	33	19
201	0	1000	26	20
201	0	1000	25	21
201	0	1000	196	22
201	0	1000	82	23
201	0	1000	88	24
201	0	1000	67	25
201	0	1000	112	26
201	0	1000	23	27
201	0	1000	1	28
201	0	1000	0	29
201	0	1000	0	30
201	0	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	0	2
202	0	1000	9	3
202	0	1000	4	4
202	0	1000	20	5
202	0	1000	57	6
202	0	1000	72	7
202	0	1000	72	8
202	0	1000	86	9
202	0	1000	28	10
202	0	1000	21	11
202	0	1000	1	12
202	0	1000	0	13
202	0	1000	0	14
202	0	1000	0	15
202	0	1000	0	16
202	0	1000	19	17
202	0	1000	6	18
202	0	1000	52	19
202	0	1000	37	20
202	0	1000	33	21
202	0	1000	209	22
202	0	1000	110	23
202	0	1000	101	24
202	0	1000	81	25
202	0	1000	143	26
202	0	1000	32	27
202	0	1000	0	28
202	0	1000	0	29
202	0	1000	0	30
202	0	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	0	0
203	0	1000	0	1
203	0	1000	0	2
203	0	1000	7	3
203	0	1000	2	4
203	0	1000	23	5
203	0	1000	65	6
203	0	1000	78	7
203	0	1000	77	8
203	0	1000	84	9
203	0	1000	28	10
203	0	1000	24	11
203	0	1000	1	12
203	0	1000	0	13
203	0	1000	0	14
203	0	1000	0	15
203	0	1000	1	16
203	0	1000	27	17
203	0	1000	7	18
203	0	1000	52	19
203	0	1000	39	20
203	0	1000	32	21
203	0	1000	219	22
203	0	1000	107	23
203	0	1000	96	24
203	0	1000	83	25
203	0	1000	149	26
203	0	1000	34	27
203	0	1000	0	28
203	0	1000	0	29
203	0	1000	1	30
203	0	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	0	0
204	0	1000	1	1
204	0	1000	1	2
204	0	1000	18	3
204	0	1000	2	4
204	0	1000	34	5
204	0	1000	72	6
204	0	1000	88	7
204	0	1000	86	8
204	0	1000	96	9
204	0	1000	40	10
204	0	1000	36	11
204	0	1000	1	12
204	0	1000	1	13
204	0	1000	1	14
204	0	1000	1	15
204	0	1000	1	16
204	0	1000	49	17
204	0	1000	11	18
204	0	1000	69	19
204	0	1000	60	20
204	0	1000	48	21
204	0	1000	288	22
204	0	1000	123	23
204	0	1000	124	24
204	0	1000	90	25
204	0	1000	173	26
204	0	1000	50	27
204	0	1000	1	28
204	0	1000	0	29
204	0	1000	1	30
204	0	1000	1	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	0	0
205	0	1000	0	1
205	0	1000	0	2
205	0	1000	11	3
205	0	1000	3	4
205	0	1000	27	5
205	0	1000	57	6
205	0	1000	66	7
205	0	1000	62	8
205	0	1000	81	9
205	0	1000	32	10
205	0	1000	26	11
205	0	1000	2	12
205	0	1000	0	13
205	0	1000	0	14
205	0	1000	0	15
205	0	1000	2	16
205	0	1000	43	17
205	0	1000	4	18
205	0	1000	60	19
205	0	1000	40	20
205	0	1000	40	21
205	0	1000	335	22
205	0	1000	104	23
205	0	1000	101	24
205	0	1000	77	25
205	0	1000	179	26
205	0	1000	41	27
205	0	1000	1	28
205	0	1000	0	29
205	0	1000	2	30
205	0	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	0	0
206	0	1000	1	1
206	0	1000	2	2
206	0	1000	20	3
206	0	1000	5	4
206	0	1000	37	5
206	0	1000	71	6
206	0	1000	83	7
206	0	1000	81	8
206	0	1000	93	9
206	0	1000	38	10
206	0	1000	38	11
206	0	1000	3	12
206	0	1000	2	13
206	0	1000	2	14
206	0	1000	2	15
206	0	1000	3	16
206	0	1000	62	17
206	0	1000	10	18
206	0	1000	76	19
206	0	1000	52	20
206	0	1000	43	21
206	0	1000	414	22
206	0	1000	106	23
206	0	1000	100	24
206	0	1000	84	25
206	0	1000	180	26
206	0	1000	48	27
206	0	1000	2	28
206	0	1000	0	29
206	0	1000	3	30
206	0	1000	3	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	0	0
207	0	1000	0	1
207	0	1000	0	2
207	0	1000	24	3
