# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 001 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
22	10	00	0	238
22	10	00	1	232
22	10	00	2	216
22	10	00	3	186
22	10	00	4	200
22	10	00	5	213
22	10	00	6	189
22	10	00	7	186
22	10	00	8	220
22	10	00	9	234
22	10	00	10	214
22	10	00	11	179
22	10	00	12	201
22	10	00	13	225
22	10	00	14	242
22	10	00	15	202
22	10	00	16	202
22	10	00	17	200
22	10	00	18	216
22	10	00	19	204
22	10	00	20	205
22	10	00	21	189
22	10	00	22	219
22	10	00	23	219
22	10	00	24	223
22	10	00	25	212
22	10	00	26	242
22	10	00	27	196
22	10	00	28	208
22	10	00	29	213
22	10	00	30	216
22	10	10	31	234
22	10	00	0	233
22	10	00	1	235
22	10	00	2	213
22	10	00	3	187
22	10	00	4	198
22	10	00	5	209
22	10	00	6	185
22	10	00	7	185
22	10	00	8	217
22	10	00	9	234
22	10	00	10	215
22	10	00	11	174
22	10	00	12	201
22	10	00	13	224
22	10	00	14	243
22	10	00	15	201
22	10	00	16	200
22	10	00	17	197
22	10	00	18	214
22	10	00	19	201
22	10	00	20	209
22	10	00	21	186
22	10	00	22	222
22	10	00	23	216
22	10	00	24	223
22	10	00	25	210
22	10	00	26	242
22	10	00	27	198
22	10	00	28	203
22	10	00	29	212
22	10	00	30	210
22	10	10	31	233
22	10	00	0	235
22	10	00	1	233
22	10	00	2	212
22	10	00	3	186
22	10	00	4	201
22	10	00	5	210
22	10	00	6	187
22	10	00	7	186
22	10	00	8	218
22	10	00	9	234
22	10	00	10	212
22	10	00	11	177
22	10	00	12	201
22	10	00	13	224
22	10	00	14	240
22	10	00	15	196
22	10	00	16	201
22	10	00	17	196
22	10	00	18	217
22	10	00	19	205
22	10	00	20	206
22	10	00	21	187
22	10	00	22	220
22	10	00	23	222
22	10	00	24	224
22	10	00	25	210
22	10	00	26	241
22	10	00	27	198
22	10	00	28	203
22	10	00	29	210
22	10	00	30	215
22	10	10	31	233
22	10	00	0	235
22	10	00	1	230
22	10	00	2	209
22	10	00	3	184
22	10	00	4	197
22	10	00	5	205
22	10	00	6	185
22	10	00	7	182
22	10	00	8	215
22	10	00	9	232
22	10	00	10	212
22	10	00	11	169
22	10	00	12	197
22	10	00	13	219
22	10	00	14	239
22	10	00	15	197
22	10	00	16	199
22	10	00	17	194
22	10	00	18	215
22	10	00	19	199
22	10	00	20	204
22	10	00	21	182
22	10	00	22	219
22	10	00	23	217
22	10	00	24	220
22	10	00	25	210
22	10	00	26	240
22	10	00	27	196
22	10	00	28	209
22	10	00	29	210
22	10	00	30	213
22	10	10	31	230
22	10	00	0	235
22	10	00	1	233
22	10	00	2	210
22	10	00	3	186
22	10	00	4	200
22	10	00	5	207
22	10	00	6	186
22	10	00	7	186
22	10	00	8	214
22	10	00	9	230
22	10	00	10	211
22	10	00	11	174
22	10	00	12	196
22	10	00	13	217
22	10	00	14	239
22	10	00	15	196
22	10	00	16	199
22	10	00	17	194
22	10	00	18	214
22	10	00	19	202
22	10	00	20	205
22	10	00	21	188
22	10	00	22	220
22	10	00	23	217
22	10	00	24	225
22	10	00	25	208
22	10	00	26	241
22	10	00	27	194
22	10	00	28	203
22	10	00	29	210
22	10	00	30	210
22	10	10	31	232
22	10	00	0	232
22	10	00	1	225
22	10	00	2	208
22	10	00	3	182
22	10	00	4	197
22	10	00	5	205
22	10	00	6	187
22	10	00	7	182
22	10	00	8	216
22	10	00	9	234
