ch	pt	m	q
 0	 0	3.0765	-415.6170
 0	 1	3.0489	-410.4331
 0	 2	2.9975	-400.6257
 0	 3	2.9173	-386.0579
 0	 4	2.9039	-382.9594
 0	 5	2.9667	-394.9817
 0	 6	2.9661	-395.3894
 0	 7	3.0316	-406.7255
 1	 0	3.1687	-285.0059
 1	 1	3.1036	-275.9362
 1	 2	2.9926	-260.0392
 1	 3	2.9101	-248.1822
 1	 4	2.8821	-243.7471
 1	 5	2.9739	-256.2539
 1	 6	2.9464	-253.3008
 1	 7	3.0345	-264.7706
 2	 0	2.2247	-232.3099
 2	 1	2.1099	-211.9338
 2	 2	2.0524	-201.4460
 2	 3	2.0000	-192.3720
 2	 4	1.9785	-188.8520
 2	 5	2.0659	-203.5582
 2	 6	2.0320	-198.0920
 2	 7	2.0417	-199.4572
 3	 0	1.5804	-68.8716
 3	 1	1.5243	-60.7217
 3	 2	1.4712	-53.0302
 3	 3	1.4274	-46.8716
 3	 4	1.4384	-48.5279
 3	 5	1.4832	-54.3369
 3	 6	1.4560	-51.0111
 3	 7	1.4847	-54.4155
 4	 0	1.0625	-5.2019
 4	 1	1.0358	-1.0498
 4	 2	1.0196	1.7945
 4	 3	1.0066	3.2884
 4	 4	1.0128	2.5042
 4	 5	1.0191	1.7303
 4	 6	1.0113	2.5573
 4	 7	1.0335	-0.5394
 5	 0	0.8698	24.9373
 5	 1	0.8620	25.9541
 5	 2	0.8759	23.6490
 5	 3	0.8553	27.0584
 5	 4	0.8592	26.3890
 5	 5	0.8679	25.1464
 5	 6	0.8584	26.5984
 5	 7	0.8735	24.2973
 6	 0	0.6955	50.3223
 6	 1	0.6831	52.1962
 6	 2	0.7032	48.7678
 6	 3	0.6890	51.3464
 6	 4	0.6920	50.7662
 6	 5	0.6954	50.2661
 6	 6	0.6831	52.2224
 6	 7	0.6860	51.6040
 7	 0	0.5243	65.1534
 7	 1	0.5125	67.2666
 7	 2	0.5272	64.2992
 7	 3	0.5181	66.1764
 7	 4	0.5209	65.6680
 7	 5	0.5221	65.3977
 7	 6	0.5137	67.0210
 7	 7	0.5151	66.6224
 8	 0	0.5232	71.4817
 8	 1	0.5048	74.6661
 8	 2	0.5169	72.1313
 8	 3	0.5117	73.4192
 8	 4	0.5151	72.7069
 8	 5	0.5191	72.0045
 8	 6	0.5131	73.0748
 8	 7	0.5112	73.2111
 9	 0	0.6847	62.7336
 9	 1	0.6721	64.4380
 9	 2	0.6876	61.6769
 9	 3	0.6789	63.5080
 9	 4	0.6868	62.3662
 9	 5	0.6883	61.9653
 9	 6	0.6886	61.9813
 9	 7	0.6888	61.9613
10	 0	0.7862	8.1219
10	 1	0.7373	17.5536
10	 2	0.7207	20.7755
10	 3	0.7104	22.3693
10	 4	0.7234	20.0012
10	 5	0.7354	17.7066
10	 6	0.7217	20.1480
10	 7	0.7244	20.1948
11	 0	0.9217	17.3300
11	 1	0.9108	18.8211
11	 2	0.9112	18.7678
11	 3	0.8980	20.9722
11	 4	0.9071	19.3924
11	 5	0.9084	19.3271
11	 6	0.9219	17.3724
11	 7	0.9438	13.9530
12	 0	1.0703	-14.4414
12	 1	1.0303	-8.4140
12	 2	0.9948	-2.0902
12	 3	0.9826	-0.6456
12	 4	1.0008	-3.6192
12	 5	1.0231	-7.1420
12	 6	1.0230	-7.2681
12	 7	1.0344	-8.3537
13	 0	1.4936	-83.2404
13	 1	1.4412	-75.1279
13	 2	1.3553	-60.5845
13	 3	1.3480	-59.6124
13	 4	1.3671	-62.7535
13	 5	1.3960	-67.3424
13	 6	1.4307	-73.0259
13	 7	1.4531	-76.1305
14	 0	1.8885	-73.3809
14	 1	1.8817	-73.1356
14	 2	1.7995	-62.8648
14	 3	1.7718	-59.5997
14	 4	1.7860	-61.2679
14	 5	1.8039	-63.2915
14	 6	1.8891	-73.5891
