# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 000 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 010 
# FineTHR[1] = 010 
# FineTHR[2] = 010 
# FineTHR[3] = 010 
# FineTHR[4] = 010 
# FineTHR[5] = 010 
# FineTHR[6] = 010 
# FineTHR[7] = 010 
# FineTHR[8] = 010 
# FineTHR[9] = 010 
# FineTHR[10] = 010 
# FineTHR[11] = 010 
# FineTHR[12] = 010 
# FineTHR[13] = 010 
# FineTHR[14] = 010 
# FineTHR[15] = 010 
# FineTHR[16] = 010 
# FineTHR[17] = 010 
# FineTHR[18] = 010 
# FineTHR[19] = 010 
# FineTHR[20] = 010 
# FineTHR[21] = 010 
# FineTHR[22] = 010 
# FineTHR[23] = 010 
# FineTHR[24] = 010 
# FineTHR[25] = 010 
# FineTHR[26] = 010 
# FineTHR[27] = 010 
# FineTHR[28] = 010 
# FineTHR[29] = 010 
# FineTHR[30] = 010 
# FineTHR[31] = 010 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	5	2
200	0	1000	1	3
200	0	1000	18	4
200	0	1000	18	5
200	0	1000	37	6
200	0	1000	38	7
200	0	1000	49	8
200	0	1000	53	9
200	0	1000	36	10
200	0	1000	18	11
200	0	1000	13	12
200	0	1000	1	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	1	17
200	0	1000	9	18
200	0	1000	1	19
200	0	1000	59	20
200	0	1000	31	21
200	0	1000	116	22
200	0	1000	127	23
200	0	1000	131	24
200	0	1000	121	25
200	0	1000	20	26
200	0	1000	44	27
200	0	1000	8	28
200	0	1000	0	29
200	0	1000	0	30
200	0	1000	1	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	0	0
201	0	1000	0	1
201	0	1000	3	2
201	0	1000	1	3
201	0	1000	18	4
201	0	1000	15	5
201	0	1000	31	6
201	0	1000	28	7
201	0	1000	35	8
201	0	1000	46	9
201	0	1000	29	10
201	0	1000	17	11
201	0	1000	12	12
201	0	1000	1	13
201	0	1000	0	14
201	0	1000	0	15
201	0	1000	0	16
201	0	1000	1	17
201	0	1000	7	18
201	0	1000	0	19
201	0	1000	52	20
201	0	1000	23	21
201	0	1000	105	22
201	0	1000	122	23
201	0	1000	128	24
201	0	1000	117	25
201	0	1000	21	26
201	0	1000	38	27
201	0	1000	7	28
201	0	1000	0	29
201	0	1000	0	30
201	0	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	11	2
202	0	1000	0	3
202	0	1000	25	4
202	0	1000	25	5
202	0	1000	49	6
202	0	1000	51	7
202	0	1000	62	8
202	0	1000	70	9
202	0	1000	48	10
202	0	1000	25	11
202	0	1000	22	12
202	0	1000	0	13
202	0	1000	0	14
202	0	1000	0	15
202	0	1000	0	16
202	0	1000	0	17
202	0	1000	19	18
202	0	1000	3	19
202	0	1000	83	20
202	0	1000	44	21
202	0	1000	143	22
202	0	1000	155	23
202	0	1000	157	24
202	0	1000	152	25
202	0	1000	31	26
202	0	1000	60	27
202	0	1000	19	28
202	0	1000	0	29
202	0	1000	0	30
202	0	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	1	0
203	0	1000	0	1
203	0	1000	9	2
203	0	1000	1	3
203	0	1000	25	4
203	0	1000	23	5
203	0	1000	40	6
203	0	1000	42	7
203	0	1000	47	8
203	0	1000	63	9
203	0	1000	43	10
203	0	1000	24	11
203	0	1000	12	12
203	0	1000	1	13
203	0	1000	0	14
203	0	1000	1	15
203	0	1000	0	16
203	0	1000	1	17
203	0	1000	12	18
203	0	1000	1	19
203	0	1000	76	20
203	0	1000	34	21
203	0	1000	134	22
203	0	1000	148	23
203	0	1000	153	24
203	0	1000	147	25
203	0	1000	24	26
203	0	1000	55	27
203	0	1000	11	28
203	0	1000	0	29
203	0	1000	0	30
203	0	1000	2	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	2	0
204	0	1000	0	1
204	0	1000	20	2
204	0	1000	4	3
204	0	1000	30	4
204	0	1000	28	5
204	0	1000	49	6
204	0	1000	49	7
204	0	1000	54	8
204	0	1000	70	9
204	0	1000	52	10
204	0	1000	29	11
204	0	1000	26	12
204	0	1000	4	13
204	0	1000	0	14
204	0	1000	3	15
204	0	1000	0	16
204	0	1000	3	17
204	0	1000	24	18
204	0	1000	3	19
204	0	1000	95	20
204	0	1000	45	21
204	0	1000	159	22
204	0	1000	168	23
204	0	1000	170	24
204	0	1000	169	25
204	0	1000	28	26
204	0	1000	74	27
204	0	1000	22	28
204	0	1000	1	29
204	0	1000	1	30
204	0	1000	4	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	1	0
205	0	1000	0	1
205	0	1000	30	2
205	0	1000	5	3
205	0	1000	38	4
205	0	1000	36	5
205	0	1000	59	6
205	0	1000	58	7
205	0	1000	61	8
205	0	1000	80	9
205	0	1000	61	10
205	0	1000	37	11
205	0	1000	33	12
205	0	1000	4	13
205	0	1000	0	14
205	0	1000	3	15
205	0	1000	0	16
205	0	1000	0	17
205	0	1000	31	18
205	0	1000	6	19
205	0	1000	110	20
205	0	1000	54	21
205	0	1000	172	22
205	0	1000	173	23
205	0	1000	170	24
205	0	1000	180	25
205	0	1000	42	26
205	0	1000	81	27
205	0	1000	28	28
205	0	1000	0	29
205	0	1000	0	30
205	0	1000	5	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	2	0
206	0	1000	0	1
206	0	1000	28	2
206	0	1000	2	3
206	0	1000	40	4
206	0	1000	31	5
206	0	1000	58	6
206	0	1000	52	7
206	0	1000	61	8
206	0	1000	90	9
206	0	1000	61	10
206	0	1000	35	11
206	0	1000	28	12
206	0	1000	3	13
206	0	1000	0	14
206	0	1000	3	15
206	0	1000	0	16
206	0	1000	2	17
206	0	1000	27	18
206	0	1000	2	19
206	0	1000	138	20
206	0	1000	48	21
206	0	1000	230	22
206	0	1000	232	23
206	0	1000	228	24
206	0	1000	254	25
206	0	1000	35	26
206	0	1000	99	27
206	0	1000	29	28
206	0	1000	0	29
206	0	1000	1	30
206	0	1000	6	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	6	0
207	0	1000	0	1
207	0	1000	34	2
207	0	1000	6	3
