ch	pt	m	q
 0	 0	0.1818	101.4962
 0	 1	0.1797	101.9068
 0	 2	0.1795	101.9696
 0	 3	0.2085	97.2068
 0	 4	0.1651	104.3629
 0	 5	0.1473	107.2669
 0	 6	0.2003	98.5975
 0	 7	0.2345	92.9091
 1	 0	0.1510	111.6846
 1	 1	0.1719	108.9798
 1	 2	0.1639	110.0932
 1	 3	0.1633	110.1902
 1	 4	0.1617	110.3969
 1	 5	0.1608	110.4771
 1	 6	0.2073	104.4149
 1	 7	0.1940	106.1723
 2	 0	0.2100	108.7899
 2	 1	0.1696	113.2198
 2	 2	0.1558	114.7469
 2	 3	0.1717	113.0816
 2	 4	0.1519	115.1935
 2	 5	0.1620	114.0638
 2	 6	0.1858	111.6097
 2	 7	0.1665	113.6531
 3	 0	0.2015	94.1785
 3	 1	0.1636	101.2610
 3	 2	0.1584	102.2687
 3	 3	0.1526	103.3669
 3	 4	0.1471	104.3929
 3	 5	0.1472	104.3433
 3	 6	0.1660	100.9450
 3	 7	0.1394	105.8380
 4	 0	0.2298	103.5602
 4	 1	0.1704	110.8572
 4	 2	0.1670	111.3193
 4	 3	0.1786	109.9067
 4	 4	0.1739	110.4598
 4	 5	0.1642	111.6216
 4	 6	0.1568	112.6295
 4	 7	0.1693	111.0771
 5	 0	0.2580	104.1437
 5	 1	0.2090	109.4012
 5	 2	0.1896	111.4900
 5	 3	0.1685	113.7642
 5	 4	0.1932	111.1701
 5	 5	0.2014	110.2446
 5	 6	0.2006	110.4365
 5	 7	0.2044	109.9813
 6	 0	0.2308	98.7430
 6	 1	0.1778	106.3104
 6	 2	0.1678	107.7815
 6	 3	0.1705	107.4043
 6	 4	0.1474	110.6893
 6	 5	0.1372	112.1298
 6	 6	0.1400	111.7977
 6	 7	0.1571	109.3188
 7	 0	0.2535	101.7445
 7	 1	0.2088	107.0031
 7	 2	0.1814	110.3082
 7	 3	0.1608	112.7352
 7	 4	0.1726	111.3504
 7	 5	0.1568	113.1860
 7	 6	0.1803	110.4943
 7	 7	0.1912	109.1616
 8	 0	0.2490	104.6631
 8	 1	0.2084	109.0513
 8	 2	0.1916	110.9215
 8	 3	0.1885	111.2802
 8	 4	0.1831	111.8319
 8	 5	0.1913	110.9258
 8	 6	0.2260	107.2483
 8	 7	0.2235	107.4442
 9	 0	0.2551	96.8351
 9	 1	0.1983	104.6052
 9	 2	0.1762	107.6683
 9	 3	0.1912	105.6253
 9	 4	0.1906	105.7233
 9	 5	0.2001	104.4001
 9	 6	0.2134	102.7063
 9	 7	0.2277	100.7271
10	 0	0.2246	106.6893
10	 1	0.1798	111.6836
10	 2	0.1895	110.6149
10	 3	0.1719	112.5814
10	 4	0.1897	110.6028
10	 5	0.2017	109.2485
10	 6	0.2194	107.3357
10	 7	0.2274	106.4048
11	 0	0.2257	97.4865
11	 1	0.1835	103.9087
11	 2	0.1897	103.0114
11	 3	0.1701	105.9955
11	 4	0.1880	103.2935
11	 5	0.2050	100.6579
11	 6	0.2328	96.5100
11	 7	0.2213	98.2622
12	 0	0.2131	101.5664
12	 1	0.1602	109.0638
12	 2	0.1764	106.8409
12	 3	0.1939	104.4010
12	 4	0.2096	102.2029
12	 5	0.2006	103.4042
12	 6	0.2216	100.5326
12	 7	0.2220	100.4349
13	 0	0.1984	108.8289
13	 1	0.1741	111.6687
13	 2	0.1935	109.5493
13	 3	0.1847	110.5012
13	 4	0.1894	110.0098
13	 5	0.2082	107.8753
13	 6	0.2139	107.3576
13	 7	0.2272	105.7993
14	 0	0.1505	112.4535
14	 1	0.1190	116.4981
14	 2	0.1567	111.7581
14	 3	0.1611	111.1865
14	 4	0.1639	110.8353
14	 5	0.1727	109.6457
14	 6	0.1912	107.4139
14	 7	0.1908	107.4469
15	 0	0.1749	106.2538
15	 1	0.1505	109.8607
15	 2	0.1847	104.9470
15	 3	0.1877	104.4789
15	 4	0.1886	104.3845
15	 5	0.2008	102.5401
15	 6	0.2151	100.5906
15	 7	0.2027	102.3216
16	 0	0.1788	111.3127
16	 1	0.1926	109.7680
16	 2	0.1721	112.1291
16	 3	0.1735	112.0077
16	 4	0.1933	109.7459
16	 5	0.1878	110.3593
16	 6	0.2329	105.3436
16	 7	0.1951	109.6770
17	 0	0.1789	109.4675
17	 1	0.1698	110.6603
17	 2	0.1660	111.1527
17	 3	0.1914	108.0737
17	 4	0.1711	110.5653
17	 5	0.1920	107.9647
17	 6	0.1793	109.6072
17	 7	0.1899	108.2044
18	 0	0.2018	108.6357
18	 1	0.2085	107.9486
18	 2	0.1815	111.0467
18	 3	0.2151	107.2962
18	 4	0.1969	109.3574
18	 5	0.1922	109.8862
18	 6	0.2069	108.2887
18	 7	0.2406	104.4352
19	 0	0.2227	95.6406
19	 1	0.1919	100.6877
19	 2	0.1829	102.1959
19	 3	0.2072	98.3125
19	 4	0.1857	101.7344
19	 5	0.1822	102.2254
19	 6	0.2126	97.5064
19	 7	0.2196	96.3355
20	 0	0.2579	105.3431
20	 1	0.2137	109.8763
20	 2	0.2026	111.0331
20	 3	0.2248	108.7993
20	 4	0.1970	111.6235
20	 5	0.1976	111.5177
20	 6	0.2176	109.5719
20	 7	0.2158	109.7445
21	 0	0.2204	102.1428
21	 1	0.2103	103.5185
21	 2	0.1878	106.5595
21	 3	0.2008	104.8613
21	 4	0.1886	106.4380
21	 5	0.2192	102.3526
21	 6	0.2219	102.0526
21	 7	0.2003	104.9166
22	 0	0.2719	104.5421
22	 1	0.2231	109.4656
22	 2	0.2158	110.2379
22	 3	0.2168	110.1677
22	 4	0.2218	109.6719
22	 5	0.2095	110.8259
22	 6	0.2245	109.4451
22	 7	0.2352	108.3541
23	 0	0.2339	91.8526
23	 1	0.2142	95.2017
23	 2	0.1893	99.4779
23	 3	0.1797	101.1882
23	 4	0.1908	99.2565
23	 5	0.1888	99.5692
23	 6	0.1991	97.8563
23	 7	0.2112	95.8012
24	 0	0.2168	91.1175
24	 1	0.1928	95.6694
24	 2	0.1862	96.8811
24	 3	0.1708	99.7586
24	 4	0.1679	100.3226
24	 5	0.1637	101.1068
24	 6	0.2035	93.7982
24	 7	0.1845	97.2835
25	 0	0.2301	101.9228
25	 1	0.1966	106.3090
25	 2	0.1681	110.0365
25	 3	0.1715	109.5924
25	 4	0.1656	110.3245
25	 5	0.1671	110.1353
25	 6	0.1615	110.9547
25	 7	0.1880	107.5116
26	 0	0.2312	99.2804
26	 1	0.1905	104.9683
26	 2	0.1610	109.1353
26	 3	0.1613	109.1224
26	 4	0.1687	108.0855
26	 5	0.1685	108.0929
26	 6	0.2276	99.9031
26	 7	0.1864	105.6537
27	 0	0.2229	102.5945
27	 1	0.2047	104.9523
27	 2	0.1596	110.8914
27	 3	0.1930	106.5421
27	 4	0.1815	108.0676
27	 5	0.1774	108.5320
27	 6	0.1972	106.0496
27	 7	0.1964	106.1649
28	 0	0.1843	103.3432
28	 1	0.1753	104.7632
28	 2	0.1678	105.9549
28	 3	0.1648	106.4403
28	 4	0.1675	106.0472
28	 5	0.1670	106.0751
28	 6	0.2010	100.9633
28	 7	0.1896	102.6868
29	 0	0.1621	112.5825
29	 1	0.1551	113.4840
29	 2	0.1683	111.9810
29	 3	0.1755	111.1480
29	 4	0.1694	111.8471
29	 5	0.1539	113.6328
29	 6	0.1998	108.3705
29	 7	0.1958	108.7975
30	 0	0.1655	115.4131
30	 1	0.1534	116.6493
30	 2	0.2094	111.2324
30	 3	0.1919	112.9913
30	 4	0.1986	112.3115
30	 5	0.1958	112.5623
30	 6	0.2242	109.9035
30	 7	0.2352	108.7952
31	 0	0.1642	109.5664
31	 1	0.1788	107.7091
31	 2	0.1751	108.2378
31	 3	0.1546	111.0347
31	 4	0.1813	107.4541
31	 5	0.1370	113.3496
31	 6	0.2152	103.0114
31	 7	0.1980	105.2787
