# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 110 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
75	10	00	0	183
75	10	00	1	179
75	10	00	2	201
75	10	00	3	164
75	10	00	4	181
75	10	00	5	200
75	10	00	6	168
75	10	00	7	205
75	10	00	8	169
75	10	00	9	154
75	10	00	10	213
75	10	00	11	177
75	10	00	12	187
75	10	00	13	186
75	10	00	14	203
75	10	00	15	202
75	10	00	16	230
75	10	00	17	185
75	10	00	18	181
75	10	00	19	196
75	10	00	20	236
75	10	00	21	212
75	10	00	22	205
75	10	00	23	173
75	10	00	24	196
75	10	00	25	176
75	10	00	26	178
75	10	00	27	182
75	10	00	28	192
75	10	00	29	186
75	10	00	30	200
75	10	10	31	182
75	10	00	0	182
75	10	00	1	177
75	10	00	2	203
75	10	00	3	164
75	10	00	4	176
75	10	00	5	194
75	10	00	6	162
75	10	00	7	201
75	10	00	8	166
75	10	00	9	155
75	10	00	10	212
75	10	00	11	175
75	10	00	12	186
75	10	00	13	189
75	10	00	14	209
75	10	00	15	203
75	10	00	16	225
75	10	00	17	183
75	10	00	18	178
75	10	00	19	192
75	10	00	20	233
75	10	00	21	208
75	10	00	22	200
75	10	00	23	170
75	10	00	24	194
75	10	00	25	170
75	10	00	26	174
75	10	00	27	177
75	10	00	28	192
75	10	00	29	183
75	10	00	30	200
75	10	10	31	181
75	10	00	0	182
75	10	00	1	174
75	10	00	2	201
75	10	00	3	160
75	10	00	4	178
75	10	00	5	191
75	10	00	6	161
75	10	00	7	201
75	10	00	8	167
75	10	00	9	157
75	10	00	10	213
75	10	00	11	172
75	10	00	12	186
75	10	00	13	192
75	10	00	14	206
75	10	00	15	203
75	10	00	16	225
75	10	00	17	183
75	10	00	18	178
75	10	00	19	192
75	10	00	20	232
75	10	00	21	208
75	10	00	22	199
75	10	00	23	166
75	10	00	24	194
75	10	00	25	171
75	10	00	26	171
75	10	00	27	174
75	10	00	28	193
75	10	00	29	181
75	10	00	30	197
75	10	10	31	175
75	10	00	0	177
75	10	00	1	172
75	10	00	2	201
75	10	00	3	160
75	10	00	4	177
75	10	00	5	193
75	10	00	6	160
75	10	00	7	198
75	10	00	8	165
75	10	00	9	152
75	10	00	10	208
75	10	00	11	173
75	10	00	12	180
75	10	00	13	182
75	10	00	14	202
75	10	00	15	201
75	10	00	16	224
75	10	00	17	181
75	10	00	18	175
75	10	00	19	189
75	10	00	20	228
75	10	00	21	208
75	10	00	22	198
75	10	00	23	170
75	10	00	24	193
75	10	00	25	169
75	10	00	26	172
75	10	00	27	176
75	10	00	28	190
75	10	00	29	182
75	10	00	30	196
75	10	10	31	175
75	10	00	0	178
75	10	00	1	171
75	10	00	2	200
75	10	00	3	164
75	10	00	4	179
75	10	00	5	192
75	10	00	6	162
75	10	00	7	199
75	10	00	8	165
75	10	00	9	154
75	10	00	10	211
75	10	00	11	170
75	10	00	12	180
75	10	00	13	186
75	10	00	14	200
75	10	00	15	199
75	10	00	16	226
75	10	00	17	185
75	10	00	18	178
75	10	00	19	190
75	10	00	20	233
75	10	00	21	206
