ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	218.426	0.433
 0	 0	 1	217.452	0.453
 0	 0	 2	216.526	0.441
 0	 0	 3	215.506	0.476
 0	 0	 4	214.544	0.416
 0	 0	 5	213.563	0.432
 0	 0	 6	212.594	0.450
 0	 0	 7	211.600	0.498
 0	 1	 0	218.459	0.371
 0	 1	 1	217.397	0.403
 0	 1	 2	216.482	0.412
 0	 1	 3	215.470	0.399
 0	 1	 4	214.529	0.398
 0	 1	 5	213.474	0.385
 0	 1	 6	212.583	0.401
 0	 1	 7	211.571	0.401
 0	 2	 0	218.448	0.376
 0	 2	 1	217.416	0.388
 0	 2	 2	216.478	0.384
 0	 2	 3	215.490	0.414
 0	 2	 4	214.506	0.381
 0	 2	 5	213.490	0.382
 0	 2	 6	212.560	0.403
 0	 2	 7	211.564	0.402
 0	 3	 0	218.425	0.395
 0	 3	 1	217.419	0.372
 0	 3	 2	216.482	0.378
 0	 3	 3	215.450	0.422
 0	 3	 4	214.520	0.395
 0	 3	 5	213.473	0.366
 0	 3	 6	212.576	0.386
 0	 3	 7	211.573	0.387
 0	 4	 0	218.434	0.397
 0	 4	 1	217.404	0.377
 0	 4	 2	216.481	0.401
 0	 4	 3	215.444	0.427
 0	 4	 4	214.511	0.395
 0	 4	 5	213.537	0.384
 0	 4	 6	212.563	0.388
 0	 4	 7	211.542	0.397
 0	 5	 0	218.467	0.366
 0	 5	 1	217.403	0.380
 0	 5	 2	216.492	0.370
 0	 5	 3	215.446	0.383
 0	 5	 4	214.506	0.396
 0	 5	 5	213.485	0.387
 0	 5	 6	212.553	0.374
 0	 5	 7	211.601	0.414
 0	 6	 0	218.429	0.381
 0	 6	 1	217.452	0.367
 0	 6	 2	216.502	0.380
 0	 6	 3	215.437	0.401
 0	 6	 4	214.494	0.389
 0	 6	 5	213.483	0.359
 0	 6	 6	212.584	0.386
 0	 6	 7	211.596	0.408
 0	 7	 0	218.459	0.372
 0	 7	 1	217.447	0.363
 0	 7	 2	216.493	0.376
 0	 7	 3	215.428	0.399
 0	 7	 4	214.513	0.360
 0	 7	 5	213.479	0.371
 0	 7	 6	212.597	0.359
 0	 7	 7	211.571	0.401
 1	 0	 0	226.133	0.464
 1	 0	 1	225.119	0.497
 1	 0	 2	224.179	0.425
 1	 0	 3	223.081	0.509
 1	 0	 4	222.167	0.457
 1	 0	 5	221.030	0.515
 1	 0	 6	220.082	0.510
 1	 0	 7	219.077	0.483
 1	 1	 0	226.186	0.476
 1	 1	 1	225.137	0.467
 1	 1	 2	224.166	0.437
 1	 1	 3	223.071	0.492
 1	 1	 4	222.111	0.477
 1	 1	 5	221.073	0.499
 1	 1	 6	220.152	0.434
 1	 1	 7	219.037	0.476
 1	 2	 0	226.198	0.410
 1	 2	 1	225.234	0.413
 1	 2	 2	224.122	0.460
 1	 2	 3	223.121	0.472
 1	 2	 4	222.121	0.464
 1	 2	 5	221.045	0.506
 1	 2	 6	220.161	0.410
 1	 2	 7	219.095	0.498
 1	 3	 0	226.232	0.415
 1	 3	 1	225.175	0.462
 1	 3	 2	224.158	0.421
 1	 3	 3	223.119	0.453
 1	 3	 4	222.175	0.446
 1	 3	 5	221.051	0.529
 1	 3	 6	220.254	0.379
 1	 3	 7	219.063	0.504
 1	 4	 0	226.157	0.461
 1	 4	 1	225.170	0.467
 1	 4	 2	224.180	0.482
 1	 4	 3	223.104	0.488
 1	 4	 4	222.133	0.455
 1	 4	 5	221.084	0.493
 1	 4	 6	220.164	0.447
 1	 4	 7	219.008	0.513
 1	 5	 0	226.161	0.447
 1	 5	 1	225.128	0.543
 1	 5	 2	224.158	0.490
 1	 5	 3	223.067	0.525
 1	 5	 4	222.116	0.516
 1	 5	 5	221.068	0.484
 1	 5	 6	220.117	0.471
 1	 5	 7	219.075	0.553
 1	 6	 0	226.175	0.471
 1	 6	 1	225.156	0.455
 1	 6	 2	224.176	0.478
 1	 6	 3	223.083	0.533
 1	 6	 4	222.124	0.481
 1	 6	 5	221.067	0.489
 1	 6	 6	220.117	0.475
 1	 6	 7	218.966	0.578
 1	 7	 0	226.207	0.515
 1	 7	 1	225.176	0.519
 1	 7	 2	224.132	0.515
 1	 7	 3	223.119	0.498
 1	 7	 4	222.121	0.515
 1	 7	 5	221.062	0.513
 1	 7	 6	220.143	0.477
 1	 7	 7	218.995	0.587
 2	 0	 0	219.138	0.679
 2	 0	 1	218.198	0.517
 2	 0	 2	217.292	0.555
 2	 0	 3	216.203	0.553
 2	 0	 4	215.236	0.587
 2	 0	 5	214.007	0.606
 2	 0	 6	213.166	0.582
 2	 0	 7	212.136	0.635
 2	 1	 0	219.234	0.558
 2	 1	 1	218.239	0.537
 2	 1	 2	217.233	0.541
 2	 1	 3	216.211	0.550
 2	 1	 4	215.208	0.597
 2	 1	 5	214.139	0.623
 2	 1	 6	213.236	0.527
 2	 1	 7	211.981	0.637
 2	 2	 0	219.222	0.535
 2	 2	 1	218.239	0.534
 2	 2	 2	217.297	0.519
 2	 2	 3	216.197	0.566
 2	 2	 4	215.133	0.633
 2	 2	 5	214.123	0.588
 2	 2	 6	213.165	0.593
 2	 2	 7	212.196	0.598
 2	 3	 0	219.275	0.509
 2	 3	 1	218.231	0.575
 2	 3	 2	217.258	0.518
 2	 3	 3	216.201	0.582
 2	 3	 4	215.222	0.595
 2	 3	 5	214.161	0.563
 2	 3	 6	213.298	0.494
 2	 3	 7	212.183	0.602
 2	 4	 0	219.252	0.528
 2	 4	 1	218.186	0.561
 2	 4	 2	217.290	0.530
 2	 4	 3	216.208	0.572
 2	 4	 4	215.158	0.626
 2	 4	 5	214.170	0.601
 2	 4	 6	213.223	0.543
 2	 4	 7	212.177	0.584
 2	 5	 0	219.225	0.609
 2	 5	 1	218.215	0.574
 2	 5	 2	217.309	0.514
 2	 5	 3	216.138	0.611
 2	 5	 4	215.256	0.581
 2	 5	 5	214.157	0.582
 2	 5	 6	213.232	0.527
 2	 5	 7	212.206	0.679
 2	 6	 0	219.285	0.538
 2	 6	 1	218.265	0.566
 2	 6	 2	217.295	0.533
 2	 6	 3	216.159	0.585
 2	 6	 4	215.169	0.612
 2	 6	 5	214.067	0.600
 2	 6	 6	213.263	0.570
 2	 6	 7	212.232	0.578
 2	 7	 0	219.210	0.574
 2	 7	 1	218.269	0.550
 2	 7	 2	217.283	0.540
 2	 7	 3	216.219	0.596
 2	 7	 4	215.272	0.556
 2	 7	 5	214.182	0.541
 2	 7	 6	213.147	0.586
 2	 7	 7	212.199	0.580
 3	 0	 0	218.950	0.722
 3	 0	 1	218.029	0.667
 3	 0	 2	217.088	0.748
 3	 0	 3	216.041	0.677
 3	 0	 4	215.208	0.669
 3	 0	 5	214.177	0.668
 3	 0	 6	213.249	0.674
 3	 0	 7	212.231	0.687
 3	 1	 0	219.007	0.686
 3	 1	 1	218.001	0.707
 3	 1	 2	217.070	0.711
 3	 1	 3	216.086	0.720
 3	 1	 4	215.136	0.738
 3	 1	 5	214.162	0.681
 3	 1	 6	213.192	0.633
 3	 1	 7	212.206	0.674
 3	 2	 0	219.010	0.731
 3	 2	 1	218.088	0.697
 3	 2	 2	217.031	0.736
 3	 2	 3	216.025	0.752
 3	 2	 4	215.083	0.762
 3	 2	 5	214.095	0.712
 3	 2	 6	213.161	0.695
 3	 2	 7	212.245	0.709
 3	 3	 0	219.081	0.716
 3	 3	 1	218.041	0.774
 3	 3	 2	217.030	0.714
 3	 3	 3	216.046	0.747
 3	 3	 4	215.162	0.752
 3	 3	 5	214.153	0.671
 3	 3	 6	213.210	0.672
 3	 3	 7	212.209	0.698
 3	 4	 0	219.037	0.745
 3	 4	 1	218.038	0.738
 3	 4	 2	217.077	0.719
 3	 4	 3	216.013	0.765
 3	 4	 4	215.197	0.745
 3	 4	 5	214.110	0.788
 3	 4	 6	213.144	0.731
 3	 4	 7	212.191	0.726
 3	 5	 0	219.112	0.782
 3	 5	 1	218.040	0.777
 3	 5	 2	217.091	0.771
 3	 5	 3	216.026	0.754
