INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	6.005	5.691	5.611	5.323
15	 0	3.827	2.980	3.132	2.439
15	 1	4.288	4.037	3.810	3.596
15	 2	4.796	4.580	4.337	4.133
15	 3	5.119	4.702	4.635	4.289
15	 4	5.525	5.186	5.088	4.795
15	 5	5.655	5.264	5.359	5.025
15	 6	5.963	5.748	5.641	5.423
15	 7	5.965	5.601	5.702	5.356
16	 0	3.327	2.825	2.750	2.326
16	 1	3.625	3.118	3.257	2.805
16	 2	3.842	3.162	3.456	2.851
16	 3	4.019	3.371	3.717	3.124
16	 4	4.193	3.496	3.946	3.297
16	 5	3.997	3.420	3.955	3.362
16	 6	4.109	3.596	4.065	3.533
16	 7	4.170	4.143	4.191	4.155
17	 0	3.916	3.015	3.252	2.491
17	 1	4.320	4.229	3.870	3.773
17	 2	4.639	4.448	4.189	4.032
17	 3	4.654	4.495	4.316	4.196
17	 4	4.865	4.663	4.445	4.270
17	 5	4.761	4.681	4.488	4.383
17	 6	4.892	4.691	4.591	4.389
17	 7	4.623	4.565	4.404	4.360
18	 0	4.263	3.970	3.611	3.366
18	 1	4.950	4.450	4.407	3.943
18	 2	5.370	4.725	4.917	4.302
18	 3	5.807	5.379	5.325	4.925
18	 4	5.957	5.510	5.504	5.018
18	 5	5.717	5.228	5.563	5.108
18	 6	5.913	5.517	5.704	5.293
18	 7	5.820	5.304	5.710	5.308
19	 0	4.645	3.852	3.915	3.232
19	 1	5.661	4.601	5.059	4.085
19	 2	6.370	4.964	5.741	4.424
19	 3	6.700	5.349	5.973	4.808
19	 4	7.201	5.619	6.507	5.082
19	 5	6.803	5.564	6.542	5.361
19	 6	7.254	5.837	6.779	5.458
19	 7	6.858	5.658	6.589	5.487
20	 0	5.689	4.482	4.645	3.668
20	 1	6.928	5.402	6.089	4.692
20	 2	7.699	5.656	6.845	4.967
20	 3	8.082	5.904	7.151	5.277
20	 4	8.131	6.036	7.268	5.378
20	 5	8.103	6.333	7.735	6.000
20	 6	8.360	6.193	7.928	5.861
20	 7	8.047	6.287	7.726	6.098
21	 0	5.850	4.885	4.949	4.118
21	 1	7.355	5.547	6.434	4.851
21	 2	8.132	5.896	7.002	4.999
21	 3	8.591	6.104	7.502	5.394
21	 4	9.266	6.244	7.937	5.355
21	 5	8.547	6.402	7.744	5.819
21	 6	9.189	6.754	8.083	5.824
21	 7	8.798	6.727	7.900	6.016
22	 0	6.582	4.886	5.403	3.990
22	 1	8.024	5.257	7.150	4.556
22	 2	9.280	7.303	8.142	6.262
22	 3	9.758	5.931	8.541	5.237
22	 4	10.128	6.048	9.161	5.548
22	 5	9.709	7.648	9.258	7.299
22	 6	10.452	6.631	9.925	6.341
22	 7	9.715	6.352	9.631	6.371
23	 0	6.470	4.480	5.327	3.625
23	 1	8.629	4.619	7.550	3.993
23	 2	9.881	5.213	8.821	4.549
23	 3	10.464	5.615	9.282	5.026
23	 4	10.981	5.986	9.887	5.441
23	 5	10.665	8.752	10.370	8.459
23	 6	11.540	8.319	11.140	8.014
23	 7	10.609	6.277	10.538	6.343
24	 0	6.577	4.620	5.307	3.704
24	 1	8.106	4.798	7.217	4.256
24	 2	9.483	5.183	8.276	4.417
24	 3	10.261	5.377	8.832	4.735
24	 4	10.857	5.811	9.310	4.964
24	 5	10.370	8.841	9.411	7.951
24	 6	11.185	8.727	10.125	7.852
24	 7	10.453	8.979	9.434	8.048
25	 0	5.284	4.418	4.338	3.640
25	 1	6.564	4.997	5.871	4.422
25	 2	7.376	5.330	6.699	4.816
25	 3	7.890	5.692	7.055	5.142
25	 4	8.433	5.905	7.659	5.353
25	 5	8.272	6.116	7.900	5.822
25	 6	8.917	6.229	8.398	5.948
25	 7	8.522	6.380	8.228	6.189
26	 0	5.127	4.425	4.237	3.636
26	 1	6.171	4.988	5.371	4.283
26	 2	7.006	5.588	6.227	4.908
26	 3	7.228	7.049	6.398	6.290
26	 4	7.866	7.572	6.999	6.758
26	 5	7.530	7.412	7.057	6.886
26	 6	7.960	7.416	7.509	7.089
26	 7	7.479	7.246	7.197	7.059
27	 0	4.540	4.095	3.725	3.364
27	 1	5.376	4.841	4.732	4.209
27	 2	6.022	4.988	5.415	4.477
27	 3	6.436	5.510	5.718	4.895
27	 4	6.677	5.709	5.927	5.091
27	 5	6.567	5.899	6.184	5.467
27	 6	6.895	5.892	6.430	5.457
27	 7	6.602	5.879	6.264	5.598
28	 0	4.004	3.742	3.291	3.059
28	 1	4.628	4.511	3.956	3.832
28	 2	5.173	3.740	4.355	3.134
28	 3	5.341	5.168	4.461	4.329
28	 4	5.519	5.279	4.643	4.463
28	 5	5.267	5.156	4.603	4.507
28	 6	5.449	4.106	4.729	3.513
28	 7	5.191	4.053	4.557	3.552
29	 0	3.612	2.992	2.978	2.470
29	 1	3.843	3.053	3.428	2.719
29	 2	4.057	3.178	3.654	2.835
29	 3	4.008	3.312	3.698	3.040
29	 4	4.246	3.419	3.905	3.143
29	 5	4.212	3.531	3.943	3.285
29	 6	4.327	3.650	4.030	3.392
29	 7	4.261	3.619	4.033	3.433
30	 0	3.692	3.701	3.003	3.001
30	 1	3.723	3.147	3.305	2.801
30	 2	3.781	3.744	3.432	3.386
30	 3	3.845	3.807	3.530	3.478
30	 4	3.907	3.433	3.595	3.179
30	 5	3.877	3.851	3.671	3.643
30	 6	3.973	3.420	3.706	3.191
30	 7	3.834	3.476	3.609	3.294
31	 0	3.290	2.752	2.715	2.270
31	 1	3.474	2.838	3.104	2.523
31	 2	3.564	3.047	3.174	2.690
31	 3	3.562	3.145	3.218	2.836
31	 4	3.724	3.097	3.369	2.807
31	 5	3.778	3.187	3.496	2.944
31	 6	3.715	3.215	3.449	2.979
31	 7	3.582	3.176	3.353	2.974
