# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 010 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
31	10	00	0	180
31	10	00	1	170
31	10	00	2	199
31	10	00	3	226
31	10	00	4	180
31	10	00	5	173
31	10	00	6	256
31	10	00	7	226
31	10	00	8	205
31	10	00	9	163
31	10	00	10	165
31	10	00	11	214
31	10	00	12	221
31	10	00	13	222
31	10	00	14	158
31	10	00	15	225
31	10	00	16	202
31	10	00	17	209
31	10	00	18	201
31	10	00	19	222
31	10	00	20	160
31	10	00	21	224
31	10	00	22	190
31	10	00	23	214
31	10	00	24	205
31	10	00	25	176
31	10	00	26	209
31	10	00	27	214
31	10	00	28	187
31	10	00	29	185
31	10	00	30	178
31	10	10	31	205
31	10	00	0	173
31	10	00	1	167
31	10	00	2	198
31	10	00	3	224
31	10	00	4	177
31	10	00	5	173
31	10	00	6	249
31	10	00	7	223
31	10	00	8	199
31	10	00	9	160
31	10	00	10	162
31	10	00	11	213
31	10	00	12	222
31	10	00	13	220
31	10	00	14	155
31	10	00	15	224
31	10	00	16	200
31	10	00	17	208
31	10	00	18	202
31	10	00	19	219
31	10	00	20	157
31	10	00	21	221
31	10	00	22	192
31	10	00	23	213
31	10	00	24	201
31	10	00	25	180
31	10	00	26	206
31	10	00	27	213
31	10	00	28	181
31	10	00	29	183
31	10	00	30	178
31	10	10	31	199
31	10	00	0	177
31	10	00	1	166
31	10	00	2	195
31	10	00	3	221
31	10	00	4	176
31	10	00	5	170
31	10	00	6	258
31	10	00	7	219
31	10	00	8	200
31	10	00	9	164
31	10	00	10	164
31	10	00	11	215
31	10	00	12	222
