# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 111 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 100 
# FineTHR[1] = 100 
# FineTHR[2] = 100 
# FineTHR[3] = 100 
# FineTHR[4] = 100 
# FineTHR[5] = 100 
# FineTHR[6] = 100 
# FineTHR[7] = 100 
# FineTHR[8] = 100 
# FineTHR[9] = 100 
# FineTHR[10] = 100 
# FineTHR[11] = 100 
# FineTHR[12] = 100 
# FineTHR[13] = 100 
# FineTHR[14] = 100 
# FineTHR[15] = 100 
# FineTHR[16] = 100 
# FineTHR[17] = 100 
# FineTHR[18] = 100 
# FineTHR[19] = 100 
# FineTHR[20] = 100 
# FineTHR[21] = 100 
# FineTHR[22] = 100 
# FineTHR[23] = 100 
# FineTHR[24] = 100 
# FineTHR[25] = 100 
# FineTHR[26] = 100 
# FineTHR[27] = 100 
# FineTHR[28] = 100 
# FineTHR[29] = 100 
# FineTHR[30] = 100 
# FineTHR[31] = 100 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	0	2
200	0	1000	4	3
200	0	1000	84	4
200	0	1000	31	5
200	0	1000	103	6
200	0	1000	60	7
200	0	1000	92	8
200	0	1000	52	9
200	0	1000	44	10
200	0	1000	31	11
200	0	1000	32	12
200	0	1000	5	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	2	17
200	0	1000	0	18
200	0	1000	77	19
200	0	1000	116	20
200	0	1000	62	21
200	0	1000	101	22
200	0	1000	50	23
200	0	1000	95	24
200	0	1000	52	25
200	0	1000	66	26
200	0	1000	14	27
200	0	1000	0	28
200	0	1000	3	29
200	0	1000	3	30
200	0	1000	47	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	0	0
201	0	1000	0	1
201	0	1000	0	2
201	0	1000	8	3
201	0	1000	105	4
201	0	1000	30	5
201	0	1000	127	6
201	0	1000	79	7
201	0	1000	114	8
201	0	1000	63	9
201	0	1000	52	10
201	0	1000	28	11
201	0	1000	30	12
201	0	1000	10	13
201	0	1000	0	14
201	0	1000	0	15
201	0	1000	1	16
201	0	1000	4	17
201	0	1000	0	18
201	0	1000	94	19
201	0	1000	144	20
201	0	1000	73	21
201	0	1000	121	22
201	0	1000	63	23
201	0	1000	114	24
201	0	1000	63	25
201	0	1000	80	26
201	0	1000	13	27
201	0	1000	0	28
201	0	1000	4	29
201	0	1000	6	30
201	0	1000	70	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	0	2
202	0	1000	16	3
202	0	1000	100	4
202	0	1000	35	5
202	0	1000	122	6
202	0	1000	69	7
202	0	1000	101	8
202	0	1000	56	9
202	0	1000	52	10
202	0	1000	32	11
202	0	1000	37	12
202	0	1000	17	13
202	0	1000	0	14
202	0	1000	0	15
202	0	1000	0	16
202	0	1000	2	17
202	0	1000	0	18
202	0	1000	96	19
202	0	1000	146	20
202	0	1000	74	21
202	0	1000	118	22
202	0	1000	56	23
202	0	1000	108	24
202	0	1000	59	25
202	0	1000	80	26
202	0	1000	18	27
202	0	1000	0	28
202	0	1000	3	29
202	0	1000	14	30
202	0	1000	86	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	0	0
203	0	1000	0	1
203	0	1000	0	2
203	0	1000	19	3
203	0	1000	110	4
203	0	1000	44	5
203	0	1000	129	6
203	0	1000	79	7
203	0	1000	110	8
203	0	1000	63	9
203	0	1000	58	10
203	0	1000	42	11
203	0	1000	44	12
203	0	1000	20	13
203	0	1000	0	14
203	0	1000	0	15
203	0	1000	0	16
203	0	1000	7	17
203	0	1000	0	18
203	0	1000	105	19
203	0	1000	152	20
203	0	1000	81	21
203	0	1000	125	22
203	0	1000	64	23
203	0	1000	117	24
203	0	1000	64	25
203	0	1000	84	26
203	0	1000	22	27
203	0	1000	0	28
203	0	1000	10	29
203	0	1000	23	30
203	0	1000	115	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	3	0
204	0	1000	1	1
204	0	1000	3	2
204	0	1000	19	3
204	0	1000	134	4
204	0	1000	46	5
204	0	1000	141	6
204	0	1000	87	7
204	0	1000	125	8
204	0	1000	78	9
204	0	1000	74	10
204	0	1000	47	11
204	0	1000	53	12
204	0	1000	22	13
204	0	1000	2	14
204	0	1000	3	15
204	0	1000	3	16
204	0	1000	9	17
204	0	1000	2	18
204	0	1000	125	19
204	0	1000	174	20
204	0	1000	98	21
204	0	1000	136	22
204	0	1000	74	23
204	0	1000	128	24
204	0	1000	82	25
204	0	1000	104	26
204	0	1000	24	27
204	0	1000	3	28
204	0	1000	12	29
204	0	1000	30	30
204	0	1000	165	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	0	0
205	0	1000	0	1
205	0	1000	0	2
205	0	1000	23	3
205	0	1000	134	4
205	0	1000	38	5
205	0	1000	152	6
205	0	1000	86	7
205	0	1000	124	8
205	0	1000	73	9
205	0	1000	61	10
205	0	1000	39	11
205	0	1000	45	12
205	0	1000	26	13
205	0	1000	0	14
205	0	1000	0	15
205	0	1000	1	16
205	0	1000	12	17
205	0	1000	0	18
205	0	1000	132	19
205	0	1000	203	20
205	0	1000	95	21
205	0	1000	139	22
205	0	1000	62	23
205	0	1000	124	24
205	0	1000	71	25
205	0	1000	105	26
205	0	1000	23	27
205	0	1000	0	28
205	0	1000	16	29
205	0	1000	39	30
205	0	1000	363	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	0	0
206	0	1000	0	1
206	0	1000	0	2
206	0	1000	30	3
206	0	1000	151	4
206	0	1000	61	5
206	0	1000	160	6
206	0	1000	91	7
206	0	1000	132	8
206	0	1000	85	9
206	0	1000	78	10
206	0	1000	64	11
206	0	1000	68	12
206	0	1000	35	13
206	0	1000	0	14
206	0	1000	0	15
206	0	1000	0	16
206	0	1000	18	17
206	0	1000	0	18
206	0	1000	145	19
206	0	1000	264	20
206	0	1000	103	21
206	0	1000	147	22
206	0	1000	83	23
206	0	1000	132	24
206	0	1000	84	25
206	0	1000	111	26
206	0	1000	29	27
206	0	1000	0	28
206	0	1000	24	29
206	0	1000	66	30
206	0	1000	766	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	3	0
207	0	1000	0	1
207	0	1000	0	2
207	0	1000	34	3
