Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.0000	0.2917	  0	0.2917	0.0000
0.4792	0.4792	0.4792	0.4792	0.4583	0.4792	0.4792	0.4792	0.4583	0.4792	0.4583	0.4583	0.4792	0.4583	0.4792	0.4792	0.4583	0.4792	0.4583	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4583	0.4792	0.4792	0.4583	0.4733	0.0095	0.4792	  9	0.4792	0.0000
0.6667	0.6667	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6667	0.6458	0.6458	0.6458	0.6667	0.6667	0.6458	0.6458	0.6667	0.6458	0.6458	0.6667	0.6458	0.6458	0.6667	0.6458	0.6667	0.6530	0.0101	0.6458	 11	0.6458	0.0000
0.8333	0.8333	0.8333	0.8333	0.8542	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8542	0.8333	0.8333	0.8333	0.8125	0.8333	0.8542	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8346	0.0074	0.8333	  4	0.8333	0.0000
1.0000	1.0208	1.0417	1.0000	1.0000	1.0208	1.0208	1.0208	1.0000	1.0417	1.0000	1.0417	1.0417	1.0000	1.0208	1.0208	1.0000	1.0000	1.0000	1.0417	1.0208	1.0000	1.0417	1.0208	1.0417	1.0208	1.0417	1.0417	1.0208	1.0208	1.0208	1.0208	1.0202	0.0163	1.0208	  0	1.0202	0.0163
1.3125	1.3125	1.3125	1.2708	1.2917	1.2708	1.3125	1.2917	1.2500	1.2500	1.2917	1.2917	1.2917	1.2917	1.2500	1.2917	1.2708	1.2917	1.2917	1.2917	1.2917	1.3125	1.2917	1.2917	1.2917	1.2708	1.2917	1.2708	1.3125	1.3125	1.2708	1.2917	1.2884	0.0184	1.2917	  0	1.2884	0.0184
1.5833	1.5833	1.5625	1.5417	1.5417	1.5417	1.5833	1.5833	1.5417	1.5833	1.5625	1.6042	1.5625	1.5625	1.5625	1.5625	1.5417	1.5417	1.5625	1.5417	1.5625	1.6042	1.6042	1.5625	1.6042	1.6042	1.5833	1.6042	1.5417	1.5625	1.6042	1.5625	1.5703	0.0229	1.5625	  0	1.5703	0.0229
1.7917	1.8125	1.8125	1.8125	1.8333	1.7917	1.8333	1.8125	1.8333	1.8333	1.8333	1.8333	1.8333	1.8333	1.8542	1.8542	1.7917	1.8125	1.7917	1.8125	1.8125	1.8750	1.8125	1.7917	1.8542	1.8333	1.8333	1.8542	1.8542	1.8333	1.7917	1.8750	1.8262	0.0240	1.8333	  0	1.8262	0.0240
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.0000	0.2917	  0	0.2917	0.0000
0.4792	0.4792	0.4792	0.4792	0.4583	0.4792	0.4792	0.4792	0.4583	0.4792	0.4792	0.4583	0.4792	0.4583	0.4583	0.4583	0.4583	0.4792	0.4583	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4792	0.4583	0.4792	0.4792	0.4583	0.4727	0.0098	0.4792	 10	0.4792	0.0000
0.6667	0.6667	0.6458	0.6458	0.6458	0.6458	0.6667	0.6667	0.6458	0.6458	0.6458	0.6458	0.6667	0.6667	0.6250	0.6667	0.6458	0.6667	0.6458	0.6667	0.6667	0.6458	0.6458	0.6667	0.6458	0.6458	0.6667	0.6458	0.6667	0.6667	0.6458	0.6458	0.6543	0.0117	0.6458	 15	0.6458	0.0000
0.8333	0.8333	0.8333	0.8333	0.8542	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8542	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8346	0.0051	0.8333	  2	0.8333	0.0000
1.0000	1.0208	1.0417	1.0000	1.0000	1.0208	1.0208	1.0208	1.0000	1.0417	1.0000	1.0417	1.0417	1.0000	1.0000	1.0208	1.0000	1.0000	1.0000	1.0208	1.0208	1.0000	1.0417	1.0208	1.0417	1.0208	1.0417	1.0417	1.0000	1.0208	1.0208	1.0000	1.0176	0.0168	1.0208	  0	1.0176	0.0168
1.3125	1.3125	1.3125	1.2708	1.2917	1.2708	1.3125	1.2917	1.2500	1.3125	1.2917	1.2917	1.2917	1.2917	1.2500	1.2917	1.2708	1.2708	1.2917	1.2917	1.2917	1.3125	1.2917	1.2917	1.2917	1.2708	1.2917	1.2708	1.3125	1.3125	1.2708	1.2917	1.2897	0.0178	1.2917	  0	1.2897	0.0178
