ch	pt	m	q
 0	 0	3.0095	-415.4415
 0	 1	2.9829	-410.7546
 0	 2	2.8744	-389.2234
 0	 3	2.8919	-393.7848
 0	 4	2.8445	-384.2494
 0	 5	2.8315	-382.4050
 0	 6	2.9413	-403.1455
 0	 7	2.9877	-411.0963
 1	 0	3.0246	-292.7094
 1	 1	3.0037	-288.6546
 1	 2	2.8244	-261.4866
 1	 3	2.8687	-269.4372
 1	 4	2.8359	-264.2546
 1	 5	2.7794	-255.9538
 1	 6	2.9245	-277.8856
 1	 7	2.9597	-282.5249
 2	 0	2.2535	-136.1500
 2	 1	2.1919	-127.9413
 2	 2	2.1172	-117.2554
 2	 3	2.1279	-119.8459
 2	 4	2.1060	-116.5839
 2	 5	2.0839	-113.9827
 2	 6	2.1496	-122.3370
 2	 7	2.1810	-125.8131
 3	 0	1.5396	-70.5307
 3	 1	1.5207	-67.8367
 3	 2	1.4785	-61.0867
 3	 3	1.4701	-60.6466
 3	 4	1.4503	-57.4349
 3	 5	1.4537	-57.8456
 3	 6	1.4869	-62.9667
 3	 7	1.5059	-65.4276
 4	 0	1.0076	-18.4125
 4	 1	0.9806	-13.5253
 4	 2	0.9803	-12.7296
 4	 3	0.9583	-9.9490
 4	 4	0.9480	-7.5984
 4	 5	0.9606	-10.1293
 4	 6	0.9520	-8.7491
 4	 7	0.9599	-9.8415
 5	 0	0.8686	52.1192
 5	 1	0.8913	49.2822
 5	 2	0.9358	43.7309
 5	 3	0.8891	49.2372
 5	 4	0.8795	50.3142
 5	 5	0.9287	44.3631
 5	 6	0.8932	48.5810
 5	 7	0.9045	47.4767
 6	 0	0.6637	62.3709
 6	 1	0.6814	59.4859
 6	 2	0.7343	52.1422
 6	 3	0.6865	58.9604
 6	 4	0.6901	58.2796
 6	 5	0.7329	52.2227
 6	 6	0.6938	57.5527
 6	 7	0.6942	57.7289
 7	 0	0.5311	83.5614
 7	 1	0.5574	79.5552
 7	 2	0.6206	70.4305
 7	 3	0.5627	78.9834
 7	 4	0.5776	76.7310
 7	 5	0.6172	71.4514
 7	 6	0.5742	77.2436
 7	 7	0.5637	78.5854
 8	 0	0.5541	87.3781
 8	 1	0.5844	83.2615
 8	 2	0.6562	74.0525
 8	 3	0.6137	79.5786
 8	 4	0.6236	78.7948
 8	 5	0.6713	72.8754
 8	 6	0.6191	79.4113
 8	 7	0.6082	80.6725
 9	 0	0.6319	57.7179
 9	 1	0.6332	57.4546
 9	 2	0.6803	50.1824
 9	 3	0.6389	56.6583
 9	 4	0.6425	55.8842
 9	 5	0.6800	50.2826
 9	 6	0.6469	55.1197
 9	 7	0.6474	55.0618
10	 0	0.8602	25.2899
10	 1	0.8367	28.9906
10	 2	0.8475	27.6422
10	 3	0.8240	30.5600
10	 4	0.8231	30.8690
10	 5	0.8481	27.2377
10	 6	0.8385	28.4951
10	 7	0.8443	27.9343
11	 0	0.9690	28.4160
11	 1	0.9679	29.1101
11	 2	0.9964	25.0450
11	 3	0.9638	29.7561
11	 4	0.9596	29.9512
11	 5	0.9959	25.6053
11	 6	0.9775	27.8024
11	 7	0.9961	25.3075
12	 0	1.1296	12.9012
12	 1	1.1175	14.2986
12	 2	1.1269	13.4727
12	 3	1.1055	16.1547
12	 4	1.1012	16.6153
12	 5	1.1316	12.9406
12	 6	1.1315	12.6710
12	 7	1.1610	9.2811
13	 0	1.4639	-49.5344
13	 1	1.4327	-45.1407
13	 2	1.4152	-42.3754
13	 3	1.4131	-42.5624
13	 4	1.4071	-41.4884
13	 5	1.4294	-44.4640
13	 6	1.4692	-50.2398
13	 7	1.5040	-55.2429
14	 0	2.1210	-155.7967
14	 1	1.9797	-134.4846
14	 2	1.8684	-117.4484
14	 3	1.9331	-127.8035
14	 4	1.9124	-124.6090
14	 5	1.9217	-126.2035
14	 6	2.0114	-138.6939
14	 7	2.0220	-140.3080
15	 0	2.1068	-163.4365
15	 1	1.9562	-140.2628
15	 2	1.8426	-122.1083
15	 3	1.9084	-133.2218
15	 4	1.8833	-129.0793
15	 5	1.8976	-131.3167
15	 6	1.9830	-144.1169
15	 7	2.0035	-146.6806
16	 0	2.2461	-262.7478
16	 1	2.1350	-241.4053
16	 2	1.9182	-199.6184
16	 3	2.0590	-227.1716
16	 4	2.0547	-225.7988
16	 5	1.9022	-198.1766
16	 6	2.0764	-230.3452
16	 7	2.1217	-238.4964
17	 0	1.8255	-165.7157
17	 1	1.7306	-148.8443
17	 2	1.5220	-110.8126
17	 3	1.6667	-137.5669
17	 4	1.6544	-134.7750
17	 5	1.5282	-112.8987
17	 6	1.6616	-136.3919
17	 7	1.7072	-144.5349
18	 0	1.2192	-61.1217
18	 1	1.1773	-52.9771
18	 2	1.0545	-30.4955
18	 3	1.1489	-48.3080
18	 4	1.1417	-46.5515
18	 5	1.0491	-30.1415
18	 6	1.1348	-45.5396
18	 7	1.1540	-48.8271
19	 0	1.0004	22.5545
19	 1	0.9836	24.9321
19	 2	0.9307	31.9954
19	 3	0.9754	25.9933
19	 4	0.9693	26.9277
19	 5	0.9342	31.5497
19	 6	0.9673	26.9246
19	 7	0.9954	23.2256
20	 0	0.8193	25.1213
20	 1	0.7960	29.1383
20	 2	0.7463	37.1057
20	 3	0.7866	30.2007
20	 4	0.7849	30.7882
20	 5	0.7460	37.0217
20	 6	0.7796	31.4500
20	 7	0.7935	29.3189
21	 0	0.7745	56.2461
21	 1	0.7802	55.0851
21	 2	0.7467	58.9910
21	 3	0.7756	55.9177
21	 4	0.7802	55.0564
21	 5	0.7570	57.9222
21	 6	0.7775	55.4176
21	 7	0.7859	54.2054
22	 0	0.5389	61.7092
22	 1	0.5368	62.0349
22	 2	0.5233	64.2605
22	 3	0.5422	61.3070
