INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	3.505	3.451	3.303	3.265
15	 0	2.658	2.642	2.215	2.203
15	 1	2.902	2.893	2.469	2.456
15	 2	2.831	2.817	2.533	2.523
15	 3	3.096	3.073	2.777	2.758
15	 4	3.278	3.245	2.964	2.972
15	 5	3.401	3.381	3.175	3.143
15	 6	3.717	3.691	3.570	3.557
15	 7	3.996	3.996	3.790	3.797
16	 0	2.645	2.625	2.166	2.150
16	 1	2.657	2.563	2.277	2.194
16	 2	2.514	2.415	2.227	2.141
16	 3	2.592	2.518	2.360	2.301
16	 4	2.614	2.584	2.409	2.380
16	 5	2.635	2.574	2.509	2.447
16	 6	2.737	2.702	2.661	2.638
16	 7	2.794	2.763	2.724	2.690
17	 0	2.704	2.640	2.169	2.112
17	 1	2.496	2.463	2.175	2.137
17	 2	2.397	2.293	2.175	2.081
17	 3	2.345	2.275	2.163	2.103
17	 4	2.396	2.337	2.210	2.151
17	 5	2.350	2.270	2.171	2.100
17	 6	2.557	2.449	2.379	2.284
17	 7	2.668	2.609	2.523	2.463
18	 0	2.692	2.653	2.226	2.191
18	 1	2.644	2.558	2.278	2.210
18	 2	2.576	2.540	2.292	2.261
18	 3	2.487	2.413	2.248	2.187
18	 4	2.590	2.539	2.328	2.288
18	 5	2.606	2.522	2.409	2.336
18	 6	2.728	2.663	2.529	2.471
18	 7	2.860	2.848	2.660	2.650
19	 0	2.480	2.457	1.996	1.974
19	 1	2.562	2.563	2.232	2.234
19	 2	2.478	2.465	2.215	2.209
19	 3	2.442	2.425	2.276	2.261
19	 4	2.632	2.579	2.419	2.376
19	 5	2.517	2.510	2.399	2.387
19	 6	2.672	2.666	2.539	2.523
19	 7	2.679	2.652	2.575	2.553
20	 0	2.523	2.500	2.059	2.026
20	 1	2.668	2.673	2.295	2.296
20	 2	2.492	2.429	2.249	2.189
20	 3	2.547	2.431	2.318	2.209
20	 4	2.578	2.537	2.390	2.352
20	 5	2.639	2.582	2.479	2.422
20	 6	2.723	2.677	2.608	2.567
20	 7	2.882	2.799	2.731	2.658
21	 0	2.299	2.268	1.906	1.884
21	 1	2.302	2.237	2.028	1.974
21	 2	2.227	2.206	2.021	1.994
21	 3	2.172	2.159	2.064	2.052
21	 4	2.417	2.395	2.290	2.270
21	 5	2.388	2.325	2.323	2.256
21	 6	2.581	2.538	2.533	2.488
21	 7	2.541	2.504	2.505	2.471
22	 0	2.784	2.729	2.247	2.207
22	 1	2.748	2.693	2.358	2.330
22	 2	2.674	2.586	2.394	2.325
22	 3	2.708	2.624	2.438	2.361
22	 4	2.835	2.841	2.551	2.550
22	 5	2.773	2.754	2.597	2.577
22	 6	2.989	2.949	2.791	2.761
22	 7	3.001	2.791	2.796	2.615
23	 0	3.418	3.251	2.702	2.589
23	 1	3.141	2.989	2.609	2.493
23	 2	2.947	2.875	2.557	2.490
23	 3	2.875	2.799	2.542	2.485
23	 4	3.010	2.950	2.668	2.606
23	 5	2.947	2.856	2.694	2.620
23	 6	3.041	3.013	2.823	2.788
23	 7	3.140	3.086	2.937	2.897
24	 0	2.862	2.861	2.256	2.257
24	 1	2.969	2.942	2.468	2.452
24	 2	2.699	2.693	2.404	2.403
24	 3	2.779	2.783	2.497	2.497
24	 4	2.822	2.815	2.491	2.492
24	 5	2.771	2.765	2.533	2.534
24	 6	2.926	2.909	2.688	2.668
24	 7	3.067	3.047	2.794	2.787
25	 0	2.808	2.664	2.308	2.193
25	 1	2.765	2.648	2.390	2.289
25	 2	2.672	2.595	2.419	2.364
25	 3	2.684	2.591	2.477	2.396
25	 4	2.777	2.677	2.534	2.444
25	 5	2.895	2.875	2.710	2.693
25	 6	2.997	2.881	2.814	2.712
25	 7	3.088	2.994	2.925	2.836
26	 0	2.601	2.545	2.097	2.050
26	 1	2.557	2.544	2.166	2.159
26	 2	2.385	2.339	2.125	2.083
26	 3	2.576	2.572	2.342	2.339
26	 4	2.578	2.563	2.350	2.344
26	 5	2.497	2.455	2.358	2.316
26	 6	2.662	2.669	2.532	2.531
26	 7	2.862	2.862	2.744	2.745
27	 0	2.651	2.631	2.106	2.101
27	 1	2.688	2.676	2.294	2.295
27	 2	2.600	2.603	2.305	2.312
27	 3	2.449	2.409	2.238	2.209
27	 4	2.566	2.533	2.328	2.295
27	 5	2.536	2.533	2.341	2.339
27	 6	2.537	2.534	2.342	2.344
27	 7	2.724	2.710	2.528	2.518
28	 0	2.589	2.517	2.094	2.039
28	 1	2.601	2.500	2.221	2.131
28	 2	2.472	2.338	2.209	2.090
28	 3	2.352	2.292	2.170	2.119
28	 4	2.627	2.598	2.424	2.402
28	 5	2.474	2.432	2.263	2.220
28	 6	2.580	2.539	2.406	2.361
28	 7	2.702	2.654	2.508	2.471
29	 0	2.848	2.728	2.287	2.196
29	 1	2.607	2.535	2.222	2.163
29	 2	2.510	2.449	2.213	2.167
29	 3	2.477	2.466	2.241	2.233
29	 4	2.626	2.539	2.373	2.293
29	 5	2.511	2.443	2.304	2.245
29	 6	2.656	2.556	2.485	2.391
29	 7	2.800	2.694	2.655	2.553
30	 0	2.548	2.541	2.092	2.077
30	 1	2.459	2.367	2.127	2.042
30	 2	2.416	2.359	2.200	2.149
30	 3	2.490	2.437	2.265	2.218
30	 4	2.530	2.478	2.306	2.265
30	 5	2.508	2.406	2.331	2.237
30	 6	2.561	2.486	2.383	2.315
30	 7	2.645	2.565	2.475	2.406
31	 0	2.352	2.289	1.959	1.899
31	 1	2.249	2.197	1.947	1.906
31	 2	2.304	2.307	2.088	2.089
31	 3	2.288	2.243	2.115	2.079
31	 4	2.387	2.375	2.216	2.198
31	 5	2.486	2.445	2.332	2.297
31	 6	2.494	2.482	2.377	2.367
31	 7	2.692	2.593	2.538	2.447
