ch	pt	fine_thr	a_fit	b_fit
 2	 4	 3	222.558	0.411
 2	 4	 4	221.689	0.467
 2	 4	 5	220.454	0.400
 2	 4	 6	219.470	0.403
 2	 4	 7	218.453	0.443
 2	 5	 0	225.791	0.315
 2	 5	 1	224.625	0.322
 2	 5	 2	223.695	0.457
 2	 5	 3	222.535	0.442
 2	 5	 4	221.669	0.410
 2	 5	 5	220.496	0.404
 2	 5	 6	219.522	0.388
 2	 5	 7	218.468	0.415
 2	 6	 0	225.829	0.330
 2	 6	 1	224.736	0.330
 2	 6	 2	223.775	0.441
 2	 6	 3	222.623	0.440
 2	 6	 4	221.747	0.461
 2	 6	 5	220.539	0.447
 2	 6	 6	219.563	0.444
 2	 6	 7	218.526	0.469
 2	 7	 0	225.854	0.322
 2	 7	 1	224.780	0.340
 2	 7	 2	223.791	0.469
 2	 7	 3	222.600	0.448
 2	 7	 4	221.783	0.470
 2	 7	 5	220.645	0.442
 2	 7	 6	219.612	0.450
 2	 7	 7	218.533	0.427
 3	 0	 0	224.181	0.462
 3	 0	 1	223.047	0.417
 3	 0	 2	222.069	0.472
 3	 0	 3	220.931	0.594
 3	 0	 4	219.898	0.591
 3	 0	 5	218.812	0.579
 3	 0	 6	217.876	0.625
 3	 0	 7	216.699	0.554
 3	 1	 0	224.143	0.389
 3	 1	 1	223.031	0.391
 3	 1	 2	221.981	0.655
 3	 1	 3	220.893	0.584
 3	 1	 4	219.963	0.605
 3	 1	 5	218.767	0.558
 3	 1	 6	217.868	0.605
 3	 1	 7	216.816	0.623
 3	 2	 0	224.038	0.383
 3	 2	 1	223.007	0.349
 3	 2	 2	222.044	0.670
 3	 2	 3	220.914	0.663
 3	 2	 4	219.937	0.664
 3	 2	 5	218.795	0.665
 3	 2	 6	217.880	0.602
 3	 2	 7	216.785	0.608
 3	 3	 0	224.052	0.339
 3	 3	 1	223.023	0.350
 3	 3	 2	222.029	0.695
 3	 3	 3	220.796	0.666
 3	 3	 4	219.995	0.666
 3	 3	 5	218.738	0.637
 3	 3	 6	217.837	0.639
 3	 3	 7	216.766	0.618
 3	 4	 0	224.122	0.349
 3	 4	 1	223.030	0.320
 3	 4	 2	222.008	0.719
 3	 4	 3	220.813	0.623
 3	 4	 4	219.944	0.665
 3	 4	 5	218.848	0.617
 3	 4	 6	217.886	0.659
 3	 4	 7	216.756	0.668
 3	 5	 0	224.067	0.304
 3	 5	 1	223.056	0.304
 3	 5	 2	221.919	0.681
 3	 5	 3	220.792	0.674
 3	 5	 4	219.909	0.706
 3	 5	 5	218.774	0.655
 3	 5	 6	217.825	0.632
 3	 5	 7	216.814	0.650
 3	 6	 0	224.099	0.316
 3	 6	 1	222.897	0.311
 3	 6	 2	221.903	0.724
 3	 6	 3	220.900	0.666
 3	 6	 4	219.915	0.656
 3	 6	 5	218.813	0.649
 3	 6	 6	217.857	0.677
 3	 6	 7	216.732	0.657
 3	 7	 0	224.099	0.248
 3	 7	 1	222.923	0.299
 3	 7	 2	222.034	0.661
 3	 7	 3	220.812	0.668
 3	 7	 4	219.919	0.654
 3	 7	 5	218.713	0.590
 3	 7	 6	217.799	0.623
 3	 7	 7	216.807	0.655
 4	 0	 0	227.757	0.365
 4	 0	 1	226.589	0.381
 4	 0	 2	225.630	0.374
 4	 0	 3	224.482	0.558
 4	 0	 4	223.484	0.554
 4	 0	 5	222.353	0.575
 4	 0	 6	221.356	0.594
 4	 0	 7	220.239	0.626
 4	 1	 0	227.737	0.326
 4	 1	 1	226.610	0.349
 4	 1	 2	225.593	0.555
 4	 1	 3	224.469	0.568
 4	 1	 4	223.477	0.572
 4	 1	 5	222.382	0.603
 4	 1	 6	221.390	0.585
 4	 1	 7	220.255	0.647
 4	 2	 0	227.722	0.329
 4	 2	 1	226.579	0.333
 4	 2	 2	225.582	0.637
 4	 2	 3	224.453	0.658
 4	 2	 4	223.459	0.596
 4	 2	 5	222.366	0.598
 4	 2	 6	221.322	0.635
 4	 2	 7	220.208	0.679
 4	 3	 0	227.735	0.316
 4	 3	 1	226.541	0.313
 4	 3	 2	225.575	0.667
 4	 3	 3	224.486	0.645
 4	 3	 4	223.488	0.632
 4	 3	 5	222.368	0.637
 4	 3	 6	221.362	0.727
 4	 3	 7	220.212	0.727
 4	 4	 0	227.728	0.308
 4	 4	 1	226.529	0.331
 4	 4	 2	225.590	0.687
 4	 4	 3	224.489	0.694
 4	 4	 4	223.446	0.632
 4	 4	 5	222.351	0.669
 4	 4	 6	221.348	0.683
 4	 4	 7	220.147	0.774
 4	 5	 0	227.779	0.303
 4	 5	 1	226.528	0.315
 4	 5	 2	225.569	0.672
 4	 5	 3	224.453	0.690
 4	 5	 4	223.455	0.700
 4	 5	 5	222.357	0.715
 4	 5	 6	221.382	0.655
 4	 5	 7	220.144	0.754
 4	 6	 0	227.713	0.347
 4	 6	 1	226.566	0.382
 4	 6	 2	225.511	0.699
 4	 6	 3	224.417	0.742
 4	 6	 4	223.446	0.735
 4	 6	 5	222.269	0.764
 4	 6	 6	221.369	0.707
 4	 6	 7	220.218	0.827
 4	 7	 0	227.726	0.331
 4	 7	 1	226.505	0.330
 4	 7	 2	225.564	0.665
 4	 7	 3	224.450	0.676
 4	 7	 4	223.459	0.679
 4	 7	 5	222.303	0.693
 4	 7	 6	221.351	0.709
 4	 7	 7	220.167	0.733
 5	 0	 0	225.703	0.466
 5	 0	 1	224.634	0.412
 5	 0	 2	223.567	0.423
 5	 0	 3	222.425	0.694
 5	 0	 4	221.497	0.677
 5	 0	 5	220.334	0.658
 5	 0	 6	219.350	0.583
 5	 0	 7	218.282	0.517
 5	 1	 0	225.707	0.379
 5	 1	 1	224.536	0.380
 5	 1	 2	223.495	0.676
 5	 1	 3	222.370	0.532
 5	 1	 4	221.414	0.623
 5	 1	 5	220.378	0.591
 5	 1	 6	219.277	0.510
 5	 1	 7	218.224	0.629
 5	 2	 0	225.711	0.324
 5	 2	 1	224.563	0.338
 5	 2	 2	223.522	0.685
 5	 2	 3	222.379	0.562
 5	 2	 4	221.442	0.641
 5	 2	 5	220.284	0.578
 5	 2	 6	219.267	0.547
 5	 2	 7	218.212	0.648
 5	 3	 0	225.694	0.299
 5	 3	 1	224.571	0.341
 5	 3	 2	223.472	0.720
 5	 3	 3	222.330	0.573
 5	 3	 4	221.407	0.688
 5	 3	 5	220.283	0.639
 5	 3	 6	219.309	0.527
 5	 3	 7	218.261	0.647
 5	 4	 0	225.740	0.323
 5	 4	 1	224.573	0.340
 5	 4	 2	223.487	0.886
 5	 4	 3	222.356	0.722
 5	 4	 4	221.396	0.781
 5	 4	 5	220.279	0.548
 5	 4	 6	219.239	0.502
 5	 4	 7	218.127	0.827
 5	 5	 0	225.655	0.302
 5	 5	 1	224.535	0.312
 5	 5	 2	223.448	0.733
 5	 5	 3	222.343	0.690
 5	 5	 4	221.465	0.687
 5	 5	 5	220.243	0.656
 5	 5	 6	219.219	0.482
 5	 5	 7	218.142	0.763
 5	 6	 0	225.678	0.346
 5	 6	 1	224.603	0.325
 5	 6	 2	223.480	0.677
 5	 6	 3	222.383	0.696
 5	 6	 4	221.427	0.724
 5	 6	 5	220.321	0.635
 5	 6	 6	219.263	0.636
 5	 6	 7	218.240	0.693
 5	 7	 0	225.745	0.309
 5	 7	 1	224.644	0.331
 5	 7	 2	223.493	0.803
