# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
60	10	00	0	184
60	10	00	1	191
60	10	00	2	202
60	10	00	3	185
60	10	00	4	194
60	10	00	5	197
60	10	00	6	194
60	10	00	7	190
60	10	00	8	169
60	10	00	9	173
60	10	00	10	177
60	10	00	11	176
60	10	00	12	204
60	10	00	13	200
60	10	00	14	207
60	10	00	15	205
60	10	00	16	165
60	10	00	17	165
60	10	00	18	157
60	10	00	19	190
60	10	00	20	164
60	10	00	21	196
60	10	00	22	172
60	10	00	23	186
60	10	00	24	190
60	10	00	25	214
60	10	00	26	183
60	10	00	27	197
60	10	00	28	174
60	10	00	29	168
60	10	00	30	158
60	10	10	31	189
60	10	00	0	185
60	10	00	1	193
60	10	00	2	202
60	10	00	3	187
60	10	00	4	202
60	10	00	5	204
60	10	00	6	204
60	10	00	7	206
60	10	00	8	185
60	10	00	9	183
60	10	00	10	184
60	10	00	11	180
60	10	00	12	205
60	10	00	13	201
60	10	00	14	206
60	10	00	15	203
60	10	00	16	161
60	10	00	17	160
60	10	00	18	155
60	10	00	19	189
60	10	00	20	165
60	10	00	21	202
60	10	00	22	177
60	10	00	23	198
60	10	00	24	201
60	10	00	25	221
60	10	00	26	186
60	10	00	27	199
60	10	00	28	175
60	10	00	29	168
60	10	00	30	156
60	10	10	31	183
60	10	00	0	188
60	10	00	1	191
60	10	00	2	201
60	10	00	3	186
60	10	00	4	193
60	10	00	5	191
60	10	00	6	184
60	10	00	7	175
60	10	00	8	149
60	10	00	9	164
60	10	00	10	169
60	10	00	11	169
60	10	00	12	196
60	10	00	13	195
60	10	00	14	202
60	10	00	15	200
60	10	00	16	177
60	10	00	17	172
60	10	00	18	168
60	10	00	19	197
60	10	00	20	170
