ch	pt	m	q
 0	 0	2.2072	-256.4558
 0	 1	2.2586	-265.8665
 0	 2	2.7255	-353.4969
 0	 3	2.6448	-338.7451
 0	 4	2.6137	-332.5854
 0	 5	2.7225	-352.4659
 0	 6	2.4237	-297.0687
 0	 7	2.4580	-303.2571
 1	 0	2.0047	-126.8045
 1	 1	2.1459	-147.1754
 1	 2	2.5180	-199.8548
 1	 3	2.4417	-189.2970
 1	 4	2.4910	-196.0257
 1	 5	2.4439	-188.8864
 1	 6	2.3630	-177.4331
 1	 7	2.2392	-160.3976
 2	 0	1.6260	-117.2888
 2	 1	1.7554	-139.2509
 2	 2	1.8664	-158.2802
 2	 3	2.0011	-180.6212
 2	 4	1.9839	-178.2379
 2	 5	1.9587	-173.3156
 2	 6	1.9588	-173.4687
 2	 7	1.8692	-158.3592
 3	 0	1.2816	-53.8628
 3	 1	1.3045	-57.5041
 3	 2	1.3399	-63.5585
 3	 3	1.4540	-82.0286
 3	 4	1.4410	-80.0102
 3	 5	1.4891	-87.6497
 3	 6	1.5279	-94.0201
 3	 7	1.5228	-93.4156
 4	 0	0.8874	30.0377
 4	 1	0.9321	23.6005
 4	 2	0.8943	29.0484
 4	 3	1.0256	10.4592
 4	 4	1.0383	8.6506
 4	 5	1.0523	6.9008
 4	 6	1.0965	0.3012
 4	 7	1.0874	1.6987
 5	 0	0.7826	81.8546
 5	 1	0.8301	77.4496
 5	 2	0.7854	81.4207
 5	 3	0.9064	70.1095
 5	 4	0.9262	68.2479
 5	 5	0.9501	66.0103
 5	 6	0.9811	63.1844
 5	 7	0.9903	62.2553
 6	 0	0.5045	77.8110
 6	 1	0.5063	77.4803
 6	 2	0.4705	83.1700
 6	 3	0.5513	70.7638
 6	 4	0.5542	70.2801
 6	 5	0.5708	67.5934
 6	 6	0.6011	62.8512
 6	 7	0.6144	60.6962
 7	 0	0.3899	81.4835
 7	 1	0.3911	81.1432
 7	 2	0.3528	88.6923
 7	 3	0.4215	75.6282
 7	 4	0.4207	75.7099
 7	 5	0.4363	72.6122
 7	 6	0.4573	68.6184
 7	 7	0.4757	65.1169
 8	 0	0.3356	104.2192
 8	 1	0.3212	106.4862
 8	 2	0.3010	109.5936
 8	 3	0.3280	105.4642
 8	 4	0.3323	104.6939
 8	 5	0.3423	103.0142
 8	 6	0.3625	99.9335
 8	 7	0.3721	98.4453
 9	 0	0.4411	101.1342
 9	 1	0.4367	101.7357
 9	 2	0.4118	104.7404
 9	 3	0.4491	100.2468
 9	 4	0.4545	99.4386
 9	 5	0.4693	97.5064
 9	 6	0.4953	94.1707
 9	 7	0.5076	92.7280
10	 0	0.5735	60.4511
10	 1	0.5702	60.9698
10	 2	0.5240	68.8142
10	 3	0.5709	60.9240
10	 4	0.5704	60.9421
10	 5	0.5887	57.8191
10	 6	0.6248	51.6795
10	 7	0.6334	50.3964
11	 0	0.6480	69.7046
11	 1	0.6711	66.5433
11	 2	0.6346	71.3432
11	 3	0.6781	65.4163
11	 4	0.6906	63.7490
11	 5	0.7091	61.2287
11	 6	0.7459	56.3342
11	 7	0.7646	53.7280
12	 0	0.7858	23.3266
12	 1	0.7948	21.6949
12	 2	0.7547	28.5022
12	 3	0.7911	22.4083
12	 4	0.7941	21.8613
12	 5	0.8218	17.0971
12	 6	0.8612	10.4405
12	 7	0.8766	7.8345
13	 0	1.0873	-0.3260
13	 1	1.1310	-6.4912
13	 2	1.0708	2.2061
13	 3	1.1244	-5.6123
13	 4	1.1319	-6.6900
13	 5	1.1480	-9.0621
13	 6	1.1841	-14.5965
13	 7	1.1840	-14.4779
14	 0	1.3414	-55.7047
14	 1	1.3802	-61.7374
14	 2	1.3879	-62.8422
14	 3	1.3697	-60.2920
14	 4	1.3920	-63.7855
14	 5	1.3919	-64.0089
14	 6	1.4255	-69.5867
14	 7	1.3318	-54.5310
15	 0	1.4512	-49.6771
15	 1	1.5457	-63.1869
15	 2	1.5510	-63.7914
15	 3	1.5180	-59.4542
15	 4	1.5384	-62.3726
15	 5	1.5319	-61.5901
15	 6	1.5543	-64.8888
15	 7	1.4913	-56.1267
16	 0	1.8287	-156.3670
16	 1	1.9199	-171.9526
16	 2	2.4608	-264.1504
16	 3	2.0906	-201.1187
16	 4	2.0635	-196.3058
16	 5	2.0758	-198.4105
16	 6	1.9682	-179.4324
16	 7	1.8654	-162.2636
17	 0	1.9778	-109.1106
17	 1	2.0461	-118.4203
17	 2	2.4304	-169.7964
17	 3	2.0308	-116.3614
17	 4	2.0305	-116.2442
17	 5	2.0225	-115.1887
17	 6	1.9212	-101.6670
17	 7	1.8928	-97.9561
18	 0	1.5770	-139.7397
18	 1	1.5420	-133.2487
18	 2	1.8484	-190.4261
18	 3	1.5621	-136.9244
18	 4	1.5479	-133.9168
18	 5	1.5188	-128.5804
18	 6	1.4343	-112.5165
18	 7	1.4117	-108.3875
19	 0	1.2232	-69.1238
19	 1	1.1644	-58.2682
19	 2	1.4017	-102.0202
19	 3	1.1936	-63.4273
19	 4	1.1762	-60.1771
19	 5	1.1450	-54.5419
19	 6	1.0884	-44.1236
19	 7	1.0610	-39.1916
20	 0	1.1473	0.2893
20	 1	1.1079	5.6022
20	 2	1.2981	-20.1692
20	 3	1.0879	8.3926
20	 4	1.0787	9.6718
20	 5	1.0578	12.5371
20	 6	0.9841	22.6590
20	 7	0.9578	26.1829
21	 0	1.0251	-7.8820
21	 1	0.9998	-3.9001
21	 2	1.1773	-32.0924
21	 3	0.9632	1.9906
21	 4	0.9630	2.0672
21	 5	0.9152	9.7684
21	 6	0.8709	16.8813
21	 7	0.8337	22.9337
22	 0	0.8854	36.7483
22	 1	0.8294	44.2375
22	 2	0.9804	23.9528
22	 3	0.7916	49.3876
22	 4	0.7732	51.7771
22	 5	0.7435	55.8495
22	 6	0.6965	62.2331
22	 7	0.6730	65.4789
23	 0	0.7096	45.8560
23	 1	0.6539	54.4908
23	 2	0.7733	35.9721
23	 3	0.6139	60.7864
23	 4	0.6060	62.0148
23	 5	0.5738	67.0864
23	 6	0.5290	74.0108
23	 7	0.5041	77.8984
24	 0	0.6991	58.8240
24	 1	0.6442	66.5376
24	 2	0.8050	44.1439
24	 3	0.6278	68.7254
24	 4	0.6086	71.3769
24	 5	0.5861	74.5175
24	 6	0.5378	81.2410
24	 7	0.4984	86.9576
25	 0	0.9070	-1.4087
25	 1	0.8538	7.8179
25	 2	1.0517	-26.4199
25	 3	0.8406	10.0255
25	 4	0.8163	14.3019
25	 5	0.7899	19.0956
25	 6	0.7200	31.2233
25	 7	0.6870	37.0240
26	 0	1.1288	-28.9962
26	 1	1.0739	-19.9884
26	 2	1.3410	-63.8215
26	 3	1.1065	-25.4014
26	 4	1.0825	-21.4145
26	 5	1.0461	-15.6295
26	 6	0.9688	-2.6733
26	 7	0.9340	2.9100
27	 0	1.2475	-44.5392
27	 1	1.2088	-38.2756
27	 2	1.4897	-83.6500
27	 3	1.2716	-48.5111
27	 4	1.2429	-43.7336
27	 5	1.2202	-40.2238
27	 6	1.1541	-29.5254
27	 7	1.1068	-21.8120
28	 0	1.5768	-98.1117
28	 1	1.5919	-100.3949
28	 2	1.9974	-166.2107
28	 3	1.6854	-115.7202
28	 4	1.6666	-112.7838
28	 5	1.6590	-111.3570
28	 6	1.5462	-93.4739
28	 7	1.4630	-79.9561
29	 0	1.9617	-203.7117
29	 1	1.9291	-197.6653
29	 2	2.5599	-313.4051
29	 3	2.2086	-249.0431
29	 4	2.2398	-254.4901
29	 5	2.1365	-235.2389
29	 6	1.9766	-206.4363
29	 7	1.9005	-192.0159
30	 0	2.3034	-190.6143
30	 1	2.3913	-204.3538
30	 2	3.2976	-341.4466
30	 3	2.6895	-249.6940
30	 4	2.6870	-249.0598
30	 5	2.6874	-249.0322
30	 6	2.4571	-213.8874
30	 7	2.2697	-185.8854
31	 0	2.0718	-182.5598
31	 1	2.2558	-213.1302
31	 2	3.0123	-337.4574
31	 3	2.5763	-266.2620
31	 4	2.5475	-260.8447
31	 5	2.4625	-247.1253
31	 6	2.3394	-227.0541
31	 7	2.2932	-219.0181
