GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.298	139.810	0.9999	0.298	1.305	139.336	0.9999	0.273	1.447	135.873	0.9999	1.511	1.449	135.775	0.9999	1.507
 0	 1	1.145	139.000	0.9998	0.343	1.144	139.065	0.9998	0.350	1.219	137.407	0.9994	1.427	1.217	137.427	0.9994	1.450
 0	 2	1.077	138.545	0.9999	0.189	1.080	138.300	0.9999	0.231	1.117	137.363	0.9976	1.049	1.115	137.392	0.9978	1.111
 0	 3	1.016	139.460	1.0000	0.123	1.013	139.713	0.9998	0.315	1.058	137.117	0.9978	1.431	1.059	137.182	0.9978	1.448
 0	 4	0.986	139.080	0.9999	0.234	0.988	138.884	1.0000	0.116	1.016	137.051	0.9997	1.607	1.015	137.046	0.9997	1.587
 0	 5	0.979	136.800	0.9997	0.386	0.982	136.551	0.9995	0.492	0.977	136.599	0.9979	1.221	0.972	136.735	0.9981	1.090
 0	 6	0.935	137.765	0.9998	0.260	0.933	137.871	0.9995	0.452	0.944	136.429	0.9997	1.599	0.943	136.438	0.9997	1.831
 0	 7	0.934	135.395	1.0000	0.143	0.932	135.562	0.9999	0.148	0.909	136.089	0.9984	1.407	0.911	135.994	0.9984	1.572
 1	 0	1.316	147.330	0.9996	0.561	1.315	147.387	0.9998	0.430	1.527	141.928	1.0000	1.653	1.527	141.842	1.0000	1.569
 1	 1	1.174	147.055	0.9998	0.397	1.168	147.515	0.9998	0.332	1.319	142.786	0.9995	1.189	1.321	142.627	0.9995	1.277
 1	 2	1.143	144.735	0.9997	0.451	1.142	144.858	0.9996	0.494	1.260	141.801	0.9968	1.553	1.262	141.721	0.9968	1.565
 1	 3	1.100	145.555	1.0000	0.150	1.106	145.184	1.0000	0.068	1.252	139.893	0.9968	0.793	1.250	139.966	0.9971	0.887
 1	 4	1.076	144.995	0.9991	0.709	1.083	144.428	0.9993	0.657	1.200	140.445	0.9996	1.082	1.197	140.611	0.9996	1.124
 1	 5	1.025	146.330	0.9998	0.340	1.023	146.458	0.9996	0.461	1.156	140.611	0.9973	1.356	1.152	140.788	0.9975	1.425
 1	 6	1.032	143.920	1.0000	0.155	1.032	144.055	0.9998	0.341	1.141	139.612	0.9996	1.668	1.140	139.670	0.9996	1.670
 1	 7	1.041	141.560	1.0000	0.155	1.046	141.155	1.0000	0.060	1.118	139.353	0.9979	1.068	1.117	139.379	0.9980	1.296
 2	 0	1.297	175.415	0.9999	0.349	1.299	175.276	0.9999	0.324	1.583	164.611	1.0000	1.262	1.585	164.543	1.0000	1.058
 2	 1	1.201	170.520	0.9992	0.745	1.198	170.783	0.9992	0.751	1.383	163.959	0.9995	0.921	1.379	164.052	0.9995	1.179
 2	 2	1.161	168.135	0.9988	0.918	1.160	168.207	0.9988	0.913	1.315	162.316	0.9967	1.084	1.314	162.355	0.9967	1.163
 2	 3	1.147	165.415	0.9995	0.550	1.148	165.329	0.9996	0.508	1.260	161.945	0.9971	0.946	1.253	162.252	0.9975	0.964
 2	 4	1.123	164.320	0.9997	0.412	1.114	164.980	0.9999	0.192	1.222	161.232	0.9997	0.819	1.221	161.302	0.9997	0.412
 2	 5	1.108	162.335	0.9997	0.437	1.111	162.091	0.9996	0.477	1.174	160.955	0.9975	0.859	1.171	160.997	0.9978	1.244
 2	 6	1.082	161.850	0.9998	0.366	1.080	161.980	0.9998	0.323	1.143	160.485	0.9997	1.190	1.138	160.638	0.9997	1.102
 2	 7	1.059	161.235	0.9998	0.298	1.064	160.937	0.9998	0.362	1.111	160.095	0.9981	0.997	1.110	160.260	0.9983	1.092
 3	 0	1.463	131.120	1.0000	0.195	1.463	131.129	1.0000	0.191	1.773	120.683	1.0000	1.341	1.774	120.648	1.0000	1.174
 3	 1	1.313	128.000	0.9999	0.277	1.304	128.737	0.9999	0.312	1.502	122.102	0.9994	1.560	1.506	121.960	0.9994	1.642
 3	 2	1.243	126.690	0.9996	0.570	1.236	127.328	0.9994	0.690	1.393	121.250	0.9971	1.324	1.390	121.403	0.9972	1.373
 3	 3	1.191	125.930	1.0000	0.131	1.195	125.652	1.0000	0.106	1.345	119.659	0.9972	1.451	1.342	119.829	0.9975	1.213
 3	 4	1.146	125.970	0.9999	0.190	1.140	126.472	0.9999	0.218	1.283	119.818	0.9996	1.112	1.287	119.708	0.9996	1.311
 3	 5	1.142	122.455	0.9996	0.488	1.140	122.712	0.9997	0.410	1.217	119.807	0.9975	0.779	1.216	119.842	0.9976	0.737
 3	 6	1.093	123.095	0.9990	0.773	1.088	123.479	0.9991	0.725	1.173	119.495	0.9996	1.555	1.165	119.805	0.9997	1.540
 3	 7	1.083	120.805	0.9996	0.479	1.092	120.069	0.9995	0.549	1.137	118.686	0.9982	0.794	1.139	118.576	0.9982	0.948
 4	 0	1.413	176.695	0.9999	0.254	1.413	176.743	1.0000	0.126	1.732	164.537	1.0000	2.039	1.739	164.308	1.0000	1.954
 4	 1	1.286	171.190	0.9997	0.457	1.275	172.030	0.9999	0.296	1.474	164.718	0.9996	1.196	1.480	164.376	0.9995	1.345
 4	 2	1.217	169.755	0.9977	1.314	1.203	170.970	0.9980	1.208	1.370	163.532	0.9971	1.783	1.376	163.422	0.9973	1.857
 4	 3	1.190	166.930	0.9995	0.605	1.202	166.180	0.9998	0.376	1.321	161.787	0.9973	1.042	1.320	162.012	0.9974	1.208
 4	 4	1.148	166.360	0.9998	0.343	1.147	166.350	1.0000	0.151	1.269	161.051	0.9997	1.241	1.265	161.327	0.9997	1.113
 4	 5	1.146	162.720	1.0000	0.098	1.138	163.362	1.0000	0.108	1.202	161.318	0.9976	0.628	1.199	161.425	0.9977	0.503
 4	 6	1.099	163.170	0.9999	0.176	1.094	163.618	0.9999	0.213	1.160	160.776	0.9997	1.357	1.161	160.777	0.9997	1.156
 4	 7	1.105	159.615	0.9998	0.351	1.117	158.748	1.0000	0.140	1.120	160.054	0.9984	1.007	1.121	160.089	0.9984	0.996
 5	 0	1.452	173.395	0.9999	0.316	1.433	174.888	0.9998	0.420	1.782	160.633	1.0000	1.817	1.784	160.588	1.0000	1.906
 5	 1	1.322	167.430	0.9996	0.592	1.309	168.372	0.9990	0.919	1.501	161.609	0.9995	1.282	1.497	161.757	0.9995	1.365
 5	 2	1.245	166.345	0.9975	1.393	1.224	168.085	0.9993	0.742	1.392	160.441	0.9972	1.963	1.392	160.505	0.9972	2.410
 5	 3	1.207	163.765	0.9991	0.830	1.219	163.066	0.9984	1.080	1.343	158.387	0.9972	1.244	1.346	158.475	0.9973	1.284
 5	 4	1.184	161.480	0.9999	0.299	1.174	162.176	0.9997	0.455	1.283	157.601	0.9997	1.127	1.277	157.976	0.9997	0.915
 5	 5	1.177	157.810	0.9999	0.188	1.159	159.389	0.9999	0.243	1.215	157.839	0.9975	0.889	1.213	158.053	0.9976	0.921
 5	 6	1.119	158.825	1.0000	0.142	1.128	158.233	0.9998	0.309	1.161	157.607	0.9997	1.376	1.162	157.584	0.9997	1.261
 5	 7	1.090	157.745	0.9997	0.452	1.113	156.354	0.9997	0.404	1.116	157.097	0.9985	0.983	1.132	156.433	0.9984	1.286
 6	 0	1.458	177.545	0.9997	0.566	1.440	178.965	0.9999	0.259	1.774	165.939	1.0000	2.384	1.784	165.438	1.0000	2.456
 6	 1	1.339	170.435	0.9996	0.581	1.320	172.050	0.9997	0.521	1.486	166.696	0.9995	2.017	1.479	167.060	0.9995	2.018
 6	 2	1.244	170.655	0.9971	1.508	1.228	171.917	0.9992	0.781	1.383	165.356	0.9971	1.980	1.402	164.443	0.9969	1.706
 6	 3	1.199	168.810	0.9988	0.926	1.210	168.063	0.9988	0.945	1.331	163.462	0.9974	1.657	1.319	164.288	0.9976	1.684
 6	 4	1.157	167.915	0.9999	0.274	1.161	167.383	0.9994	0.613	1.273	162.700	0.9997	1.621	1.265	163.028	0.9997	1.251
 6	 5	1.166	162.630	1.0000	0.029	1.145	164.469	0.9997	0.414	1.204	162.648	0.9975	1.230	1.202	162.804	0.9976	0.924
 6	 6	1.095	164.400	0.9996	0.462	1.100	164.264	0.9999	0.251	1.132	163.118	0.9997	1.755	1.126	163.397	0.9998	1.104
 6	 7	1.083	162.440	0.9994	0.598	1.104	161.190	0.9997	0.394	1.089	162.701	0.9986	1.337	1.098	162.621	0.9985	1.483
 7	 0	1.429	158.955	0.9990	1.010	1.407	160.639	0.9987	1.130	1.759	146.691	1.0000	2.527	1.773	146.178	1.0000	2.288
 7	 1	1.321	150.735	0.9995	0.688	1.296	152.785	0.9996	0.556	1.480	147.007	0.9995	1.554	1.476	147.153	0.9995	1.203
 7	 2	1.231	150.925	0.9977	1.310	1.215	151.960	0.9983	1.137	1.371	145.919	0.9972	1.791	1.376	145.644	0.9973	1.534
 7	 3	1.173	150.070	0.9998	0.372	1.208	147.722	0.9993	0.692	1.330	143.596	0.9972	2.514	1.328	143.975	0.9973	2.163
 7	 4	1.135	149.255	0.9995	0.550	1.123	150.038	0.9993	0.678	1.282	142.735	0.9997	1.572	1.275	143.256	0.9997	1.453
 7	 5	1.156	143.240	0.9992	0.749	1.145	144.078	0.9989	0.854	1.211	142.732	0.9972	1.913	1.211	142.757	0.9973	1.656
 7	 6	1.067	146.335	0.9999	0.243	1.070	146.488	0.9996	0.506	1.144	143.180	0.9996	2.379	1.156	142.789	0.9997	2.183
 7	 7	1.032	145.725	0.9997	0.406	1.050	144.559	0.9995	0.532	1.099	142.569	0.9985	1.710	1.125	141.361	0.9983	1.370
 8	 0	1.355	177.695	0.9998	0.435	1.344	178.628	0.9995	0.657	1.656	166.135	0.9999	2.912	1.675	165.378	0.9999	2.890
 8	 1	1.293	169.025	0.9999	0.330	1.247	172.615	1.0000	0.155	1.439	165.861	0.9995	2.338	1.440	165.754	0.9995	2.222
 8	 2	1.196	171.130	0.9956	1.788	1.166	173.391	0.9968	1.477	1.332	165.705	0.9972	2.897	1.324	165.951	0.9974	3.173
 8	 3	1.154	170.130	0.9980	1.167	1.202	166.914	0.9946	1.976	1.335	162.363	0.9970	2.118	1.329	162.844	0.9970	2.585
 8	 4	1.152	167.425	0.9997	0.459	1.137	168.279	0.9991	0.752	1.296	161.400	0.9996	2.274	1.288	161.983	0.9996	1.914
 8	 5	1.161	163.365	0.9993	0.679	1.139	165.639	0.9979	1.155	1.226	162.681	0.9970	1.836	1.225	162.889	0.9971	1.716
