GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.370	156.855	0.9994	0.772	1.372	156.577	0.9997	0.543	1.564	150.889	0.9999	1.675	1.563	150.906	0.9999	1.609
 0	 1	1.219	154.185	0.9999	0.300	1.216	154.263	0.9995	0.605	1.288	153.471	0.9964	1.625	1.289	153.334	0.9967	1.819
 0	 2	1.163	151.715	0.9996	0.514	1.167	151.492	0.9988	0.908	1.183	152.853	0.9972	1.652	1.181	152.924	0.9973	1.915
 0	 3	1.089	152.960	0.9998	0.383	1.092	152.755	0.9997	0.392	1.105	153.274	0.9975	1.669	1.103	153.390	0.9975	1.650
 0	 4	1.053	152.275	0.9997	0.373	1.056	151.928	0.9998	0.291	1.062	152.612	0.9976	1.671	1.061	152.575	0.9977	1.954
 0	 5	0.998	152.635	1.0000	0.086	0.997	152.744	1.0000	0.097	0.997	152.672	0.9980	1.640	0.996	152.729	0.9981	1.576
 0	 6	0.979	151.425	0.9990	0.685	0.976	151.494	0.9985	0.837	0.951	152.621	0.9982	1.318	0.953	152.483	0.9981	1.815
 0	 7	0.964	149.840	0.9998	0.273	0.963	149.988	0.9999	0.252	0.923	151.880	0.9983	1.087	0.923	151.847	0.9983	1.124
 1	 0	1.437	157.670	0.9996	0.680	1.437	157.670	0.9996	0.680	1.708	149.162	1.0000	1.590	1.705	149.239	1.0000	1.712
 1	 1	1.272	155.525	0.9992	0.819	1.267	155.869	0.9983	1.158	1.431	150.744	0.9961	1.294	1.433	150.656	0.9964	1.395
 1	 2	1.229	151.650	0.9996	0.547	1.212	152.894	0.9993	0.705	1.332	149.281	0.9968	1.466	1.334	149.128	0.9967	1.445
 1	 3	1.192	149.790	0.9999	0.210	1.213	148.237	0.9999	0.298	1.259	149.057	0.9972	1.265	1.262	148.908	0.9971	1.590
 1	 4	1.128	150.975	0.9998	0.337	1.123	151.095	0.9999	0.225	1.197	148.875	0.9974	1.084	1.190	149.046	0.9976	1.217
 1	 5	1.073	150.730	0.9997	0.381	1.071	150.962	0.9996	0.460	1.148	147.951	0.9977	1.755	1.148	148.026	0.9977	1.753
 1	 6	1.057	148.805	0.9998	0.350	1.043	149.806	0.9999	0.285	1.100	147.517	0.9978	1.092	1.099	147.460	0.9978	1.344
 1	 7	1.023	148.555	0.9999	0.234	1.019	148.834	0.9998	0.350	1.054	147.357	0.9981	0.741	1.053	147.386	0.9981	0.709
 2	 0	1.437	138.850	0.9999	0.281	1.435	139.026	0.9999	0.244	1.718	130.967	1.0000	1.645	1.716	131.075	1.0000	1.642
 2	 1	1.245	139.295	0.9997	0.475	1.252	138.853	0.9993	0.750	1.448	132.329	0.9956	0.866	1.448	132.359	0.9959	0.966
 2	 2	1.182	137.150	1.0000	0.149	1.181	137.214	1.0000	0.161	1.348	131.269	0.9965	1.419	1.350	131.128	0.9966	1.599
 2	 3	1.148	136.020	1.0000	0.109	1.147	136.112	1.0000	0.122	1.279	131.356	0.9971	0.808	1.281	131.174	0.9971	0.707
 2	 4	1.098	136.860	0.9986	0.927	1.107	136.015	0.9990	0.797	1.240	130.493	0.9971	1.300	1.239	130.386	0.9971	1.202
 2	 5	1.080	134.490	0.9996	0.483	1.082	134.338	0.9998	0.350	1.186	130.112	0.9975	1.070	1.185	130.108	0.9975	1.064
 2	 6	1.062	133.520	0.9996	0.476	1.066	133.131	0.9997	0.431	1.151	129.610	0.9976	1.422	1.153	129.422	0.9977	1.431
 2	 7	1.029	133.590	0.9999	0.166	1.036	133.074	0.9999	0.196	1.123	129.164	0.9978	0.872	1.124	129.159	0.9979	0.976
 3	 0	1.435	193.750	0.9999	0.260	1.445	193.081	1.0000	0.139	1.761	182.833	1.0000	1.465	1.762	182.879	1.0000	1.636
