ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	216.854	0.605
 0	 0	 1	215.788	0.637
 0	 0	 2	214.835	0.619
 0	 0	 3	213.719	0.645
 0	 0	 4	212.653	0.684
 0	 0	 5	211.683	0.704
 0	 0	 6	210.654	0.722
 0	 0	 7	209.504	0.742
 0	 1	 0	216.770	0.456
 0	 1	 1	215.690	0.472
 0	 1	 2	214.674	0.466
 0	 1	 3	213.597	0.524
 0	 1	 4	212.580	0.509
 0	 1	 5	211.575	0.543
 0	 1	 6	210.552	0.542
 0	 1	 7	209.374	0.504
 0	 2	 0	216.755	0.431
 0	 2	 1	215.701	0.408
 0	 2	 2	214.688	0.435
 0	 2	 3	213.561	0.492
 0	 2	 4	212.586	0.493
 0	 2	 5	211.580	0.545
 0	 2	 6	210.577	0.517
 0	 2	 7	209.385	0.533
 0	 3	 0	216.856	0.400
 0	 3	 1	215.787	0.431
 0	 3	 2	214.793	0.476
 0	 3	 3	213.648	0.509
 0	 3	 4	212.655	0.573
 0	 3	 5	211.570	0.564
 0	 3	 6	210.579	0.595
 0	 3	 7	209.454	0.573
 0	 4	 0	216.915	0.443
 0	 4	 1	215.842	0.478
 0	 4	 2	214.851	0.473
 0	 4	 3	213.723	0.562
 0	 4	 4	212.793	0.587
 0	 4	 5	211.679	0.613
 0	 4	 6	210.701	0.596
 0	 4	 7	209.501	0.664
 0	 5	 0	216.798	0.388
 0	 5	 1	215.692	0.393
 0	 5	 2	214.679	0.483
 0	 5	 3	213.599	0.479
 0	 5	 4	212.642	0.462
 0	 5	 5	211.504	0.454
 0	 5	 6	210.590	0.491
 0	 5	 7	209.387	0.492
 0	 6	 0	216.741	0.313
 0	 6	 1	215.671	0.360
 0	 6	 2	214.606	0.432
 0	 6	 3	213.549	0.415
 0	 6	 4	212.555	0.392
 0	 6	 5	211.467	0.413
 0	 6	 6	210.531	0.418
 0	 6	 7	209.402	0.422
 0	 7	 0	216.792	0.299
 0	 7	 1	215.680	0.334
 0	 7	 2	214.598	0.399
 0	 7	 3	213.521	0.394
 0	 7	 4	212.616	0.413
 0	 7	 5	211.508	0.412
 0	 7	 6	210.533	0.420
 0	 7	 7	209.387	0.414
 1	 0	 0	217.260	0.357
 1	 0	 1	216.176	0.370
 1	 0	 2	215.207	0.386
 1	 0	 3	214.086	0.448
 1	 0	 4	213.130	0.434
 1	 0	 5	212.044	0.455
 1	 0	 6	211.096	0.453
 1	 0	 7	210.028	0.477
 1	 1	 0	217.280	0.328
 1	 1	 1	216.185	0.324
 1	 1	 2	215.175	0.320
 1	 1	 3	214.141	0.412
 1	 1	 4	213.173	0.436
 1	 1	 5	212.075	0.434
 1	 1	 6	211.107	0.423
